variable_name,units,value,data_reference
l_inlet_capillary,metre,0.0005,EMPTY_MUST_BE_FILLED
r_inlet_capillary,metre,0.000008,EMPTY_MUST_BE_FILLED
H_R_out_LHS_inlet_capillary,dimensionless,0.3,EMPTY_MUST_BE_FILLED
u_in_inlet_capillary,J_per_m3,6666,EMPTY_MUST_BE_FILLED
H_global_L,dimensionless,0.3,EMPTY_MUST_BE_FILLED
H_global_R,dimensionless,0.6,EMPTY_MUST_BE_FILLED
gamma_mirror,dimensionless,0.02,EMPTY_MUST_BE_FILLED
tau_H_down,second,0.00001,EMPTY_MUST_BE_FILLED
tau_H_mean,second,0.01,EMPTY_MUST_BE_FILLED
v_eps,m3_per_s,1E-30,EMPTY_MUST_BE_FILLED
q_C_init,m3,0,EMPTY_MUST_BE_FILLED
mu_plasma,Js_per_m3,0.001,EMPTY_MUST_BE_FILLED
u_ext,J_per_m3,133,EMPTY_MUST_BE_FILLED
tau_link,second,0.00001,EMPTY_MUST_BE_FILLED
v_scale,m3_per_s,1E-16,EMPTY_MUST_BE_FILLED
one_mm3,m3,0.000000001,EMPTY_MUST_BE_FILLED
l_VP1,metre,0.0002,EMPTY_MUST_BE_FILLED
r_VP1,metre,0.0000077,EMPTY_MUST_BE_FILLED
l_VV_junc1,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc1,metre,0.0000077,EMPTY_MUST_BE_FILLED
vbc2_VV_junc1,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to2_VV_junc1,dimensionless,0.3,EMPTY_MUST_BE_FILLED
r_bc2_VV_junc1,metre,0,EMPTY_MUST_BE_FILLED
C_conn2_VV_junc1,m6_per_J,8.51E-22,EMPTY_MUST_BE_FILLED
C_conn3_VV_junc1,m6_per_J,8.51E-22,EMPTY_MUST_BE_FILLED
C_conn4_VV_junc1,m6_per_J,8.51E-22,EMPTY_MUST_BE_FILLED
div_0,dimensionless,1E-25,EMPTY_MUST_BE_FILLED
div_0y,dimensionless,0.00000001,EMPTY_MUST_BE_FILLED
tau_junc,second,0.0001,EMPTY_MUST_BE_FILLED
v_threshold,m3_per_s,1E-18,EMPTY_MUST_BE_FILLED
k,dimensionless,1000,EMPTY_MUST_BE_FILLED
R,Js_per_m6,1000000000000000,EMPTY_MUST_BE_FILLED
l_PP2,metre,0.00005,EMPTY_MUST_BE_FILLED
r_PP2,metre,0.000004,EMPTY_MUST_BE_FILLED
u_out_PP2,J_per_m3,6500,EMPTY_MUST_BE_FILLED
l_PP3,metre,0.00005,EMPTY_MUST_BE_FILLED
r_PP3,metre,0.0000035,EMPTY_MUST_BE_FILLED
H_L_out_RHS_PP3,dimensionless,0.6,EMPTY_MUST_BE_FILLED
u_out_PP3,J_per_m3,6500,EMPTY_MUST_BE_FILLED
H_L_out_RHS_PP2,dimensionless,0.6,EMPTY_MUST_BE_FILLED
