variable_name,units,value,data_reference
l_inlet,metre,0.00010844,EMPTY_MUST_BE_FILLED
r_inlet,metre,0.000007,EMPTY_MUST_BE_FILLED
H_R_out_LHS_inlet,dimensionless,0.45,EMPTY_MUST_BE_FILLED
u_in_inlet,J_per_m3,6666,EMPTY_MUST_BE_FILLED
H_global_L,dimensionless,0.45,EMPTY_MUST_BE_FILLED
H_global_R,dimensionless,0.6,EMPTY_MUST_BE_FILLED
gamma_mirror,dimensionless,0.02,EMPTY_MUST_BE_FILLED
tau_H_down,second,0.001,EMPTY_MUST_BE_FILLED
tau_H_mean,second,0.001,EMPTY_MUST_BE_FILLED
v_eps,m3_per_s,1.00E-30,EMPTY_MUST_BE_FILLED
q_C_init,m3,0,EMPTY_MUST_BE_FILLED
mu_plasma,Js_per_m3,0.001,EMPTY_MUST_BE_FILLED
u_ext,J_per_m3,133,EMPTY_MUST_BE_FILLED
tau_link,second,0.00001,EMPTY_MUST_BE_FILLED
v_scale,m3_per_s,1.00E-50,EMPTY_MUST_BE_FILLED
one_mm3,m3,0.000000001,EMPTY_MUST_BE_FILLED
l_V01,metre,0.00004167,EMPTY_MUST_BE_FILLED
r_V01,metre,0.000004,EMPTY_MUST_BE_FILLED
l_V02,metre,0.00004728,EMPTY_MUST_BE_FILLED
r_V02,metre,0.000004,EMPTY_MUST_BE_FILLED
l_V03,metre,0.0000292,EMPTY_MUST_BE_FILLED
r_V03,metre,0.000004,EMPTY_MUST_BE_FILLED
l_PV04,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV04,metre,0.000004,EMPTY_MUST_BE_FILLED
tau_sig,second,1,EMPTY_MUST_BE_FILLED
t0,second,50,EMPTY_MUST_BE_FILLED
tau_base,second,1,EMPTY_MUST_BE_FILLED
v_base_init,m3_per_s,1.00E-20,EMPTY_MUST_BE_FILLED
Re_stall,Js_per_m6,1.00E+18,EMPTY_MUST_BE_FILLED
tau_K_deprived,second,300,EMPTY_MUST_BE_FILLED
alpha_max,dimensionless,1.2,EMPTY_MUST_BE_FILLED
alpha_min,dimensionless,0.6,EMPTY_MUST_BE_FILLED
BOSF_Bx,m3_per_s,3.70E-15,EMPTY_MUST_BE_FILLED
K_deprived_init,dimensionless,0,EMPTY_MUST_BE_FILLED
f_crit,dimensionless,3,EMPTY_MUST_BE_FILLED
n,dimensionless,4,EMPTY_MUST_BE_FILLED
r_stall_scale,dimensionless,1.05,EMPTY_MUST_BE_FILLED
fs,dimensionless,0.1,EMPTY_MUST_BE_FILLED
stall_init,dimensionless,0,EMPTY_MUST_BE_FILLED
tau_stall,second,1,EMPTY_MUST_BE_FILLED
l_V04,metre,0.00004084,EMPTY_MUST_BE_FILLED
r_V04,metre,0.000004,EMPTY_MUST_BE_FILLED
l_V05,metre,0.00001915,EMPTY_MUST_BE_FILLED
r_V05,metre,0.000004,EMPTY_MUST_BE_FILLED
l_V06,metre,0.00001,EMPTY_MUST_BE_FILLED
r_V06,metre,0.000004,EMPTY_MUST_BE_FILLED
l_PV07,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV07,metre,0.000004,EMPTY_MUST_BE_FILLED
l_V07,metre,0.00005076,EMPTY_MUST_BE_FILLED
r_V07,metre,0.000004,EMPTY_MUST_BE_FILLED
l_PV08,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV08,metre,0.000004,EMPTY_MUST_BE_FILLED
l_V08,metre,0.00005209,EMPTY_MUST_BE_FILLED
r_V08,metre,0.000004,EMPTY_MUST_BE_FILLED
l_PV09,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV09,metre,0.000004,EMPTY_MUST_BE_FILLED
l_V09,metre,0.00010618,EMPTY_MUST_BE_FILLED
r_V09,metre,0.000004,EMPTY_MUST_BE_FILLED
l_PV10,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV10,metre,0.000004,EMPTY_MUST_BE_FILLED
l_V10,metre,0.00007749,EMPTY_MUST_BE_FILLED
r_V10,metre,0.000004,EMPTY_MUST_BE_FILLED
l_V11,metre,0.00002993,EMPTY_MUST_BE_FILLED
r_V11,metre,0.000004,EMPTY_MUST_BE_FILLED
l_PV12,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV12,metre,0.000004,EMPTY_MUST_BE_FILLED
l_V12,metre,0.00007137,EMPTY_MUST_BE_FILLED
r_V12,metre,0.000004,EMPTY_MUST_BE_FILLED
l_PV13,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV13,metre,0.000004,EMPTY_MUST_BE_FILLED
l_V13,metre,0.00012297,EMPTY_MUST_BE_FILLED
r_V13,metre,0.000004,EMPTY_MUST_BE_FILLED
l_V14,metre,0.00002052,EMPTY_MUST_BE_FILLED
r_V14,metre,0.0000039,EMPTY_MUST_BE_FILLED
l_V15,metre,0.00001717,EMPTY_MUST_BE_FILLED
r_V15,metre,0.0000041,EMPTY_MUST_BE_FILLED
H_L_out_RHS_V15,dimensionless,0.45,EMPTY_MUST_BE_FILLED
u_out_V15,J_per_m3,5000,EMPTY_MUST_BE_FILLED
l_PV16,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV16,metre,0.0000043,EMPTY_MUST_BE_FILLED
l_V16,metre,0.00007264,EMPTY_MUST_BE_FILLED
r_V16,metre,0.00000395,EMPTY_MUST_BE_FILLED
H_L_out_RHS_V16,dimensionless,0.45,EMPTY_MUST_BE_FILLED
u_out_V16,J_per_m3,5000,EMPTY_MUST_BE_FILLED
l_V17,metre,0.00002691,EMPTY_MUST_BE_FILLED
r_V17,metre,0.0000037,EMPTY_MUST_BE_FILLED
l_V18,metre,0.00001533,EMPTY_MUST_BE_FILLED
r_V18,metre,0.000004,EMPTY_MUST_BE_FILLED
l_PV19,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV19,metre,0.0000041,EMPTY_MUST_BE_FILLED
l_V19,metre,0.0001289,EMPTY_MUST_BE_FILLED
r_V19,metre,0.000004,EMPTY_MUST_BE_FILLED
