name,BC_type,vessel_type,inp_vessels,out_vessels,length,generation,parent,graph_vessel_id,source_ids
inlet,pp_H1,capillary_H_D,,VV_junc1,358.44,0,,57_557_0,506_557_0 223_506_0 52_57_0 133_145_0 51_52_0 43_51_0 43_133_0 223_290_1 145_210_0 63_210_0 63_290_0
V01,pp_H3L_H1R,capillary_H_D,VV_junc1,VV_junc2,41.67,1,inlet,557_1140_0,557_1140_0
V02,pp_H4L_H1R,capillary_H_D,VV_junc1,VV_junc3,47.28,1,inlet,557_1242_0,557_1242_0
V03,pp_H3L_H1R,capillary_H_D,VV_junc2,VV_junc4,29.2,2,V01,1035_1140_3,1035_1140_3
PV04,pp_H4,capillary_H_D_pericyte_BS_RO,VV_junc2,V04,15,2,V01,1052_1140_0,1052_1140_0
V04,vp_H1,capillary_H_D,PV04,VV_junc5,40.84,2,V01,1052_1140_0,1052_1140_0
V05,pp_H3L_H1R,capillary_H_D,VV_junc3,VV_junc6,19.15,2,V02,1242_1639_0,1242_1639_0
V06,pp_H4L_H1R,capillary_H_D,VV_junc3,VV_junc7,10,2,V02,1242_12071_0,
PV07,pp_H3,capillary_H_D_pericyte_BS_RO,VV_junc4,V07,15,3,V03,1035_1052_0,951_1035_0 951_1052_0
V07,vp_H2,capillary_H_D,PV07,VV_junc5,50.76,3,V03,1035_1052_0,951_1035_0 951_1052_0
PV08,pp_H4,capillary_H_D_pericyte_BS_RO,VV_junc4,V08,15,3,V03,1035_2074_0,1035_1135_0 1135_2074_0
V08,vp_H1,capillary_H_D,PV08,VV_junc8,52.09,3,V03,1035_2074_0,1035_1135_0 1135_2074_0
PV09,pp_H3,capillary_H_D_pericyte_BS_RO,VV_junc5,V09,15,3,V04,1052_2409_0,1052_1719_0 1719_2409_0
V09,vp_H1,capillary_H_D,PV09,VV_junc9,106.18,3,V04,1052_2409_0,1052_1719_0 1719_2409_0
PV10,pp_H3,capillary_H_D_pericyte_BS_RO,VV_junc6,V10,15,3,V05,1156_1639_0,1156_1639_0
V10,vp_H1,capillary_H_D,PV10,VV_junc10,77.49,3,V05,1156_1639_0,1156_1639_0
