time [second],TC1/v_mm3_s [mm3_per_s],TC2/v_mm3_s [mm3_per_s],TC3/v_mm3_s [mm3_per_s],TC4/v_mm3_s [mm3_per_s],TC5/v_mm3_s [mm3_per_s],TC6/v_mm3_s [mm3_per_s],V07/v_mm3_s [mm3_per_s],V02/v_mm3_s [mm3_per_s],V03/v_mm3_s [mm3_per_s],TC1/u_mmHg [dimensionless],TC2/u_mmHg [dimensionless],TC3/u_mmHg [dimensionless],TC4/u_mmHg [dimensionless],TC5/u_mmHg [dimensionless],TC6/u_mmHg [dimensionless],V07/u_mmHg [dimensionless],V02/u_mmHg [dimensionless],V03/u_mmHg [dimensionless],TC1/H_mean [dimensionless],TC2/H_mean [dimensionless],TC3/H_mean [dimensionless],TC4/H_mean [dimensionless],TC5/H_mean [dimensionless],TC6/H_mean [dimensionless],V07/H_mean [dimensionless],V02/H_mean [dimensionless],V03/H_mean [dimensionless]
10.0,1.4564473218914416e-06,1.6416234740532522e-06,-2.0814382477462946e-08,3.743492760014432e-06,3.1434414529866984e-06,1.9606185716883354e-06,2.3731902423051537e-06,5.450446584015185e-06,3.0772563921962808e-06,47.53201844644153,47.43214964322572,47.61966558277106,47.22341464439729,47.254046516418015,47.301907869117336,48.750179273803965,49.142311021181044,48.44497055292493,0.44941572612606523,0.488441649006964,0.4572968274006705,0.3985300221544235,0.4589839192889985,0.372189852352488,0.3845142534615933,0.4326111720518011,0.4697959146966366
11.0,1.4566490140040652e-06,1.6418009474367476e-06,-2.0881869806087996e-08,3.7436478361142282e-06,3.143420666450987e-06,1.9607737479880107e-06,2.3731883406387544e-06,5.450756426840243e-06,3.077568078879393e-06,47.53193623923093,47.4321075180205,47.61962345716984,47.2233805155512,47.25404657119049,47.30189873139606,48.750108800173734,49.14226113581864,48.44488005040062,0.44919181222138205,0.4882505713201977,0.45794777807258197,0.39849966456881736,0.4598485986219898,0.37214966470301203,0.38448922708771477,0.43261538419031687,0.4697696449229794
12.0,1.4567546312779933e-06,1.6418822257234791e-06,-2.090980720334925e-08,3.743751808983472e-06,3.1433910835080544e-06,1.9608889085183072e-06,2.373204662433782e-06,5.450931867559023e-06,3.0777267795228976e-06,47.53188812067647,47.4320832221836,47.61959915828019,47.2233605887519,47.25404662542792,47.301891699322944,48.75006834931693,49.14223281333073,48.44482901677652,0.44906517799913453,0.4881474793349276,0.4585971847047264,0.3984802563662312,0.46070371900151724,0.3721197050731422,0.3844776293129657,0.4326177052989055,0.46975745735048363
13.0,1.4568069554456743e-06,1.6419099878945096e-06,-2.091302964959084e-08,3.7438187480701338e-06,3.1433641593531945e-06,1.960968241560244e-06,2.3732245516597415e-06,5.451028528530007e-06,3.0778037305954775e-06,47.53186187527665,47.43207011823747,47.619586054705714,47.223349246610795,47.25404667925098,47.301886726226044,48.75004575259321,49.1422172011397,48.444801434884425,0.4489979841705836,0.48809732220267327,0.4592440739961332,0.3984682370881709,0.4615495312965313,0.3720989966143636,0.3844731864898,0.4326189103331971,0.4697517869881551
14.0,1.4568318919174075e-06,1.6419102297938345e-06,-2.0902284113277642e-08,3.743860065291626e-06,3.1433433259080388e-06,1.9610201223827618e-06,2.373240911119523e-06,5.451080801535794e-06,3.0778397322425882e-06,47.531848316235404,47.43206339286189,47.61957933031577,47.223342925165134,47.25404673270129,47.301883424517555,48.75003338968771,49.14220876559898,48.444786993857434,0.44896401325211616,0.48807631537698903,0.45988787007752746,0.3984610356218196,0.46238623719360744,0.3720854274530065,0.38447190442410384,0.4326195002791477,0.4697490299023741
15.0,1.4568437772415188e-06,1.6418971128997413e-06,-2.0884266362822605e-08,3.743884762509422e-06,3.1433284580350872e-06,1.9610529196906408e-06,2.37325205360788e-06,5.451108936169089e-06,3.077856348538339e-06,47.531841539424626,47.43206004725479,47.619575980493636,47.22333944329917,47.25404678578434,47.30188134633445,48.750026691143724,49.14220423307394,48.44477955363045,0.4489472394360905,0.48807029541521424,0.46052826868251806,0.39845682560890994,0.46321400230367143,0.37207685488178877,0.38447170931047236,0.4326197726756587,0.4697475677625716
16.0,1.45684947680779e-06,1.6418776145277701e-06,-2.0862581983184747e-08,3.743899123535967e-06,3.143318316093479e-06,1.9610728875006996e-06,2.373259546666678e-06,5.451124111320495e-06,3.0778643568897066e-06,47.53183827021655,47.43205843881025,47.619574375027625,47.22333754099526,47.25404683849295,47.30188004561052,48.75002306978845,49.14220180957409,48.44477571557173,0.44893915970144666,0.48807189394944456,0.46116513210481686,0.3984544169719786,0.46403296007061506,0.37207161611089573,0.38447187044090125,0.4326198912636207,0.4697467349529701
17.0,1.4568522702885113e-06,1.6418554472640074e-06,-2.0839254030084533e-08,3.7439072861072672e-06,3.1433118481563037e-06,1.9610847399083894e-06,2.373263705968948e-06,5.451132290431857e-06,3.0778682127967985e-06,47.53183668998268,47.43205767018643,47.619573606659145,47.223336502987664,47.25404689082092,47.30187929513615,48.75002111623313,49.142200503781666,48.444773749071395,0.44893524061742157,0.48807698540361466,0.4617984034123179,0.39845306154372967,0.46484323093351987,0.3720685185612929,0.3844720539609702,0.43261994276775645,0.4697462216738577
18.0,1.4568538727110077e-06,1.6418317811820427e-06,-2.0815245077196694e-08,3.743911874511721e-06,3.1433075032879855e-06,1.9610918212047355e-06,2.3732661003293684e-06,5.4511367223081855e-06,3.0778702485099755e-06,47.53183595072634,47.43205730023898,47.61957323739262,47.22333594779188,47.25404694275632,47.301878897125675,48.75002006823641,49.14219980289558,48.4447727237758,0.44893330266587955,0.4880838291171113,0.462428072213707,0.3984523087628541,0.46564492067627444,0.3720666959218009,0.38447212643007384,0.4326199645458583,0.46974590708871705
19.0,1.4568546738854834e-06,1.6418077881050954e-06,-2.0790975499072424e-08,3.743914420328066e-06,3.1433050917161613e-06,1.961095614572593e-06,2.3732676704193737e-06,5.4511391886534415e-06,3.077871496601435e-06,47.531835564901755,47.43205713875049,47.61957307732629,47.22333563206952,47.254046994299756,47.30187863044083,48.75001947490303,49.14219941561988,48.44477216046706,0.4489323036637869,0.48809143651669,0.46305414688667257,0.3984518888637721,0.46643812580669963,0.3720656898384241,0.3844722646246229,0.432619977150873,0.46974570457709774
20.0,1.456855064231326e-06,1.641783814781758e-06,-2.0766709473116288e-08,3.7439156857566235e-06,3.143304068256096e-06,1.9610974481036245e-06,2.373268253907104e-06,5.451140479091446e-06,3.0778721432399967e-06,47.53183537919763,47.432057069074474,47.61957300685287,47.223335463166784,47.254047045448246,47.301878508109446,48.75001916243995,49.142199209192924,48.44477188103477,0.44893182115517877,0.4880993056727932,0.4636766469321008,0.3984516761556091,0.4672229396877276,0.3720652071999645,0.3844723596143264,0.43261998429652665,0.4697455700328089
