variable_name,units,value,data_reference
l_inlet,metre,0.0003,EMPTY_MUST_BE_FILLED
r_inlet,metre,0.000006,EMPTY_MUST_BE_FILLED
H_R_out_LHS_inlet,dimensionless,0.45,EMPTY_MUST_BE_FILLED
u_in_inlet,J_per_m3,6666,EMPTY_MUST_BE_FILLED
H_global_L,dimensionless,0.45,EMPTY_MUST_BE_FILLED
H_global_R,dimensionless,0.6,EMPTY_MUST_BE_FILLED
gamma_mirror,dimensionless,0.02,EMPTY_MUST_BE_FILLED
tau_H_down,second,0.001,EMPTY_MUST_BE_FILLED
tau_H_mean,second,0.001,EMPTY_MUST_BE_FILLED
v_eps,m3_per_s,1E-30,EMPTY_MUST_BE_FILLED
q_C_init,m3,0,EMPTY_MUST_BE_FILLED
mu_plasma,Js_per_m3,0.001,EMPTY_MUST_BE_FILLED
u_ext,J_per_m3,133,EMPTY_MUST_BE_FILLED
tau_link,second,0.00001,EMPTY_MUST_BE_FILLED
v_scale,m3_per_s,1E-50,EMPTY_MUST_BE_FILLED
one_mm3,m3,0.000000001,EMPTY_MUST_BE_FILLED
tau_RBC,second,0.01,EMPTY_MUST_BE_FILLED
l_VV_junc1,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc1,metre,0.0000077,EMPTY_MUST_BE_FILLED
vbc2_VV_junc1,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to2_VV_junc1,dimensionless,0.45,EMPTY_MUST_BE_FILLED
r_bc2_VV_junc1,metre,0,EMPTY_MUST_BE_FILLED
C_conn2_VV_junc1,m6_per_J,8.51E-22,EMPTY_MUST_BE_FILLED
div_0,dimensionless,1E-25,EMPTY_MUST_BE_FILLED
div_0y,dimensionless,0.00000001,EMPTY_MUST_BE_FILLED
tau_junc,second,0.0001,EMPTY_MUST_BE_FILLED
v_threshold,m3_per_s,1E-18,EMPTY_MUST_BE_FILLED
k,dimensionless,1000,EMPTY_MUST_BE_FILLED
R,Js_per_m6,1000000000000000,EMPTY_MUST_BE_FILLED
l_V01,metre,0.000123,EMPTY_MUST_BE_FILLED
r_V01,metre,0.0000035,EMPTY_MUST_BE_FILLED
R_constriction_final_PV01,Js_per_m6,0,EMPTY_MUST_BE_FILLED
l_PV01,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV01,metre,0.0000035,EMPTY_MUST_BE_FILLED
R_constriction_base,Js_per_m6,0,EMPTY_MUST_BE_FILLED
tau_sig,second,1,EMPTY_MUST_BE_FILLED
t0,second,100,EMPTY_MUST_BE_FILLED
l_V02,metre,0.000078,EMPTY_MUST_BE_FILLED
r_V02,metre,0.0000035,EMPTY_MUST_BE_FILLED
l_VV_junc2,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc2,metre,0.0000035,EMPTY_MUST_BE_FILLED
vbc2_VV_junc2,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to2_VV_junc2,dimensionless,0.45,EMPTY_MUST_BE_FILLED
r_bc2_VV_junc2,metre,0,EMPTY_MUST_BE_FILLED
C_conn2_VV_junc2,m6_per_J,0,EMPTY_MUST_BE_FILLED
l_V03,metre,0.0002,EMPTY_MUST_BE_FILLED
r_V03,metre,0.00000325,EMPTY_MUST_BE_FILLED
R_constriction_final_PV03,Js_per_m6,0,EMPTY_MUST_BE_FILLED
l_PV03,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV03,metre,0.00000325,EMPTY_MUST_BE_FILLED
l_V04,metre,0.000083,EMPTY_MUST_BE_FILLED
r_V04,metre,0.00000325,EMPTY_MUST_BE_FILLED
l_VV_junc3,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc3,metre,0.00000325,EMPTY_MUST_BE_FILLED
vbc2_VV_junc3,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to2_VV_junc3,dimensionless,0,EMPTY_MUST_BE_FILLED
r_bc2_VV_junc3,metre,0,EMPTY_MUST_BE_FILLED
C_conn2_VV_junc3,m6_per_J,0,EMPTY_MUST_BE_FILLED
R_constriction_final_PV05,Js_per_m6,0,EMPTY_MUST_BE_FILLED
l_PV05,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV05,metre,0.000003,EMPTY_MUST_BE_FILLED
l_V05,metre,0.000035,EMPTY_MUST_BE_FILLED
r_V05,metre,0.00000275,EMPTY_MUST_BE_FILLED
R_constriction_final_PTC1,Js_per_m6,0,EMPTY_MUST_BE_FILLED
l_PTC1,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PTC1,metre,0.00000275,EMPTY_MUST_BE_FILLED
R_constriction_final_TC1,Js_per_m6,0,EMPTY_MUST_BE_FILLED
l_TC1,metre,0.0000509,EMPTY_MUST_BE_FILLED
r_TC1,metre,0.0000025,EMPTY_MUST_BE_FILLED
H_L_out_RHS_TC1,dimensionless,0.6,EMPTY_MUST_BE_FILLED
u_out_TC1,J_per_m3,6300,EMPTY_MUST_BE_FILLED
R_constriction_final_PV06,Js_per_m6,0,EMPTY_MUST_BE_FILLED
l_PV06,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV06,metre,0.000003,EMPTY_MUST_BE_FILLED
l_V06,metre,0.0000183,EMPTY_MUST_BE_FILLED
r_V06,metre,0.00000275,EMPTY_MUST_BE_FILLED
l_VV_junc4,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc4,metre,0.00000275,EMPTY_MUST_BE_FILLED
vbc2_VV_junc4,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to2_VV_junc4,dimensionless,0,EMPTY_MUST_BE_FILLED
r_bc2_VV_junc4,metre,0,EMPTY_MUST_BE_FILLED
C_conn2_VV_junc4,m6_per_J,0,EMPTY_MUST_BE_FILLED
l_TC2,metre,0.0000538,EMPTY_MUST_BE_FILLED
r_TC2,metre,0.0000025,EMPTY_MUST_BE_FILLED
H_L_out_RHS_TC2,dimensionless,0.6,EMPTY_MUST_BE_FILLED
u_out_TC2,J_per_m3,6300,EMPTY_MUST_BE_FILLED
l_TC3,metre,0.0002368,EMPTY_MUST_BE_FILLED
