name,BC_type,vessel_type,inp_vessels,out_vessels,branch order 
inlet,pp_H1,capillary_H_D,,VV_junc1,1
VV_junc1,vv_junction,capillary_H_D,inlet,V66 V67,1
V67,pp_H3L_H1R,capillary_H_D,VV_junc1,VV_junc67,1
VV_junc67,vv_junction,capillary_H_D,V67,V166 V167,1
V166,pp_H3L_H1R,capillary_H_D,VV_junc67,VV_junc166,1
VV_junc166,vv_junction,capillary_H_D,V166,V283 V463,1
V283,pp_H3,capillary_H_D,VV_junc166,,2
V463,pp_H4L_H1R,capillary_H_D,VV_junc166,V774 V773,2
V773,vp,capillary_H_D,V463,VV_junc773,1
V774,vp,capillary_H_D,V463,VV_junc774,
VV_junc773,vv_junction,capillary_H_D,V773,V932 V933,2
V932,pp_H3,capillary_H_D,VV_junc773,,
V933,pp_H4L_H1R,capillary_H_D,VV_junc773,VV_junc933,
VV_junc933,vv_junction,capillary_H_D,V944,V1187 V1188,
V1187,pp_H3L_H1R,capillary_H_D,VV_junc933,VV_junc1187,
VV_junc1187,vv_junction,capillary_H_D,V1187,V1735 V1736,
V1735,pp_H3L_H1R,capillary_H_D,VV_junc1187,VV_junc1735,
VV_junc1735,vv_junction,capillary_H_D,V1735,V1950 V2053,
V1950,pp_H3L_H1R,capillary_H_D,VV_junc1735,,
V2053,pp_H4L_H1R,capillary_H_D,V2735,VV_junc2053,
VV_junc2053,vv_junction,capillary_H_D,V2053,V1858 V2054,
V1858,pp_H3,capillary_H_D,VV_junc2053,,
V2054,pp_H4L_H1R,capillary_H_D,VV_junc2053,VV_junc2054,
VV_junc2054,vv_junction,capillary_H_D,V2054,V1391 V1514,
V1391,pp_H3,capillary_H_D,VV_junc2054,,
V1514,pp_H4,capillary_H_D,VV_junc2054,,
V1736,pp_H4,capillary_H_D,VV_junc1187,,
V1188,pp_H4L_H1R,capillary_H_D,VV_junc933,VV_junc1188,
VV_junc1188,vv_junction,capillary_H_D,V1188,V1809 V2242,
V1809,pp_H3,capillary_H_D,VV_junc1188,,
V2242,pp_H4L_H1R,capillary_H_D,VV_junc1188,VV_junc2242,
VV_junc2242,vv_junction,capillary_H_D,V2242,V2409 V2410,
V2409,pp_H3L_H1R,capillary_H_D,VV_junc2242,VV_junc2409,
VV_junc2409,vv_junction,capillary_H_D,V2409,V2411 V2495,
V2411,pp_H3L_H1R,capillary_H_D,VV_junc2409,VV_junc2411,
V2495,pp_H4,capillary_H_D,VV_junc2409,,
VV_junc2411,vv_junction,capillary_H_D,V2411,V1964 V2412,
V1964,pp_H3,capillary_H_D,VV_junc2411,,
V2412,pp_H4L_H1R,capillary_H_D,VV_junc2411,VV_junc2412,
VV_junc2412,vv_junction,capillary_H_D,V2412,V2065 V2501,
V2065,pp_H3,capillary_H_D,VV_junc2412,,
V2501,pp_H4L_H1R,capillary_H_D,VV_junc2412,VV_junc2501,
VV_junc2501,vv_junction,capillary_H_D,V2501,V2066 V2503,
V2066,pp_H3,capillary_H_D,VV_junc2501,,
V2503,pp_H4_H1R,capillary_H_D,VV_junc2501,VV_junc2503,
VV_junc2503,vv_junction,capillary_H_D,V2503,V2067 V2504,
V2067,pp_H3,capillary_H_D,VV_junc2503,,
V2504,pp_H4L_H1R,capillary_H_D,VV_junc2503,VV_junc2504,
VV_junc2504,vv_junction,capillary_H_D,V2504,V2247 V2505,
V2505,pp_H3,capillary_H_D,VV_junc2504,,
V2247,pp_H4L_H1R,capillary_H_D,VV_junc2504,VV_junc2247,
VV_junc2247,vv_junction,capillary_H_D,V2247,V2068 V2069,
V2068,pp_H3,capillary_H_D,VV_junc2247,,
V2069,pp_H4,capillary_H_D,VV_junc2247,,
V2410,pp_H4L_H1R,capillary_H_D,VV_junc2242,VV_junc2410,
VV_junc2410,vv_junction,capillary_H_D,V2410,V2064 V2494,
V2494,pp_H4L_H1R,capillary_H_D,VV_junc2410,VV_junc2494,
VV_junc2494,vv_junction,capillary_H_D,V2494,V2408 V2711,
V2048,pp_H3,capillary_H_D,VV_junc2494,,
V2711,pp_H4L_H1R,capillary_H_D,VV_junc2494,VV_junc2711,
VV_junc2711,vv_junction,capillary_H_D,V2711,V2932 V2933,
V2932,pp_H3L_H1R,capillary_H_D,VV_junc2711,VV_junc2932,
VV_junc2932,vv_junction,capillary_H_D,V2932,V2927 V3024,
V2927,pp_H3L_H1R,capillary_H_D,VV_junc2932,VV_junc2927,
VV_junc2927,vv_junction,capillary_H_D,V2927,V2149 V2608,
V2149,pp_H3L_H1R,capillary_H_D,VV_junc2927,VV_junc2149,
VV_junc2149,vv_junction,capillary_H_D,V2149,V1475 V1856,
V1475,pp_H3L_H1R,capillary_H_D,VV_junc2149,VV_junc1475,
VV_junc1475,vv_junction,capillary_H_D,V1475,V1237 V1474,
V1237,pp_H3,capillary_H_D,VV_junc1475,,
V1474,pp_H4L_H1R,capillary_H_D,VV_junc1475,VV_junc1474,
VV_junc1474,vv_junction,capillary_H_D,V1474,V854 V1236,
V854,pp_H3,capillary_H_D,VV_junc1474,,
V1236,pp_H4,capillary_H_D,VV_junc1474,,
V1856,pp_H4L_H1R,capillary_H_D,VV_junc2149,VV_junc1856,
VV_junc1856,vv_junction,capillary_H_D,V1856,V1805 1855,
V1805,pp_H3L_H1R,capillary_H_D,VV_junc1856,VV_junc1805,
VV_junc1805,vv_junction,capillary_H_D,V1805,V1663 V1734,
V1663,pp_H3,capillary_H_D,VV_junc1805,,
V1734,pp_H4,capillary_H_D,VV_junc1805,,
V1855,pp_H4_H1R,capillary_H_D,VV_junc1856,VV_junc1855,
VV_junc1855,vv_junction,capillary_H_D,V1855,V1518 V1857,
V1518,,capillary_H_D,VV_junc1855,,
V1857,pp_H4,capillary_H_D,VV_junc1855,,
V2608,pp_H4L_H1R,capillary_H_D,VV_junc2927,VV_junc2608,
VV_junc2608,vv_junction,capillary_H_D,V2608,V2316 V2490,
V2316,pp_H3L_H1R,capillary_H_D,VV_junc2608,VV_junc2316,
VV_junc2316,vv_junction,capillary_H_D,V2316,V2314 V2315,
V2314,pp_H3L_H1R,capillary_H_D,VV_junc2316,VV_junc2314,
V2315,pp_H4,capillary_H_D,VV_junc2316,,
VV_junc2314,vv_junction,capillary_H_D,V2314,V2487 V2488,
V2487,pp_H3L_H1R,capillary_H_D,VV_junc2314,VV_junc2487,
VV_junc2487,vv_junction,capillary_H_D,V2487,V2047 V2404,
V2047,pp_H3L_H1R,capillary_H_D,VV_junc2487,,
V2404,pp_H4_H1R,capillary_H_D,VV_junc2487,,
V2488,pp_H4,capillary_H_D,VV_junc2315,,
V2490,pp_H4L_H1R,capillary_H_D,VV_junc2609,,
V3024,pp_H4L_H1R,capillary_H_D,VV_junc2932,,
V2933,pp_H4L_H1R,capillary_H_D,VV_junc2711,,
V2064,pp_H3L_H1R,capillary_H_D,VV_junc2410,,
V858,pp_H3,capillary_H_D,VV_junc774,,
V1004,pp_H4L_H1R,capillary_H_D,VV_junc774,,
