variable_name,units,value,data_reference
l_inlet,metre,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
r_inlet,metre,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
H_R_out_LHS_inlet,dimensionless,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
u_in_inlet,J_per_m3,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
H_global_L,dimensionless,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
H_global_R,dimensionless,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
gamma_mirror,dimensionless,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
tau_H_down,second,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
tau_H_mean,second,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
v_eps,m3_per_s,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
q_C_init,m3,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
mu_plasma,Js_per_m3,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
u_ext,J_per_m3,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
tau_link,second,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
v_scale,m3_per_s,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
one_mm3,m3,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
l_VV_junc1,metre,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
r_VV_junc1,metre,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
vbc2_VV_junc1,m3_per_s,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
H_to2_VV_junc1,dimensionless,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
r_bc2_VV_junc1,metre,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
C_conn2_VV_junc1,m6_per_J,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
div_0,dimensionless,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
div_0y,dimensionless,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
tau_junc,second,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
v_threshold,m3_per_s,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
k,dimensionless,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
R,Js_per_m6,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
R_constriction_final_PV1,Js_per_m6,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
l_PV1,metre,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
r_PV1,metre,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
R_constriction_base,Js_per_m6,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
tau_sig,second,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
t0,second,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
R_constriction_final_PV2,Js_per_m6,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
l_PV2,metre,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
r_PV2,metre,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
l_V1,metre,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
r_V1,metre,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
H_L_out_RHS_V1,dimensionless,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
u_out_V1,J_per_m3,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
l_V2,metre,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
r_V2,metre,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
H_L_out_RHS_V2,dimensionless,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
u_out_V2,J_per_m3,EMPTY_MUST_BE_FILLED,EMPTY_MUST_BE_FILLED
