category,variable,value
state,inlet/H_link_R,-1.9984014885135946e-16
state,inlet/H_link_L,0.45
state,inlet/H_down,0.45000000994816686
state,inlet/RBC_volume,1.5269640297159772e-14
state,inlet/q_C,3.3326531138933488e-18
state,VV_junc1/RBC_volume,5.0899981016906383e-17
state,VV_junc1/q_C,2.7729721054424635e-18
state,VV_junc1/q_C_d,2.7701283341496695e-18
state,PV1/H_link_R,0.45066594907900703
state,PV1/H_link_L,0.45005807512155366
state,PV1/H_down,0.45066415426369355
state,PV1/RBC_volume,7.645137146985757e-16
state,PV1/q_C,1.6625090353096748e-19
state,PV2/H_link_R,0.4506660141504298
state,PV2/H_link_L,0.45005807347727317
state,PV2/H_down,0.4506642190463343
state,PV2/RBC_volume,7.645138141429107e-16
state,PV2/q_C,1.662509035300436e-19
state,V1/H_link_R,0.45
state,V1/H_link_L,0.45066506738583584
state,V1/H_down,0.4499375638693855
state,V1/RBC_volume,1.0692571610648219e-14
state,V1/q_C,2.7707624254559425e-18
state,V2/H_link_R,0.45
state,V2/H_link_L,0.4506651323127141
state,V2/H_down,0.4499375579201643
state,V2/RBC_volume,1.0692571622937236e-14
state,V2/q_C,2.770762425425145e-18
constant,global/H_global_L,0.45
constant,global/H_global_R,0.45
constant,inlet/H_R_out_LHS,0.45
constant,global/gamma_mirror,0.1
constant,global/tau_H_down,0.001
constant,global/tau_H_mean,0.001
constant,global/v_eps,1e-30
constant,global/q_C_init,0.0
constant,inlet/r,6e-06
constant,global/mu_plasma,0.001
constant,inlet/u_in,6666.1
constant,global/u_ext,133.0
constant,global/tau_link,0.001
constant,global/v_scale,1e-50
constant,global/one_mm3,1e-09
constant,global/div_0,1e-25
constant,global/div_0y,1e-08
constant,global/tau_junc,0.0001
constant,global/v_threshold,1e-18
constant,global/k,1000.0
constant,VV_junc1/r,6e-06
constant,VV_junc1/vbc2,0.0
constant,VV_junc1/H_to2,0.0
constant,VV_junc1/r_bc2,0.0
constant,VV_junc1/C_conn2,8.51e-22
constant,global/R,1000000000000000.0
constant,global/R_constriction_base,0.0
constant,PV1/R_constriction_final,0.0
constant,global/tau_sig,1.0
constant,global/t0,500.0
constant,PV1/r,6e-06
constant,PV2/R_constriction_final,0.0
