time,PV1__R_constriction,PV1__u_mmHg,PV1__v_mm3_s,PV2__R_constriction,PV2__u_mmHg,PV2__v_mm3_s,V1__u_mmHg,V1__v_mm3_s,V2__u_mmHg,V2__v_mm3_s,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta,VV_junc1__u_d_mmHg,VV_junc1__u_mmHg,inlet__H_down,inlet__H_link_L,inlet__H_link_R,inlet__RBC_volume,inlet__u_mmHg
0.0,7.124576406741286e-197,49.827394419523806,3.341681909767813e-06,0.0,49.82739441925245,3.3416818802070107e-06,49.82587945431751,3.3416819084209094e-06,49.82587945377477,3.3416818788927226e-06,0.4500546438778496,0.45005464222897756,49.828909384730174,49.87903887416441,0.45000000994816686,0.45,-1.9984014885135946e-16,1.5269640297159772e-14,49.93951943708114
1.0,1.9366606581912876e-196,49.827399881518836,3.3416267861295625e-06,0.0,49.82739988151616,3.3416267428450036e-06,49.82588755499204,3.34162678623582e-06,49.8258875549867,3.3416267429480363e-06,0.45000000924770833,0.4500000068333935,49.82891220804562,49.879040870452016,0.4500000080115133,0.45,-1.9061232431325574e-30,1.5269640237460293e-14,49.93952043522602
2.0,5.264389475052911e-196,49.82739949499406,3.341640064289212e-06,0.0,49.827399495017026,3.341640028273479e-06,49.825887461386905,3.3416400642948094e-06,49.82588746143283,3.341640028281417e-06,0.4500000079651222,0.45000000595625383,49.82891152860123,49.87904039024768,0.45000000644705,0.45,7.223839659698982e-35,1.526964018878225e-14,49.939520195123905
3.0,1.431009424796738e-195,49.827398586045106,3.341658326958655e-06,0.0,49.82739858606598,3.341658298757635e-06,49.82588657826418,3.3416583270044616e-06,49.82588657830593,3.3416582987973746e-06,0.45000000562753373,0.4500000040545593,49.82891059382603,49.87903972949487,0.4500000051316155,0.45,-3.843017375886164e-39,1.5269640148898644e-14,49.939519864747446
4.0,3.889886915778604e-195,49.827397741465354,3.3416747577847755e-06,0.0,49.82739774148206,3.3416747359696004e-06,49.82588573013957,3.3416747578386943e-06,49.82588573017298,3.3416747360322495e-06,0.45000000426199094,0.45000000304520726,49.82890975279112,49.87903913499155,0.45000000407562085,0.45,-2.572774640223631e-41,1.526964011640626e-14,49.93951956749592
5.0,1.0573808917921579e-194,49.82739701045119,3.3416889226501494e-06,0.0,49.82739701046477,3.341688905994694e-06,49.825884993154844,3.341688922694554e-06,49.82588499318204,3.341688906015313e-06,0.4500000046432497,0.45000000371426324,49.828909027747535,49.87903862247749,0.4500000032178387,0.45,2.368480585322118e-41,1.5269640088913566e-14,49.939519311238826
6.0,2.8742592639184426e-194,49.82739638325879,3.341701069070215e-06,0.0,49.82739638326892,3.341701056294084e-06,49.825884360534786,3.341701069121305e-06,49.82588436055506,3.3417010563440116e-06,0.4500000025460654,0.4500000018334577,49.82890840598277,49.879038182954055,0.4500000025622794,0.45,-9.975502777090267e-42,1.526964006964331e-14,49.939519091477095
7.0,7.813046727389574e-194,49.82739584590658,3.3417114749874685e-06,0.0,49.82739584591542,3.3417114654473567e-06,49.82588381847674,3.341711474999504e-06,49.82588381849442,3.3417114654567944e-06,0.4500000034548806,0.45000000292276826,49.82890787333644,49.87903780643349,0.45000000201264645,0.45,3.0303234525723023e-41,1.5269640051542723e-14,49.93951890321683
8.0,2.1238062943964494e-193,49.82739538631323,3.3417203748741775e-06,0.0,49.82739538631949,3.341720367810357e-06,49.82588335486126,3.341720374917546e-06,49.8258833548738,3.3417203678447214e-06,0.45000000188917477,0.45000000149518193,49.82890741776517,49.879037484390985,0.45000000153666925,0.45,3.367813535593575e-42,1.526964003762317e-14,49.939518742195546
9.0,5.77310405722481e-193,49.82739499138863,3.34172802211517e-06,0.0,49.8273949913926,3.3417280167417477e-06,49.82588295648143,3.3417280221515256e-06,49.82588295648938,3.341728016777008e-06,0.45000000086628356,0.4500000005665751,49.82890702629581,49.87903720765278,0.4500000012231459,0.45,-1.306392938576849e-41,1.526964002841652e-14,49.93951860382642
