time,inlet__H_link_R,inlet__H_link_L,inlet__H_down,inlet__RBC_volume,inlet__q_C,VV_junc1__RBC_volume,VV_junc1__q_C,VV_junc1__q_C_d,PV1__H_link_R,PV1__H_link_L,PV1__H_down,PV1__RBC_volume,PV1__q_C,PV2__H_link_R,PV2__H_link_L,PV2__H_down,PV2__RBC_volume,PV2__q_C,V1__H_link_R,V1__H_link_L,V1__H_down,V1__RBC_volume,V1__q_C,V2__H_link_R,V2__H_link_L,V2__H_down,V2__RBC_volume,V2__q_C,inlet__u_mmHg,VV_junc1__u_mmHg,VV_junc1__u_d_mmHg,PV1__u_mmHg,PV2__u_mmHg,V1__u_mmHg,V2__u_mmHg,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta
0.0,-1.9984014885135946e-16,0.45,0.45000000994816686,1.5269640297159772e-14,3.3326531138933488e-18,5.0899981016906383e-17,2.7729721054424635e-18,2.7701283341496695e-18,0.45066594907900703,0.45005807512155366,0.45066415426369355,7.645137146985757e-16,1.6625090353096748e-19,0.4506660141504298,0.45005807347727317,0.4506642190463343,7.645138141429107e-16,1.662509035300436e-19,0.45,0.45066506738583584,0.4499375638693855,1.0692571610648219e-14,2.7707624254559425e-18,0.45,0.4506651323127141,0.4499375579201643,1.0692571622937236e-14,2.770762425425145e-18,49.93951943708114,49.87903887416441,49.828909384730174,49.827394419523806,49.82739441925245,49.82587945431751,49.82587945377477,0.4500546438778496,0.45005464222897756
1.0,-1.9061232431325574e-30,0.45,0.4500000080115133,1.5269640237460293e-14,3.332653181861047e-18,5.089380194251954e-17,2.772972218688887e-18,2.7701284943121507e-18,0.4500770778662046,0.4500000092473435,0.45007674356050326,7.635999404992447e-16,1.6625092212742763e-19,0.45007708320965345,0.45000000683613656,0.45007674887025567,7.635999482911393e-16,1.6625092212741853e-19,0.45,0.45007691053169396,0.45003820067152067,1.0693471139687562e-14,2.7707628851288594e-18,0.45,0.4500769158582759,0.4500382044900362,1.0693471233718657e-14,2.770762885128556e-18,49.93952043522602,49.879040870452016,49.82891220804562,49.827399881518836,49.82739988151616,49.82588755499204,49.8258875549867,0.45000000924770833,0.4500000068333935
2.0,7.223839659698982e-35,0.45,0.45000000644705,1.526964018878225e-14,3.332653165511529e-18,5.089380182038993e-17,2.7729721914476104e-18,2.7701284557682824e-18,0.4500087958923616,0.45000000776524063,0.45000875777079724,7.634953075074675e-16,1.6625092081142634e-19,0.45000879458095755,0.4500000057961513,0.45000875645634686,7.63495305174027e-16,1.6625092081150453e-19,0.45,0.4500087768108626,0.4500432808909762,1.0693433136432015e-14,2.770762879817234e-18,0.45,0.4500087754979331,0.45004328486876677,1.0693433219505938e-14,2.77076287981984e-18,49.939520195123905,49.87904039024768,49.82891152860123,49.82739949499406,49.827399495017026,49.825887461386905,49.82588746143283,0.4500000079651222,0.45000000595625383
3.0,-3.843017375886164e-39,0.45,0.4500000051316155,1.5269640148898644e-14,3.3326531430148675e-18,5.089380158066412e-17,2.772972153964087e-18,2.7701284027398768e-18,0.4500010082049613,0.45000000578562027,0.45000100385766695,7.634833736234931e-16,1.6625091771672689e-19,0.4500010065287311,0.4500000041283882,0.4500010021815701,7.634833707827941e-16,1.6625091771679795e-19,0.45,0.4500010060289571,0.45003828150899244,1.0693308313433142e-14,2.7707628297044197e-18,0.45,0.45000100435279394,0.4500382847153229,1.0693308379055674e-14,2.770762829706789e-18,49.939519864747446,49.87903972949487,49.82891059382603,49.827398586045106,49.82739858606598,49.82588657826418,49.82588657830593,0.45000000562753373,0.4500000040545593
4.0,-2.572774640223631e-41,0.45,0.45000000407562085,1.526964011640626e-14,3.3326531227738156e-18,5.0893801446366984e-17,2.772972120238799e-18,2.7701283550292187e-18,0.45000011974646814,0.45000000438244536,0.4500001192470914,7.634820119512817e-16,1.662509148411853e-19,0.4500001183097446,0.4500000032209433,0.45000011781126203,7.634820095582202e-16,1.662509148412422e-19,0.45,0.450000119496514,0.45003293207782474,1.0693190856269828e-14,2.770762781577574e-18,0.45,0.450000118060237,0.4500329345757651,1.0693190907110916e-14,2.77076278157947e-18,49.93951956749592,49.87903913499155,49.82890975279112,49.827397741465354,49.82739774148206,49.82588573013957,49.82588573017298,0.45000000426199094,0.45000000304520726
5.0,2.368480585322118e-41,0.45,0.4500000032178387,1.5269640088913566e-14,3.3326531053242397e-18,5.089380150576088e-17,2.7729720911646392e-18,2.7701283138985758e-18,0.4500000195278728,0.4500000045268928,0.45000001946303075,7.634818584007894e-16,1.6625091235230065e-19,0.45000001827640446,0.45000000331733186,0.45000001821166213,7.6348185628421e-16,1.662509123523469e-19,0.45,0.4500000194954167,0.4500282277201314,1.069308903647485e-14,2.770762739757363e-18,0.45,0.45000001824399816,0.45002822965327755,1.0693089075519225e-14,2.770762739758906e-18,49.939519311238826,49.87903862247749,49.828909027747535,49.82739701045119,49.82739701046477,49.825884993154844,49.82588499318204,0.4500000046432497,0.45000000371426324
6.0,-9.975502777090267e-42,0.45,0.4500000025622794,1.526964006964331e-14,3.3326530903597802e-18,5.0893801280810854e-17,2.7729720662311296e-18,2.7701282786267866e-18,0.4500000041336631,0.4500000026559753,0.45000000412762176,7.634818345033105e-16,1.6625091021689802e-19,0.4500000032162017,0.4500000019461935,0.4500000032109815,7.634818329806541e-16,1.6625091021693251e-19,0.45,0.4500000041306415,0.4500241837092494,1.0693001662118731e-14,2.770762703859327e-18,0.45,0.4500000032135906,0.4500241851835426,1.06930016919749e-14,2.770762703860477e-18,49.939519091477095,49.879038182954055,49.82890840598277,49.82739638325879,49.82739638326892,49.825884360534786,49.82588436055506,0.4500000025460654,0.4500000018334577
7.0,3.0303234525723023e-41,0.45,0.45000000201264645,1.5269640051542723e-14,3.3326530775403815e-18,5.0893801393802206e-17,2.7729720448716782e-18,2.7701282484105532e-18,0.45000000348355684,0.4500000034030357,0.4500000034828349,7.634818336273062e-16,1.662509083873744e-19,0.4500000025673081,0.45000000230626325,0.45000000256593925,7.634818320434318e-16,1.662509083874045e-19,0.45,0.45000000348319324,0.45002071751072337,1.0692926799038276e-14,2.7707626731002335e-18,0.45,0.4500000025666215,0.4500207186462455,1.069292682158113e-14,2.770762673101237e-18,49.93951890321683,49.87903780643349,49.82890787333644,49.82739584590658,49.82739584591542,49.82588381847674,49.82588381849442,0.4500000034548806,0.45000000292276826
8.0,3.367813535593575e-42,0.45,0.45000000153666925,1.526964003762317e-14,3.332653066575795e-18,5.089380122453552e-17,2.7729720266026866e-18,2.7701282225666738e-18,0.45000000253559375,0.4500000018925354,0.45000000253310796,7.634818319274084e-16,1.6625090682259642e-19,0.4500000018856942,0.4500000014223562,0.45000000188386335,7.634818308540081e-16,1.6625090682261775e-19,0.45,0.45000000253435096,0.4500177529467335,1.06928627694307e-14,2.7707626467923656e-18,0.45,0.4500000018847787,0.4500177537829197,1.0692862786084368e-14,2.770762646793077e-18,49.939518742195546,49.879037484390985,49.82890741776517,49.82739538631323,49.82739538631949,49.82588335486126,49.8258833548738,0.45000000188917477,0.45000000149518193
9.0,-1.306392938576849e-41,0.45,0.4500000012231459,1.526964002841652e-14,3.332653057153685e-18,5.0893801114180905e-17,2.7729720109037402e-18,2.7701282003591993e-18,0.45000000151706293,0.4500000008996278,0.450000001514634,7.634818302028229e-16,1.6625090547799625e-19,0.45000000117396083,0.4500000008220019,0.4500000011725789,7.634818296640761e-16,1.6625090547800976e-19,0.45,0.4500000015158486,0.4500152055738641,1.0692807750010029e-14,2.770762624186295e-18,0.45,0.45000000117327005,0.45001520618713936,1.0692807762512865e-14,2.770762624186746e-18,49.93951860382642,49.87903720765278,49.82890702629581,49.82739499138863,49.8273949913926,49.82588295648143,49.82588295648938,0.45000000086628356,0.4500000005665751
