environment | time (second),inlet | u_mmHg (dimensionless),inlet | v_mm3_s (mm3_per_s),PV1 | u_mmHg (dimensionless),PV1 | v_mm3_s (mm3_per_s),PV2 | u_mmHg (dimensionless),PV2 | v_mm3_s (mm3_per_s),V1 | u_mmHg (dimensionless),V1 | v_mm3_s (mm3_per_s),V2 | u_mmHg (dimensionless),V2 | v_mm3_s (mm3_per_s),VV_junc1 | H_VV_out_alpha (dimensionless),VV_junc1 | H_VV_out_beta (dimensionless),VV_junc1 | u_mmHg (dimensionless),VV_junc1 | v_mm3_s (mm3_per_s)
0,0.99758479470755,0.00541497898065747,0.99758479470755,0,0.99758479470755,0,0.99758479470755,-0.00214705185868789,0.99758479470755,-0.00214705185868789,0.449999999602113,0.449999999602113,0.99758479470755,0
1,49.9395206686136,6.68322790423779e-06,49.827400428089,3.34161544893148e-06,49.8274004280926,3.34161545707935e-06,49.8258879905843,3.34161394764532e-06,49.8258879905911,3.34161395641704e-06,0.449999999032809,0.449999998578338,49.8790413372233,6.68322790643833e-06
2,49.9395204437805,6.68325273126513e-06,49.8274001908545,3.34162531158944e-06,49.82740019085,3.34162531828844e-06,49.82588814954,3.34162636143895e-06,49.8258881495306,3.34162636880866e-06,0.450000006781672,0.450000006408016,49.8790408875664,6.68325272815127e-06
3,49.9395200840519,6.68329252566038e-06,49.8273992100169,3.34164577999312e-06,49.827399210021,3.34164578612561e-06,49.8258872062628,3.34164625871403e-06,49.8258872062739,3.34164626694723e-06,0.450000039245214,0.45000003890316,49.8790401681321,6.6832925294284e-06
4,49.9395197558047,6.68332879670343e-06,49.8273982774737,3.34166546499257e-06,49.8273982774722,3.34166547494882e-06,49.8258862712457,3.34166439531184e-06,49.8258862712455,3.34166440260405e-06,0.450000003072355,0.450000002517025,49.8790395116136,6.68332879804348e-06
5,49.9395194726757,6.68336011048779e-06,49.8273974709587,3.341678231706e-06,49.8273974709561,3.34167823981487e-06,49.8258854567829,3.34168005246123e-06,49.8258854567766,3.34168005903596e-06,0.450000009598307,0.45000000914602,49.8790389453565,6.6833601104463e-06
6,49.9395192298682,6.68338694395746e-06,49.8273967770883,3.34169395177167e-06,49.8273967770992,3.34169395945656e-06,49.8258847580004,3.34169346720695e-06,49.8258847580215,3.34169347717376e-06,0.449999997387416,0.449999996958779,49.8790384597365,6.68338694423619e-06
7,49.9395190204542,6.68341000283703e-06,49.8273961805856,3.34170468437029e-06,49.8273961805685,3.34170469665874e-06,49.8258841560487,3.34170500020576e-06,49.8258841560186,3.34170500592625e-06,0.449999971790466,0.449999971105059,49.8790380409009,6.68341000354667e-06
8,49.9395188402059,6.68342977733655e-06,49.827395667745,3.34171378452348e-06,49.8273956677099,3.34171378992468e-06,49.8258836384766,3.34171489348463e-06,49.8258836384113,3.34171488973554e-06,0.449999958907307,0.449999958606048,49.8790376803995,6.68342977798056e-06
9,49.9395186856239,6.68344670990698e-06,49.8273952276488,3.3417224865626e-06,49.8273952276285,3.34172248004182e-06,49.825883194663,3.34172336313086e-06,49.825883194624,3.34172335310003e-06,0.449999963858756,0.449999963495052,49.8790373712348,6.68344671054729e-06
