time,inlet__H_link_R,inlet__H_link_L,inlet__H_down,inlet__q_C,VV_junc1__RBC_volume,VV_junc1__q_C,VV_junc1__q_C_d,PV1__H_link_R,PV1__H_link_L,PV1__H_down,PV1__q_C,PV2__H_link_R,PV2__H_link_L,PV2__H_down,PV2__q_C,V1__H_link_R,V1__H_link_L,V1__H_down,V1__q_C,V2__H_link_R,V2__H_link_L,V2__H_down,V2__q_C,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta,inlet__u_mmHg,VV_junc1__u_mmHg,VV_junc1__u_d_mmHg,PV1__u_mmHg,PV2__u_mmHg,V1__u_mmHg,V2__u_mmHg
0.0,-1.9984014885135946e-16,0.45,0.45000000994816686,3.3326531138933488e-18,5.0899981016906383e-17,2.7729721054424635e-18,2.7701283341496695e-18,0.45066594907900703,0.45005807512155366,0.45066415426369355,1.6625090353096748e-19,0.4506660141504298,0.45005807347727317,0.4506642190463343,1.662509035300436e-19,0.45,0.45066506738583584,0.4499375638693855,2.7707624254559425e-18,0.45,0.4506651323127141,0.4499375579201643,2.770762425425145e-18,0.4500546438778496,0.45005464222897756,49.93951943708114,49.87903887416441,49.828909384730174,49.827394419523806,49.82739441925245,49.82587945431751,49.82587945377477
1.0,-2.971472986644048e-29,0.45,0.4500000099460098,3.3326531138941484e-18,5.089380215960576e-17,2.7729721054436745e-18,2.7701283341511748e-18,0.4506690181845522,0.4500000107848146,0.4506690181847854,1.662509035310581e-19,0.4506690828235751,0.450000009137279,0.4506690828238187,1.6625090353013418e-19,0.45,0.45066901818467253,0.44993736967101855,2.770762425457453e-18,0.45,0.4506690828237002,0.44993736377602744,2.7707624254266557e-18,0.4500000107831594,0.4500000091368696,49.939519437092876,49.87903887418575,49.82890938475671,49.82739441955042,49.82739441927905,49.825879454344125,49.8258794538014
2.0,-4.6891647996851256e-32,0.45,0.4500000099460114,3.332653113894148e-18,5.0893802157960603e-17,2.772972105443674e-18,2.7701283341511748e-18,0.45066901818650307,0.4500000107689094,0.45066901818648847,1.6625090353105807e-19,0.45066908282549184,0.45000000912189425,0.4506690828254767,1.6625090353013415e-19,0.45,0.45066901818649563,0.44993736967082343,2.770762425457453e-18,0.45,0.45066908282548407,0.4499373637758357,2.7707624254266557e-18,0.450000010768613,0.45000000912232324,49.93951943709287,49.879038874185746,49.82890938475671,49.827394419550416,49.827394419279045,49.825879454344125,49.8258794538014
3.0,-6.472916109177324e-31,0.45,0.45000000994601236,3.332653113894148e-18,5.089380215808431e-17,2.772972105443674e-18,2.7701283341511748e-18,0.45066901818643956,0.4500000107698496,0.45066901818640415,1.662509035310581e-19,0.4506690828254176,0.4500000091229488,0.45066908282538115,1.6625090353013415e-19,0.45,0.4506690181864215,0.44993736967082976,2.770762425457453e-18,0.45,0.450669082825399,0.4499373637758431,2.7707624254266557e-18,0.45000001076928703,0.4500000091238368,49.93951943709287,49.879038874185746,49.82890938475671,49.82739441955042,49.827394419279045,49.825879454344125,49.8258794538014
4.0,-8.978157156147425e-31,0.45,0.45000000994601236,3.3326531138941484e-18,5.089380215836111e-17,2.7729721054436745e-18,2.7701283341511748e-18,0.45066901818613003,0.4500000107725268,0.4506690181861231,1.662509035310581e-19,0.450669082825127,0.45000000912542226,0.45066908282512,1.6625090353013418e-19,0.45,0.45066901818612654,0.44993736967086073,2.770762425457453e-18,0.45,0.45066908282512347,0.4499373637758722,2.7707624254266557e-18,0.45000001077215424,0.45000000912586446,49.939519437092876,49.87903887418575,49.82890938475671,49.82739441955042,49.82739441927905,49.825879454344125,49.8258794538014
5.0,-1.5697245828900394e-30,0.45,0.4500000099460129,3.332653113894149e-18,5.0893802158808734e-17,2.7729721054436745e-18,2.7701283341511748e-18,0.4506690181856872,0.4500000107765701,0.45066901818570654,1.662509035310581e-19,0.4506690828246769,0.45000000912952687,0.45066908282469686,1.6625090353013418e-19,0.45,0.45066901818569716,0.44993736967090503,2.770762425457453e-18,0.45,0.4506690828246871,0.44993736377591714,2.7707624254266557e-18,0.4500000107761121,0.45000000912982235,49.93951943709288,49.87903887418575,49.82890938475671,49.82739441955042,49.82739441927905,49.825879454344125,49.8258794538014
6.0,-2.5605060223043345e-30,0.45,0.4500000099460143,3.3326531138941492e-18,5.0893802159117986e-17,2.772972105443675e-18,2.7701283341511748e-18,0.45066901818548966,0.45000001077883534,0.4506690181854894,1.662509035310581e-19,0.45066908282440515,0.45000000913254445,0.45066908282440465,1.6625090353013418e-19,0.45,0.45066901818548954,0.44993736967092474,2.770762425457453e-18,0.45,0.45066908282440493,0.4499373637759443,2.770762425426656e-18,0.4500000107788465,0.4500000091325567,49.93951943709289,49.87903887418576,49.82890938475671,49.82739441955042,49.82739441927905,49.825879454344125,49.825879453801406
7.0,7.041645332801366e-31,0.45,0.45000000994601036,3.3326531138941484e-18,5.0893802157739026e-17,2.772972105443674e-18,2.7701283341511748e-18,0.45066901818670224,0.450000010766668,0.4506690181867046,1.6625090353105807e-19,0.4506690828256176,0.4500000091203785,0.45066908282561996,1.662509035301342e-19,0.45,0.4506690181867034,0.4499373696708036,2.770762425457453e-18,0.45,0.45066908282561874,0.44993736377582316,2.7707624254266553e-18,0.4500000107679127,0.45000000911910515,49.939519437092876,49.879038874185746,49.82890938475671,49.827394419550416,49.82739441927907,49.825879454344125,49.82587945380139
8.0,1.096230727152209e-30,0.45,0.45000000994600986,3.332653113894148e-18,5.089380215756247e-17,2.7729721054436737e-18,2.7701283341511748e-18,0.45066901818686006,0.4500000107651037,0.45066901818686145,1.6625090353105807e-19,0.45066908282577534,0.45000000911881444,0.45066908282577683,1.662509035301342e-19,0.45,0.4506690181868607,0.44993736967078785,2.7707624254574532e-18,0.45,0.45066908282577606,0.4499373637758074,2.7707624254266553e-18,0.4500000107663516,0.45000000911754406,49.93951943709287,49.879038874185746,49.82890938475671,49.827394419550416,49.82739441927907,49.82587945434413,49.82587945380139
9.0,1.3332260336186243e-31,0.45,0.450000009946011,3.3326531138941484e-18,5.089380215795852e-17,2.772972105443674e-18,2.7701283341511748e-18,0.45066901818651434,0.4500000107685919,0.45066901818651367,1.662509035310581e-19,0.4506690828254296,0.45000000912230226,0.450669082825429,1.662509035301342e-19,0.45,0.450669018186514,0.4499373696708224,2.770762425457453e-18,0.45,0.45066908282542933,0.449937363775842,2.7707624254266557e-18,0.4500000107694338,0.4500000091214656,49.939519437092876,49.879038874185746,49.82890938475671,49.82739441955042,49.82739441927907,49.825879454344125,49.8258794538014
10.0,-6.66929794040921e-31,0.45,0.45000000994601197,3.3326531138941484e-18,5.089380215829738e-17,2.7729721054436745e-18,2.7701283341511748e-18,0.45066901818621635,0.45000001077158197,0.4506690181862151,1.662509035310581e-19,0.4506690828251317,0.4500000091252919,0.45066908282513035,1.6625090353013418e-19,0.45,0.4506690181862157,0.4499373696708521,2.770762425457453e-18,0.45,0.450669082825131,0.44993736377587173,2.7707624254266557e-18,0.45000001077159074,0.45000000912530097,49.939519437092876,49.87903887418575,49.82890938475671,49.82739441955042,49.82739441927905,49.825879454344125,49.8258794538014
11.0,-7.596482320566038e-33,0.45,0.45000000994601125,3.332653113894148e-18,5.089380215803596e-17,2.7729721054436745e-18,2.7701283341511748e-18,0.45066901818644245,0.45000001076928475,0.45066901818644356,1.6625090353105807e-19,0.4506690828253578,0.450000009122995,0.4506690828253589,1.6625090353013418e-19,0.45,0.450669018186443,0.44993736967082953,2.770762425457453e-18,0.45,0.45066908282535834,0.44993736377584914,2.7707624254266557e-18,0.4500000107696989,0.4500000091225698,49.93951943709287,49.87903887418575,49.82890938475671,49.827394419550416,49.82739441927905,49.825879454344125,49.8258794538014
12.0,4.2086028750527996e-33,0.45,0.45000000994601114,3.3326531138941484e-18,5.089380215801694e-17,2.772972105443674e-18,2.7701283341511748e-18,0.450669018186462,0.4500000107691098,0.4506690181864617,1.6625090353105807e-19,0.4506690828253774,0.45000000912282,0.4506690828253771,1.662509035301342e-19,0.45,0.4506690181864618,0.44993736967082754,2.770762425457453e-18,0.45,0.4506690828253772,0.44993736377584714,2.7707624254266557e-18,0.45000001077037,0.45000000912156246,49.939519437092876,49.879038874185746,49.82890938475671,49.827394419550416,49.82739441927907,49.825879454344125,49.8258794538014
13.0,5.6502646971258855e-33,0.45,0.4500000099460112,3.3326531138941484e-18,5.0893802158014474e-17,2.772972105443674e-18,2.7701283341511748e-18,0.45066901818646454,0.4500000107690871,0.4506690181864641,1.6625090353105807e-19,0.4506690828253799,0.4500000091227973,0.45066908282537943,1.662509035301342e-19,0.45,0.45066901818646427,0.4499373696708273,2.7707624254574532e-18,0.45,0.45066908282537965,0.4499373637758469,2.7707624254266557e-18,0.4500000107703482,0.45000000912154065,49.939519437092876,49.879038874185746,49.82890938475671,49.827394419550416,49.82739441927907,49.82587945434413,49.8258794538014
14.0,2.2045472744262515e-33,0.45,0.4500000099460112,3.3326531138941484e-18,5.0893802158019904e-17,2.772972105443674e-18,2.7701283341511748e-18,0.45066901818645894,0.4500000107691369,0.4506690181864589,1.662509035310581e-19,0.4506690828253743,0.45000000912284716,0.45066908282537427,1.6625090353013418e-19,0.45,0.4506690181864589,0.44993736967082787,2.770762425457453e-18,0.45,0.45066908282537427,0.4499373637758475,2.7707624254266557e-18,0.4500000107691373,0.45000000912284754,49.939519437092876,49.879038874185746,49.82890938475671,49.82739441955042,49.82739441927905,49.825879454344125,49.8258794538014
