time,inlet__H_link_R,inlet__H_link_L,inlet__H_down,inlet__q_C,VV_junc1__RBC_volume,VV_junc1__q_C,VV_junc1__q_C_d,PV1__H_link_R,PV1__H_link_L,PV1__H_down,PV1__q_C,PV2__H_link_R,PV2__H_link_L,PV2__H_down,PV2__q_C,V1__H_link_R,V1__H_link_L,V1__H_down,V1__RBC_volume,V1__q_C,V2__H_link_R,V2__H_link_L,V2__H_down,V2__RBC_volume,V2__q_C,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta,inlet__u_mmHg,VV_junc1__u_mmHg,VV_junc1__u_d_mmHg,PV1__u_mmHg,PV2__u_mmHg,V1__u_mmHg,V2__u_mmHg
0.0,-1.9984014885135946e-16,0.45,0.45000000994816686,3.3326531138933488e-18,5.0899981016906383e-17,2.7729721054424635e-18,2.7701283341496695e-18,0.45066594907900703,0.45005807512155366,0.45066415426369355,1.6625090353096748e-19,0.4506660141504298,0.45005807347727317,0.4506642190463343,1.662509035300436e-19,0.45,0.45066506738583584,0.4499375638693855,1.0692571610648219e-14,2.7707624254559425e-18,0.45,0.4506651323127141,0.4499375579201643,1.0692571622937236e-14,2.770762425425145e-18,0.4500546438778496,0.45005464222897756,49.93951943708114,49.87903887416441,49.828909384730174,49.827394419523806,49.82739441925245,49.82587945431751,49.82587945377477
1.0,1.759167118410856e-29,0.45,0.45000000994602224,3.3326535018768033e-18,5.089380221012525e-17,2.772972751893519e-18,2.7701292485072544e-18,0.4506690178801415,0.45000001386081256,0.45066901787819574,1.6625095889423767e-19,0.450669083045893,0.4500000069379692,0.45066908304450926,1.662509588934629e-19,0.45,0.45066901787914776,0.4500421337023095,1.0694836709910174e-14,2.7707633562746433e-18,0.45,0.4506690830451875,0.450042137898339,1.069483694151647e-14,2.7707633562488166e-18,0.4500000139235063,0.45000000688990327,49.939525134842114,49.879050269687475,49.82892550286141,49.82741068035539,49.827410680127834,49.825895857849396,49.82589585739426
2.0,-1.1423569755060895e-31,0.45,0.4500000099460097,3.332653834332475e-18,5.08938021675697e-17,2.7729733058251014e-18,2.770130032002693e-18,0.45066901767672196,0.45000001587220406,0.45066901767634154,1.662510063339585e-19,0.45066908331798056,0.45000000418928104,0.4506690833184802,1.6625100633331253e-19,0.45,0.45066901767653145,0.4501319852873585,1.0696777290657198e-14,2.770764153875259e-18,0.45,0.4506690833182301,0.45013199821053373,1.0696777711777814e-14,2.770764153853727e-18,0.450000015873454,0.450000004187408,49.93953001714556,49.879060034293886,49.82893931417824,49.82742461394906,49.82742461375933,49.82590991371991,49.82590991334046
3.0,9.1996587615478e-36,0.45,0.4500000099460114,3.3326541191606072e-18,5.0893802166112304e-17,2.7729737804005456e-18,2.7701307032547112e-18,0.4506690174768377,0.45000001787092947,0.4506690174764656,1.6625104697747274e-19,0.450669083520679,0.450000002164174,0.45066908352105417,1.6625104697693815e-19,0.45,0.4506690174766516,0.45020895323410753,1.0698439615412081e-14,2.770764837211734e-18,0.45,0.4506690835208666,0.4502089737006934,1.0698440200323403e-14,2.770764837193914e-18,0.4500000178728804,0.45000000216220887,49.93953420001108,49.87906840002455,49.828951146888215,49.827436551418394,49.82743655126138,49.8259219559486,49.825921955634556
4.0,1.1701497914140513e-41,0.45,0.4500000099460114,3.332654363183811e-18,5.0893802164955445e-17,2.7729741869875613e-18,2.770131278342104e-18,0.4506690173038598,0.4500000195999238,0.45066901730354,1.662510817983324e-19,0.45066908369570147,0.4500000004147249,0.4506690836960249,1.6625108179789404e-19,0.45,0.4506690173036999,0.45027488617289774,1.0699863610241578e-14,2.77076542265233e-18,0.45,0.45066908369586317,0.45027491315954904,1.0699864336723705e-14,2.7707654226377178e-18,0.4500000196012054,0.4500000004134258,49.93953778363269,49.879075567267414,49.82896128442546,49.827446778706864,49.82744677857811,49.82593227298828,49.82593227273078
5.0,-1.9121922842404703e-46,0.45,0.4500000099460113,3.332654572247742e-18,5.0893802163962806e-17,2.772974535326073e-18,2.770131771041277e-18,0.4506690171542529,0.4500000210953601,0.4506690171539753,1.662511116306827e-19,0.4506690838470643,0.4499999989017332,0.4506690838473453,1.6625111163032754e-19,0.45,0.4506690171541141,0.45033136721025424,1.0701083466474395e-14,2.770765924221473e-18,0.45,0.4506690838472047,0.4503313998328596,1.0701084315330882e-14,2.770765924209634e-18,0.45000002109615533,0.4499999989009218,49.93954085385718,49.87908170771612,49.82896996963795,49.82745554081254,49.82745554070823,49.825941111987134,49.825941111778505
6.0,-9.364735556706612e-51,0.45,0.4500000099460113,3.3326547513607717e-18,5.0893802163112235e-17,2.77297483376094e-18,2.770132193155419e-18,0.4506690170249874,0.45000002238746584,0.45066901702474643,1.6625113718919284e-19,0.4506690839778348,0.4499999975945843,0.45066908397807864,1.6625113718890956e-19,0.45,0.4506690170248669,0.4503797521040072,1.0702128465251156e-14,2.7707663539348446e-18,0.45,0.4506690839779567,0.45037978959868386,1.0702129419895401e-14,2.7707663539254033e-18,0.4500000223872607,0.4499999975947747,49.939543484235415,49.879086968472336,49.82897741059022,49.82746304764202,49.827463047558815,49.82594868469382,49.82594868452744
7.0,-3.049029149024556e-55,0.45,0.45000000994601136,3.3326549048136928e-18,5.08938021623838e-17,2.7729750894414004e-18,2.7701325547966026e-18,0.4506690169132181,0.45000002350467005,0.45066901691300976,1.6625115908613683e-19,0.45066908409089307,0.44999999646449607,0.4506690840911039,1.662511590859157e-19,0.45,0.45066901691311395,0.45042120192555396,1.0703023682950093e-14,2.7707667220865675e-18,0.45,0.45066908409099854,0.4504212436321716,1.0703024729048676e-14,2.770766722079199e-18,0.4500000235045137,0.44999999646463995,49.93954573778014,49.87909147556156,49.82898378553603,49.82746947902726,49.827469478962314,49.82595517251849,49.82595517238863
8.0,-1.0778875040144516e-59,0.45,0.4500000099460107,3.33265503628263e-18,5.089380216175504e-17,2.7729753084925477e-18,2.77013286462832e-18,0.4506690168165978,0.4500000244704696,0.45066901681641636,1.6625117784607897e-19,0.4506690841886258,0.4499999954875775,0.4506690841888094,1.6625117784591163e-19,0.45,0.45066901681650706,0.4504567110980329,1.070379059674502e-14,2.770767037496103e-18,0.45,0.4506690841887176,0.4504567564460646,1.0703791721909984e-14,2.7707670374905258e-18,0.45000002447076387,0.4499999954872706,49.93954766847737,49.87909533695583,49.828989247193874,49.82747498903883,49.827474988989685,49.825960730883786,49.82596073078551
9.0,-3.397964805416244e-64,0.45,0.4500000099460108,3.332655148917057e-18,5.0893802161220275e-17,2.7729754961619785e-18,2.7701331300729093e-18,0.4506690167330258,0.4500000253058018,0.45066901673287013,1.6625119391843308e-19,0.4506690842731443,0.44999999464278495,0.4506690842733017,1.6625119391831218e-19,0.45,0.45066901673294796,0.45048713134468166,1.0704447601832005e-14,2.7707673077194134e-18,0.45,0.450669084273223,0.45048717984100445,1.0704448795356252e-14,2.770767307715385e-18,0.45000002530566235,0.44999999464291507,49.93954932257895,49.87909864515884,49.82899392640341,49.82747970967478,49.82747970963928,49.82596549294614,49.825965492875156
