variable,value
q in component PP_capillary_H_D_I (m3),3.392920065876977e-14
q in component VV_junction_H_D_I (m3),1.1309733552923257e-16
q in component PP_pericyte_H_D_I (m3),1.6964600329384885e-15
H_L_in in component PP_capillary_H_D_I (dimensionless),0.45
q in component PP_pericyte_H_D_I (m3),1.6964600329384885e-15
q in component VP_capillary_H_D_I (m3),2.375829444277281e-14
q in component VP_capillary_H_D_I (m3),2.375829444277281e-14
H_R_in in component PP_capillary_H_D_I (dimensionless),0.45
u in component PP_capillary_H_D_I (J_per_m3),133.0
u_mmHg in component PP_capillary_H_D_I (dimensionless),0.9975847947075501
H_mean in component VV_junction_H_D_I (dimensionless),0.4499999996021126
u in component VV_junction_H_D_I (J_per_m3),133.0
u_mmHg in component VV_junction_H_D_I (dimensionless),0.9975847947075501
u_d in component VV_junction_H_D_I (J_per_m3),133.0
u_d_mmHg in component VV_junction_H_D_I (dimensionless),0.9975847947075501
v in component VV_junction_H_D_I (m3_per_s),0.0
v_mm3_s in component VV_junction_H_D_I (mm3_per_s),0.0
R_constriction in component PP_pericyte_H_D_I (Js_per_m6),0.0
H_L_in in component PP_pericyte_H_D_I (dimensionless),0.45
H_R_in in component PP_pericyte_H_D_I (dimensionless),0.45
u in component PP_pericyte_H_D_I (J_per_m3),133.0
u_mmHg in component PP_pericyte_H_D_I (dimensionless),0.9975847947075501
R_constriction in component PP_pericyte_H_D_I (Js_per_m6),0.0
H_L_in in component PP_pericyte_H_D_I (dimensionless),0.45
H_R_in in component PP_pericyte_H_D_I (dimensionless),0.45
u in component PP_pericyte_H_D_I (J_per_m3),133.0
H_L_in in component VP_capillary_H_D_I (dimensionless),0.45
u_mmHg in component PP_pericyte_H_D_I (dimensionless),0.9975847947075501
H_R_in in component VP_capillary_H_D_I (dimensionless),0.45
u in component VP_capillary_H_D_I (J_per_m3),133.0
H_L_in in component VP_capillary_H_D_I (dimensionless),0.45
u_mmHg in component VP_capillary_H_D_I (dimensionless),0.9975847947075501
H_R_in in component VP_capillary_H_D_I (dimensionless),0.45
u in component VP_capillary_H_D_I (J_per_m3),133.0
w_v in component PP_capillary_H_D_I (dimensionless),0.0
w_v_d in component PP_capillary_H_D_I (dimensionless),0.0
H_L_out in component PP_capillary_H_D_I (dimensionless),0.0
H_R_out in component PP_capillary_H_D_I (dimensionless),0.0
H_mean in component PP_capillary_H_D_I (dimensionless),0.0
H_volume_L in component PP_capillary_H_D_I (dimensionless),0.0
H_volume_R in component PP_capillary_H_D_I (dimensionless),0.0
mu in component PP_capillary_H_D_I (Js_per_m3),0.0
hem_dep_u_rel in component PP_capillary_H_D_I (dimensionless),0.0
R in component PP_capillary_H_D_I (Js_per_m6),0.0
v in component PP_capillary_H_D_I (m3_per_s),0.0
v_d in component PP_capillary_H_D_I (m3_per_s),0.0
w_v in component PP_pericyte_H_D_I (dimensionless),0.0
w_v_d in component PP_pericyte_H_D_I (dimensionless),0.0
H_L_out in component PP_pericyte_H_D_I (dimensionless),0.0
H_R_out in component PP_pericyte_H_D_I (dimensionless),0.0
H_mean in component PP_pericyte_H_D_I (dimensionless),0.0
H_volume_L in component PP_pericyte_H_D_I (dimensionless),0.0
H_volume_R in component PP_pericyte_H_D_I (dimensionless),0.0
mu in component PP_pericyte_H_D_I (Js_per_m3),0.0
hem_dep_u_rel in component PP_pericyte_H_D_I (dimensionless),0.0
R in component PP_pericyte_H_D_I (Js_per_m6),0.0
v in component PP_pericyte_H_D_I (m3_per_s),0.0
v_d in component PP_pericyte_H_D_I (m3_per_s),0.0
w_v in component PP_pericyte_H_D_I (dimensionless),0.0
w_v_d in component PP_pericyte_H_D_I (dimensionless),0.0
H_L_out in component PP_pericyte_H_D_I (dimensionless),0.0
H_R_out in component PP_pericyte_H_D_I (dimensionless),0.0
H_mean in component PP_pericyte_H_D_I (dimensionless),0.0
H_volume_L in component PP_pericyte_H_D_I (dimensionless),0.0
H_volume_R in component PP_pericyte_H_D_I (dimensionless),0.0
mu in component PP_pericyte_H_D_I (Js_per_m3),0.0
hem_dep_u_rel in component PP_pericyte_H_D_I (dimensionless),0.0
R in component PP_pericyte_H_D_I (Js_per_m6),0.0
v in component PP_pericyte_H_D_I (m3_per_s),0.0
v_d in component PP_pericyte_H_D_I (m3_per_s),0.0
w_v in component VP_capillary_H_D_I (dimensionless),0.0
H_L_out in component VP_capillary_H_D_I (dimensionless),0.0
H_R_out in component VP_capillary_H_D_I (dimensionless),0.0
H_mean in component VP_capillary_H_D_I (dimensionless),0.0
H_volume_L in component VP_capillary_H_D_I (dimensionless),0.0
H_volume_R in component VP_capillary_H_D_I (dimensionless),0.0
mu in component VP_capillary_H_D_I (Js_per_m3),0.0
hem_dep_u_rel in component VP_capillary_H_D_I (dimensionless),0.0
R in component VP_capillary_H_D_I (Js_per_m6),0.0
v in component VP_capillary_H_D_I (m3_per_s),0.0
w_v in component VP_capillary_H_D_I (dimensionless),0.0
H_L_out in component VP_capillary_H_D_I (dimensionless),0.0
H_R_out in component VP_capillary_H_D_I (dimensionless),0.0
H_mean in component VP_capillary_H_D_I (dimensionless),0.0
H_volume_L in component VP_capillary_H_D_I (dimensionless),0.0
H_volume_R in component VP_capillary_H_D_I (dimensionless),0.0
mu in component VP_capillary_H_D_I (Js_per_m3),0.0
hem_dep_u_rel in component VP_capillary_H_D_I (dimensionless),0.0
R in component VP_capillary_H_D_I (Js_per_m6),0.0
v in component VP_capillary_H_D_I (m3_per_s),0.0
u_mmHg in component VP_capillary_H_D_I (dimensionless),0.9975847947075501
H_up in component PP_capillary_H_D_I (dimensionless),0.45
v_pos in component PP_capillary_H_D_I (m3_per_s),0.0
v_neg in component PP_capillary_H_D_I (m3_per_s),-0.0
v_d_pos in component PP_capillary_H_D_I (m3_per_s),0.0
v_d_neg in component PP_capillary_H_D_I (m3_per_s),-0.0
v_mm3_s in component PP_capillary_H_D_I (mm3_per_s),0.0
v_d_mm3_s in component PP_capillary_H_D_I (mm3_per_s),0.0
vj1 in component VV_junction_H_D_I (m3_per_s),0.0
H_up in component PP_pericyte_H_D_I (dimensionless),0.45
v_pos in component PP_pericyte_H_D_I (m3_per_s),0.0
v_neg in component PP_pericyte_H_D_I (m3_per_s),-0.0
v_d_pos in component PP_pericyte_H_D_I (m3_per_s),0.0
v_d_neg in component PP_pericyte_H_D_I (m3_per_s),-0.0
v_mm3_s in component PP_pericyte_H_D_I (mm3_per_s),0.0
v_d_mm3_s in component PP_pericyte_H_D_I (mm3_per_s),0.0
H_up in component PP_pericyte_H_D_I (dimensionless),0.45
v_pos in component PP_pericyte_H_D_I (m3_per_s),0.0
v_neg in component PP_pericyte_H_D_I (m3_per_s),-0.0
v_d_pos in component PP_pericyte_H_D_I (m3_per_s),0.0
v_d_neg in component PP_pericyte_H_D_I (m3_per_s),-0.0
v_mm3_s in component PP_pericyte_H_D_I (mm3_per_s),0.0
v_d_mm3_s in component PP_pericyte_H_D_I (mm3_per_s),0.0
H_up in component VP_capillary_H_D_I (dimensionless),0.45
v_pos in component VP_capillary_H_D_I (m3_per_s),0.0
v_neg in component VP_capillary_H_D_I (m3_per_s),-0.0
v_mm3_s in component VP_capillary_H_D_I (mm3_per_s),0.0
H_up in component VP_capillary_H_D_I (dimensionless),0.45
v_pos in component VP_capillary_H_D_I (m3_per_s),0.0
v_neg in component VP_capillary_H_D_I (m3_per_s),-0.0
v_mm3_s in component VP_capillary_H_D_I (mm3_per_s),0.0
s_v_d in component PP_capillary_H_D_I (dimensionless),0.0
vj3 in component VV_junction_H_D_I (m3_per_s),-0.0
s_v_d in component PP_pericyte_H_D_I (dimensionless),0.0
s_v_d in component PP_pericyte_H_D_I (dimensionless),0.0
s_v in component VP_capillary_H_D_I (dimensionless),0.0
s_v in component VP_capillary_H_D_I (dimensionless),0.0
H_down_target in component PP_capillary_H_D_I (dimensionless),0.0
vj4 in component VV_junction_H_D_I (m3_per_s),-0.0
H_down_target in component PP_pericyte_H_D_I (dimensionless),0.0
H_down_target in component PP_pericyte_H_D_I (dimensionless),0.0
H_down_target in component VP_capillary_H_D_I (dimensionless),0.0
H_down_target in component VP_capillary_H_D_I (dimensionless),0.0
w_in1 in component VV_junction_H_D_I (dimensionless),0.5
w_in3 in component VV_junction_H_D_I (dimensionless),0.5
w_in4 in component VV_junction_H_D_I (dimensionless),0.5
w_out1 in component VV_junction_H_D_I (dimensionless),0.5
w_out3 in component VV_junction_H_D_I (dimensionless),0.5
w_out4 in component VV_junction_H_D_I (dimensionless),0.5
Qin1 in component VV_junction_H_D_I (m3_per_s),0.0
Qin3 in component VV_junction_H_D_I (m3_per_s),-0.0
Qin4 in component VV_junction_H_D_I (m3_per_s),-0.0
Qin_tot in component VV_junction_H_D_I (m3_per_s),0.0
Qout1 in component VV_junction_H_D_I (m3_per_s),-0.0
Qout3 in component VV_junction_H_D_I (m3_per_s),0.0
Qout4 in component VV_junction_H_D_I (m3_per_s),0.0
Qout_tot in component VV_junction_H_D_I (m3_per_s),0.0
bc1_is_in in component VV_junction_H_D_I (dimensionless),0.0
bc3_is_in in component VV_junction_H_D_I (dimensionless),0.0
bc4_is_in in component VV_junction_H_D_I (dimensionless),0.0
bc1_is_out in component VV_junction_H_D_I (dimensionless),0.0
bc3_is_out in component VV_junction_H_D_I (dimensionless),0.0
bc4_is_out in component VV_junction_H_D_I (dimensionless),0.0
n_out in component VV_junction_H_D_I (dimensionless),0.0
n_in in component VV_junction_H_D_I (dimensionless),0.0
junction_type in component VV_junction_H_D_I (dimensionless),0.0
is_split in component VV_junction_H_D_I (dimensionless),0.0
is_merge in component VV_junction_H_D_I (dimensionless),0.0
feed1 in component VV_junction_H_D_I (dimensionless),0.0
feed2 in component VV_junction_H_D_I (dimensionless),0.0
feed3 in component VV_junction_H_D_I (dimensionless),0.0
feed4 in component VV_junction_H_D_I (dimensionless),0.0
alpha1 in component VV_junction_H_D_I (dimensionless),0.0
alpha2 in component VV_junction_H_D_I (dimensionless),0.0
alpha3 in component VV_junction_H_D_I (dimensionless),0.0
alpha4 in component VV_junction_H_D_I (dimensionless),0.0
Qout1_rem in component VV_junction_H_D_I (m3_per_s),-0.0
Qout2_rem in component VV_junction_H_D_I (m3_per_s),0.0
Qout3_rem in component VV_junction_H_D_I (m3_per_s),0.0
Qout4_rem in component VV_junction_H_D_I (m3_per_s),0.0
beta1 in component VV_junction_H_D_I (dimensionless),0.0
beta2 in component VV_junction_H_D_I (dimensionless),0.0
beta3 in component VV_junction_H_D_I (dimensionless),0.0
beta4 in component VV_junction_H_D_I (dimensionless),0.0
D_F in component VV_junction_H_D_I (metre),1.2e-05
D_alpha in component VV_junction_H_D_I (metre),1.2e-05
D_beta in component VV_junction_H_D_I (metre),1.2e-05
v_alpha in component VV_junction_H_D_I (m3_per_s),0.0
v_beta in component VV_junction_H_D_I (m3_per_s),0.0
FQB_alpha in component VV_junction_H_D_I (dimensionless),0.5
B in component VV_junction_H_D_I (dimensionless),1.3199166668981044
A in component VV_junction_H_D_I (dimensionless),-0.0
X_0 in component VV_junction_H_D_I (dimensionless),0.03333333333333333
y_raw in component VV_junction_H_D_I (dimensionless),0.5
y in component VV_junction_H_D_I (dimensionless),0.5
ph in component VV_junction_H_D_I (dimensionless),0.0
FQE_alpha in component VV_junction_H_D_I (dimensionless),0.5
H_VV_out_alpha in component VV_junction_H_D_I (dimensionless),0.4499999996021126
H_VV_out_beta in component VV_junction_H_D_I (dimensionless),0.4499999996021126
H_split1 in component VV_junction_H_D_I (dimensionless),0.0
H_split2 in component VV_junction_H_D_I (dimensionless),0.0
H_split3 in component VV_junction_H_D_I (dimensionless),0.0
H_split4 in component VV_junction_H_D_I (dimensionless),0.0
H_daughter1 in component VV_junction_H_D_I (dimensionless),0.0
H_daughter2 in component VV_junction_H_D_I (dimensionless),0.0
H_daughter3 in component VV_junction_H_D_I (dimensionless),0.0
H_daughter4 in component VV_junction_H_D_I (dimensionless),0.0
H_from1_target in component VV_junction_H_D_I (dimensionless),0.0
H_from2_target in component VV_junction_H_D_I (dimensionless),0.0
H_from3_target in component VV_junction_H_D_I (dimensionless),0.0
