type,index,value
state,0,0.45
state,1,0.45
state,2,0.45
state,3,0
state,4,5.0893800988154656e-17
state,5,0
state,6,0
state,7,0.45
state,8,0.45
state,9,0.45
state,10,0
state,11,0.45
state,12,0.45
state,13,0.45
state,14,0
state,15,0.45
state,16,0.45
state,17,0.45
state,18,0
state,19,0.45
state,20,0.45
state,21,0.45
state,22,0
constant,0,0.45
constant,1,0.45
constant,2,0.45
constant,3,0.1
constant,4,0.001
constant,5,0.001
constant,6,1e-30
constant,7,0
constant,8,6e-06
constant,9,0.001
constant,10,6666.1
constant,11,133
constant,12,0.001
constant,13,1e-50
constant,14,1e-09
constant,15,1e-25
constant,16,1e-08
constant,17,1e-18
constant,18,1000
constant,19,6e-06
constant,20,0
constant,21,0
constant,22,0
constant,23,8.51e-22
constant,24,1000000000000000
constant,25,0
constant,26,0
constant,27,1
constant,28,500
constant,29,6e-06
constant,30,0
constant,31,6e-06
constant,32,0.45
constant,33,5.5e-06
constant,34,6632.7695
constant,35,0.45
constant,36,5.5e-06
constant,37,6632.7695
constant,38,0.0003
constant,39,1e-06
constant,40,1.5e-05
constant,41,1.5e-05
constant,42,0.00025
constant,43,0.00025
constant,44,3.392920065876977e-14
constant,45,5.107485693775878e-22
constant,46,-1.1820960009520325
constant,47,1.1309733552923257e-16
constant,48,1.6964600329384885e-15
constant,49,1.6964600329384885e-15
constant,50,2.375829444277281e-14
constant,51,4.256238078146565e-22
constant,52,2.375829444277281e-14
constant,53,4.256238078146565e-22
constant,54,3.5523629350190156
constant,55,5.0893800988154656e-17
constant,56,8.51e-22
constant,57,0
constant,58,2.5537428468879395e-23
constant,59,1.2e-05
constant,60,8.51e-22
constant,61,0.0
constant,62,2.5537428468879395e-23
constant,63,1.2e-05
constant,64,8.51e-22
constant,65,1.2e-05
constant,66,0.5
constant,67,0.5
constant,68,0.0
constant,69,0.0
constant,70,0.0
constant,71,0.0
constant,72,-1.1820960009520325
constant,73,3.5523629350190156
constant,74,-1.1820960009520325
constant,75,3.5523629350190156
constant,76,-1.1691201400706768
constant,77,3.71461005007079
constant,78,-1.1691201400706768
constant,79,3.71461005007079
