time,PV1__R_constriction,PV1__u_mmHg,PV1__v_mm3_s,PV2__R_constriction,PV2__u_mmHg,PV2__v_mm3_s,PV3__u_mmHg,PV3__v_mm3_s,PV4__u_mmHg,PV4__v_mm3_s,PV5__u_mmHg,PV5__v_mm3_s,PV6__u_mmHg,PV6__v_mm3_s,V1__u_mmHg,V1__v_mm3_s,V2__u_mmHg,V2__v_mm3_s,V3__u_mmHg,V3__v_mm3_s,V4__u_mmHg,V4__v_mm3_s,V5__u_mmHg,V5__v_mm3_s,V6__u_mmHg,V6__v_mm3_s,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta,VV_junc1__u_d_mmHg,VV_junc1__u_mmHg,VV_junc2__H_VV_out_alpha,VV_junc2__H_VV_out_beta,VV_junc3__H_VV_out_alpha,VV_junc3__H_VV_out_beta,inlet__H_down,inlet__H_link_L,inlet__H_link_R,inlet__RBC_volume,inlet__u_mmHg
0.0,0.0,49.73422197556719,5.372382800209958e-06,0.0,49.734220976105,5.3745917877926874e-06,49.57468410479164,2.8606773516710924e-06,49.574684104791864,2.8606773513409774e-06,49.57466126387813,2.894821836028863e-06,49.574661684401505,2.8942045442011175e-06,49.73199813493897,5.1432834060975465e-06,49.73199814692719,5.143269798904022e-06,49.57312897512089,2.571924606747706e-06,49.57312897512089,2.571924606747706e-06,49.573129390105585,2.5719392029843433e-06,49.57312939008737,2.5719392023576296e-06,0.4698083506999124,0.4697307414068656,49.736653006604115,49.81381420309694,0.4744782805734328,0.47447828054944763,0.4745043263361941,0.4744600002886189,0.449999999005151,0.45,0.16554533503524738,1.5269638949389773e-14,49.90690730491809
1.0,0.0,49.73434677458822,5.1431885551995095e-06,0.0,49.734346774603004,5.143188553983807e-06,49.57488730061834,2.5715942774330456e-06,49.57488730061829,2.5715942774268622e-06,49.57488730181946,2.5715942728298992e-06,49.57488730182211,2.5715942807579997e-06,49.73201941382167,5.143188555236655e-06,49.732019413851276,5.143188553984733e-06,49.573134633402155,2.5715942772896365e-06,49.57313463340209,2.5715942772696936e-06,49.57313463454568,2.57159427268548e-06,49.57313463455096,2.5715942806214504e-06,0.44999999903062154,0.44999999898656456,49.736674135354754,49.813828521797504,0.45004731379691304,0.45004731379642077,0.4500473108875765,0.4500473102565929,0.4499999990217316,0.45,1.0095243462399201e-16,1.5269638961091278e-14,49.9069142608988
2.0,0.0,49.73434528959297,5.143221361022266e-06,0.0,49.73434528959481,5.143221359280696e-06,49.57488856735856,2.5716106805692123e-06,49.57488856735858,2.571610680540984e-06,49.57488856841532,2.571610676428945e-06,49.57488856840921,2.571610682948397e-06,49.73201812358383,5.143221361154048e-06,49.732018123587494,5.143221359411626e-06,49.573136441417546,2.5716106805708077e-06,49.57313644141756,2.5716106805459215e-06,49.57313644248521,2.571610676431558e-06,49.573136442473,2.5716106829449848e-06,0.44999999932118434,0.4499999992580705,49.73667245560212,49.813827334168174,0.4500420731518143,0.45004207314956757,0.45004207055066286,0.45004207003179614,0.44999999929979384,0.45,4.699693111520998e-23,1.5269638969637766e-14,49.906913667084325
3.0,0.0,49.73434311478376,5.143263607251632e-06,0.0,49.734343114784956,5.143263606943163e-06,49.57488826093814,2.5716318037450433e-06,49.57488826093816,2.5716318037245384e-06,49.57488826175255,2.5716318011318548e-06,49.57488826174687,2.571631805992676e-06,49.7320159370725,5.143263607389218e-06,49.732015937074905,5.143263607073255e-06,49.57313623908149,2.571631803758625e-06,49.57313623908154,2.5716318037378787e-06,49.573136239911996,2.5716318011564903e-06,49.57313623990064,2.571631806021676e-06,0.4499999995024595,0.44999999949128067,49.736670292495006,49.81382580481927,0.45003332605331287,0.45003332605168106,0.45003332399773094,0.4500333236108764,0.4499999994978049,0.45,-2.2854751744652664e-25,1.526963897570843e-14,49.90691290240986
4.0,0.0,49.73434112012379,5.143302227958272e-06,0.0,49.73434112012416,5.1433022287434675e-06,49.57488755258511,2.5716511140663657e-06,49.57488755258508,2.5716511140565888e-06,49.574887553195545,2.571651112709998e-06,49.57488755319111,2.5716511162577797e-06,49.73201392519753,5.143302228048238e-06,49.73201392519827,5.143302228917733e-06,49.57313557142959,2.57165111410768e-06,49.57313557142953,2.5716511140964934e-06,49.57313557205339,2.571651112749739e-06,49.5731355720445,2.5716511163109483e-06,0.4499999996573362,0.4499999996288813,49.73666831505004,49.813824406742434,0.45002626929812284,0.4500262692973448,0.4500262676637593,0.45002626738140805,0.4499999996394451,0.45,-2.7683094372583464e-28,1.526963898005163e-14,49.90691220337142
5.0,0.0,49.73433936033095,5.143336297223193e-06,0.0,49.73433936033083,5.143336298925649e-06,49.574886689350095,2.571668148716698e-06,49.574886689350215,2.571668148688409e-06,49.57488668980392,2.5716681482658633e-06,49.5748866898005,2.5716681508348007e-06,49.73201214999894,5.143336297319956e-06,49.732012149998695,5.143336299038421e-06,49.57313473379726,2.5716681487531634e-06,49.57313473379747,2.571668148745496e-06,49.573134734261465,2.5716681483219326e-06,49.57313473425462,2.5716681508925078e-06,0.44999999991906753,0.44999999985737266,49.73666657066296,49.81382317344476,0.45002070207167627,0.45002070206942474,0.45002070075555045,0.4500207005511029,0.44999999974185034,0.45,-5.66549760256085e-31,1.5269638983008384e-14,49.906911586722565
6.0,0.0,49.7343378219335,5.1433660808565785e-06,0.0,49.73433782193231,5.143366083138938e-06,49.57488576460262,2.5716830404817963e-06,49.574885764602826,2.5716830405611506e-06,49.57488576493704,2.5716830407825824e-06,49.574885764934464,2.571683042529022e-06,49.73201059812508,5.143366080959767e-06,49.7320105981227,5.143366083216742e-06,49.57313382745327,2.57168304052817e-06,49.57313382745368,2.5716830406181542e-06,49.57313382779571,2.5716830408288727e-06,49.57313382779058,2.571683042574954e-06,0.4499999997590588,0.4499999996763492,49.736665045741915,49.81382209532053,0.45001631784393203,0.45001631783761664,0.45001631675334053,0.45001631661435226,0.44999999976151167,0.45,2.4540632183315873e-33,1.526963898385457e-14,49.90691104766042
7.0,0.0,49.73433648340309,5.143391994822983e-06,0.0,49.73433648340095,5.1433919971620665e-06,49.57488483650646,2.5716959974380097e-06,49.57488483650653,2.5716959975545966e-06,49.57488483674657,2.5716959980679346e-06,49.574884836744886,2.571695999278048e-06,49.7320092478705,5.143391994898106e-06,49.73200924786624,5.143391997237164e-06,49.57313291300189,2.571695997489664e-06,49.57313291300204,2.571695997600279e-06,49.57313291324799,2.571695998103443e-06,49.57313291324461,2.571695999325556e-06,0.4499999997423155,0.449999999657551,49.736663718935674,49.81382115725731,0.45001285532678337,0.4500128553175049,0.4500128544492317,0.450012854352927,0.44999999982582495,0.45,7.205639197300496e-33,1.5269638985918457e-14,49.90691057862879
8.0,0.0,49.7343353235632,5.143414449656469e-06,0.0,49.73433532356049,5.14341445166321e-06,49.57488393527106,2.571707224799459e-06,49.574883935271664,2.5717072250157113e-06,49.574883935437434,2.571707225544056e-06,49.57488393543567,2.5717072263014358e-06,49.73200807786994,5.14341444971433e-06,49.73200807786452,5.143414451745159e-06,49.573132021767506,2.571707224832136e-06,49.573132021768714,2.5717072250508352e-06,49.573132021938974,2.571707225572343e-06,49.573132021935436,2.571707226335486e-06,0.4500000000612182,0.4499999999884974,49.736662569256445,49.81382034442689,0.45001013170111326,0.45001013168390336,0.4500101310219322,0.4500101309616579,0.4499999998796716,0.45,-6.89984566415812e-33,1.5269638987220118e-14,49.90691017221356
9.0,0.0,49.73433432185796,5.143433843073708e-06,0.0,49.73433432185637,5.143433844681336e-06,49.574883084581906,2.5717169214533013e-06,49.57488308458196,2.5717169217821034e-06,49.57488308469236,2.5717169222067777e-06,49.574883084691436,2.571716922603305e-06,49.73200706738917,5.143433843126658e-06,49.732007067385986,5.143433844729341e-06,49.57313117838274,2.571716921480947e-06,49.573131178382845,2.571716921810141e-06,49.57313117849646,2.571716922249747e-06,49.57313117849461,2.5717169226469333e-06,0.44999999991282863,0.44999999985457123,49.73666157632676,49.81381964242004,0.4500079856660172,0.45000798563985045,0.45000798519850393,0.4500079851669474,0.4499999999051438,0.45,9.083474004618228e-36,1.5269638988209457e-14,49.90690982121012
