time,PV1__R_constriction,PV1__u_mmHg,PV2__R_constriction,PV2__u_mmHg,PV3__u_mmHg,PV4__u_mmHg,PV5__u_mmHg,PV6__u_mmHg,V1__u_mmHg,V2__u_mmHg,V3__u_mmHg,V4__u_mmHg,V5__u_mmHg,V6__u_mmHg,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta,VV_junc1__u_d_mmHg,VV_junc1__u_mmHg,VV_junc2__H_VV_out_alpha,VV_junc2__H_VV_out_beta,VV_junc3__H_VV_out_alpha,VV_junc3__H_VV_out_beta,inlet__H_down,inlet__H_link_L,inlet__H_link_R,inlet__RBC_volume,inlet__u_mmHg
0.0,0.0,49.73422197556719,0.0,49.734220976105,49.57468410479164,49.574684104791864,49.57466126387813,49.574661684401505,49.73199813493897,49.73199814692719,49.57312897512089,49.57312897512089,49.573129390105585,49.57312939008737,0.4698083506999124,0.4697307414068656,49.736653006604115,49.81381420309694,0.4744782805734328,0.47447828054944763,0.4745043263361941,0.4744600002886189,0.449999999005151,0.45,0.16554533503524738,1.5269638949389773e-14,49.90690730491809
1.0,0.0,49.73434677458822,0.0,49.734346774603004,49.57488730061834,49.57488730061829,49.57488730181946,49.57488730182211,49.73201941382167,49.732019413851276,49.573134633402155,49.57313463340209,49.57313463454568,49.57313463455096,0.44999999903062154,0.44999999898656456,49.736674135354754,49.813828521797504,0.45004731379691304,0.45004731379642077,0.4500473108875765,0.4500473102565929,0.4499999990217316,0.45,1.0095243462399201e-16,1.5269638961091278e-14,49.9069142608988
2.0,0.0,49.73434528959297,0.0,49.73434528959481,49.57488856735856,49.57488856735858,49.57488856841532,49.57488856840921,49.73201812358383,49.732018123587494,49.573136441417546,49.57313644141756,49.57313644248521,49.573136442473,0.44999999932118434,0.4499999992580705,49.73667245560212,49.813827334168174,0.4500420731518143,0.45004207314956757,0.45004207055066286,0.45004207003179614,0.44999999929979384,0.45,4.699693111520998e-23,1.5269638969637766e-14,49.906913667084325
3.0,0.0,49.73434311478376,0.0,49.734343114784956,49.57488826093814,49.57488826093816,49.57488826175255,49.57488826174687,49.7320159370725,49.732015937074905,49.57313623908149,49.57313623908154,49.573136239911996,49.57313623990064,0.4499999995024595,0.44999999949128067,49.736670292495006,49.81382580481927,0.45003332605331287,0.45003332605168106,0.45003332399773094,0.4500333236108764,0.4499999994978049,0.45,-2.2854751744652664e-25,1.526963897570843e-14,49.90691290240986
4.0,0.0,49.73434112012379,0.0,49.73434112012416,49.57488755258511,49.57488755258508,49.574887553195545,49.57488755319111,49.73201392519753,49.73201392519827,49.57313557142959,49.57313557142953,49.57313557205339,49.5731355720445,0.4499999996573362,0.4499999996288813,49.73666831505004,49.813824406742434,0.45002626929812284,0.4500262692973448,0.4500262676637593,0.45002626738140805,0.4499999996394451,0.45,-2.7683094372583464e-28,1.526963898005163e-14,49.90691220337142
5.0,0.0,49.73433936033095,0.0,49.73433936033083,49.574886689350095,49.574886689350215,49.57488668980392,49.5748866898005,49.73201214999894,49.732012149998695,49.57313473379726,49.57313473379747,49.573134734261465,49.57313473425462,0.44999999991906753,0.44999999985737266,49.73666657066296,49.81382317344476,0.45002070207167627,0.45002070206942474,0.45002070075555045,0.4500207005511029,0.44999999974185034,0.45,-5.66549760256085e-31,1.5269638983008384e-14,49.906911586722565
6.0,0.0,49.7343378219335,0.0,49.73433782193231,49.57488576460262,49.574885764602826,49.57488576493704,49.574885764934464,49.73201059812508,49.7320105981227,49.57313382745327,49.57313382745368,49.57313382779571,49.57313382779058,0.4499999997590588,0.4499999996763492,49.736665045741915,49.81382209532053,0.45001631784393203,0.45001631783761664,0.45001631675334053,0.45001631661435226,0.44999999976151167,0.45,2.4540632183315873e-33,1.526963898385457e-14,49.90691104766042
7.0,0.0,49.73433648340309,0.0,49.73433648340095,49.57488483650646,49.57488483650653,49.57488483674657,49.574884836744886,49.7320092478705,49.73200924786624,49.57313291300189,49.57313291300204,49.57313291324799,49.57313291324461,0.4499999997423155,0.449999999657551,49.736663718935674,49.81382115725731,0.45001285532678337,0.4500128553175049,0.4500128544492317,0.450012854352927,0.44999999982582495,0.45,7.205639197300496e-33,1.5269638985918457e-14,49.90691057862879
8.0,0.0,49.7343353235632,0.0,49.73433532356049,49.57488393527106,49.574883935271664,49.574883935437434,49.57488393543567,49.73200807786994,49.73200807786452,49.573132021767506,49.573132021768714,49.573132021938974,49.573132021935436,0.4500000000612182,0.4499999999884974,49.736662569256445,49.81382034442689,0.45001013170111326,0.45001013168390336,0.4500101310219322,0.4500101309616579,0.4499999998796716,0.45,-6.89984566415812e-33,1.5269638987220118e-14,49.90691017221356
9.0,0.0,49.73433432185796,0.0,49.73433432185637,49.574883084581906,49.57488308458196,49.57488308469236,49.574883084691436,49.73200706738917,49.732007067385986,49.57313117838274,49.573131178382845,49.57313117849646,49.57313117849461,0.44999999991282863,0.44999999985457123,49.73666157632676,49.81381964242004,0.4500079856660172,0.45000798563985045,0.45000798519850393,0.4500079851669474,0.4499999999051438,0.45,9.083474004618228e-36,1.5269638988209457e-14,49.90690982121012
10.0,0.0,49.73433345897871,0.0,49.734333458977375,49.57488229748281,49.57488229748252,49.57488229755629,49.57488229755586,49.73200619695081,49.732006196948156,49.57313039657143,49.57313039657086,49.57313039664689,49.57313039664603,0.449999999947398,0.4499999998963932,49.73666072100661,49.81381903770418,0.45000629209965926,0.4500062920758382,0.45000629174512147,0.45000629172531087,0.44999999993190776,0.45,-3.3982981762790074e-37,1.526963898901243e-14,49.906909518852174
11.0,0.0,49.7343327179365,0.0,49.73433271793489,49.57488157881133,49.57488157881105,49.57488157885774,49.57488157885734,49.73200544941723,49.73200544941402,49.57312968165037,49.573129681649846,49.57312968169824,49.57312968169741,0.4499999999392156,0.44999999990002215,49.73665998645578,49.813818518372045,0.45000495946071234,0.45000495944337865,0.4500049591993147,0.4500049591891262,0.4499999999583859,0.45,-2.2317551141963486e-38,1.5269638989858072e-14,49.9069092591861
12.0,0.0,49.73433208268366,0.0,49.73433208268307,49.574880930889755,49.57488093088957,49.574880930918944,49.57488093091882,49.73200480859873,49.73200480859759,49.573129036355176,49.57312903635479,49.573129036385225,49.57312903638496,0.4500000000022193,0.44999999996827733,49.736659356768556,49.81381807318112,0.45000390790957706,0.4500039078983444,0.45000390774083043,0.4500039077350203,0.449999999971988,0.45,1.253772306361678e-38,1.526963899020513e-14,49.906909036590626
13.0,0.0,49.73433153941747,0.0,49.73433153941698,49.574880351872935,49.574880351872764,49.57488035189131,49.57488035189125,49.73200426057353,49.73200426057256,49.57312845912374,49.5731284591234,49.57312845914262,49.57312845914251,0.4499999999509901,0.44999999992097656,49.73665881826141,49.813817692454485,0.45000307968515446,0.45000307967719805,0.4500030795549416,0.45000307955002944,0.44999999998128803,0.45,-8.6344186445078e-39,1.5269638990562074e-14,49.906908846227296
14.0,0.0,49.7343310756845,0.0,49.73433107568398,49.574879838498894,49.574879838498795,49.57487983850986,49.57487983850981,49.73200379277813,49.73200379277711,49.57312794691997,49.57312794691978,49.57312794693131,49.57312794693121,0.4500000000212233,0.4499999999935005,49.736658358590866,49.8138173674656,0.45000242734027585,0.4500024273347111,0.45000242723827355,0.4500024272338017,0.44999999999391954,0.45,1.411325916622422e-41,1.5269638990870885e-14,49.90690868373285
15.0,0.0,49.73433068032402,0.0,49.73433068032363,49.57487938630058,49.574879386300516,49.57487938630612,49.57487938630609,49.73200339395416,49.73200339395336,49.573127495450976,49.573127495450855,49.573127495456795,49.57312749545672,0.44999999999789264,0.44999999997472684,49.73665796669389,49.81381709039401,0.45000191252209343,0.4500019125178245,0.45000191244786913,0.4500019124446991,0.4499999999947823,0.45,-9.209783530947324e-43,1.526963899092315e-14,49.90690854519704
16.0,0.0,49.73433034398643,0.0,49.73433034398618,49.5748789901119,49.574878990111856,49.5748789901142,49.574878990114186,49.732003054670216,49.73200305466973,49.57312709967027,49.57312709967015,49.57312709967272,49.57312709967269,0.45000000000033163,0.4499999999794044,49.73665763330262,49.81381685468503,0.4500015073836122,0.45000150738190137,0.45000150732791433,0.4500015073243774,0.45000000000236123,0.45,-1.1682138931497468e-44,1.526963899115601e-14,49.90690842734255
17.0,0.0,49.73433005811889,0.0,49.73433005811856,49.57487864465687,49.57487864465685,49.57487864465656,49.574878644656515,49.73200276629841,49.732002766297725,49.573126754400626,49.57312675440058,49.57312675440045,49.57312675440039,0.4500000000001555,0.4499999999830909,49.736657349939385,49.813816654347214,0.45000118790889404,0.4500011879071149,0.45000118786608573,0.4500011878621169,0.4500000000016408,0.45,-1.0203721288494176e-44,1.5269638991129965e-14,49.90690832717364
18.0,0.0,49.734329815494355,0.0,49.734329815494,49.57487834465645,49.57487834465641,49.57487834465426,49.57487834465423,49.73200252154846,49.73200252154775,49.57312645443192,49.57312645443186,49.573126454429826,49.573126454429776,0.4500000000018513,0.44999999998805434,49.736657109440245,49.813816484314046,0.45000093615569065,0.4500009361540193,0.4500009361227531,0.4500009361207839,0.4500000000029314,0.45,5.0974427928739925e-47,1.5269638991164944e-14,49.906908242157044
19.0,0.0,49.734329609768146,0.0,49.734329609767435,49.57487808503049,49.57487808503045,49.574878085026015,49.574878085026,49.73200231402027,49.732002314018835,49.57312619473573,49.57312619473567,49.57312619473135,49.57312619473131,0.449999999999974,0.4499999999914248,49.73665690551604,49.813816340139475,0.45000073768047655,0.4500007376790859,0.4500007376536287,0.45000073765305815,0.45000000000340623,0.45,-2.21995211840903e-47,1.526963899117662e-14,49.90690817006976
20.0,0.0,49.73432943560522,0.0,49.73432943560476,49.574877861100056,49.574877861100035,49.57487786109301,49.574877861092986,49.732002138331524,49.732002138330614,49.57312597066934,49.57312597066931,49.57312597066233,49.5731259706623,0.4500000000037786,0.45000000000210394,49.736656732878906,49.81381621808467,0.4500005814518523,0.45000058145154676,0.45000058146102295,0.45000058145885014,0.45000000000543716,0.45,6.440170041345298e-52,1.5269638991230763e-14,49.90690810904235
21.0,0.0,49.734329288168766,0.0,49.734329288168766,49.57487766840311,49.57487766840311,49.57487766839681,49.5748776683968,49.73200198960326,49.73200198960326,49.57312577779944,49.57312577779944,49.57312577779308,49.57312577779307,0.45000000000529916,0.45000000000432017,49.73665658673427,49.813816114760606,0.45000045812590467,0.450000458125903,0.4500004581468103,0.45000045814652906,0.45000000000395096,0.45,2.572428319671444e-50,1.5269638991179774e-14,49.90690805738031
