environment | time (second),inlet | u_mmHg (dimensionless),inlet | v_mm3_s (mm3_per_s),PV1 | u_mmHg (dimensionless),PV1 | v_mm3_s (mm3_per_s),PV2 | u_mmHg (dimensionless),PV2 | v_mm3_s (mm3_per_s),PV3 | u_mmHg (dimensionless),PV3 | v_mm3_s (mm3_per_s),PV4 | u_mmHg (dimensionless),PV4 | v_mm3_s (mm3_per_s),PV5 | u_mmHg (dimensionless),PV5 | v_mm3_s (mm3_per_s),PV6 | u_mmHg (dimensionless),PV6 | v_mm3_s (mm3_per_s),V1 | u_mmHg (dimensionless),V1 | v_mm3_s (mm3_per_s),V2 | u_mmHg (dimensionless),V2 | v_mm3_s (mm3_per_s),V3 | u_mmHg (dimensionless),V3 | v_mm3_s (mm3_per_s),V4 | u_mmHg (dimensionless),V4 | v_mm3_s (mm3_per_s),V5 | u_mmHg (dimensionless),V5 | v_mm3_s (mm3_per_s),V6 | u_mmHg (dimensionless),V6 | v_mm3_s (mm3_per_s),VV_junc1 | H_VV_out_alpha (dimensionless),VV_junc1 | H_VV_out_beta (dimensionless),VV_junc1 | u_mmHg (dimensionless),VV_junc1 | v_mm3_s (mm3_per_s),VV_junc2 | H_VV_out_alpha (dimensionless),VV_junc2 | H_VV_out_beta (dimensionless),VV_junc2 | u_mmHg (dimensionless),VV_junc2 | v_mm3_s (mm3_per_s),VV_junc3 | H_VV_out_alpha (dimensionless),VV_junc3 | H_VV_out_beta (dimensionless),VV_junc3 | u_mmHg (dimensionless),VV_junc3 | v_mm3_s (mm3_per_s)
0,0.99758479470755,0.00541497898065747,0.99758479470755,0,0.99758479470755,0,0.99758479470755,0,0.99758479470755,0,0.99758479470755,0,0.99758479470755,0,0.99758479470755,0,0.99758479470755,0,0.99758479470755,-0.00170599097820595,0.99758479470755,-0.00170599097820595,0.99758479470755,-0.00170599097820595,0.99758479470755,-0.00170599097820595,0.449999999602113,0.449999999602113,0.99758479470755,0,0.449999999526481,0.449999999526481,0.99758479470755,0,0.449999999526481,0.449999999526481,0.99758479470755,0
1,49.906914258017,1.02863774420747e-05,49.734346764572,5.14318848528926e-06,49.734346764576,5.14318847063763e-06,49.5748873119424,2.5715942462902e-06,49.5748873119768,2.57159435205611e-06,49.5748873120062,2.57159431362964e-06,49.5748873119925,2.57159427023845e-06,49.7320194018819,5.14318872928162e-06,49.7320194018898,5.1431887147585e-06,49.5731346422025,2.57159431138275e-06,49.5731346422712,2.57159441714827e-06,49.5731346422882,2.57159437868897e-06,49.5731346422608,2.57159433531937e-06,0.449999985784166,0.449999985253193,49.8138285160319,1.02863774429661e-05,0.450047197552333,0.450047189134609,49.6152171761447,5.14318872831154e-06,0.450047196192379,0.450047192738951,49.6152171760776,5.14318871378782e-06
2,49.9069136670244,1.02864428316067e-05,49.7343452890967,5.1432214906626e-06,49.7343452891053,5.14322147862707e-06,49.5748885811724,2.57161069612281e-06,49.574888581091,2.57161078279864e-06,49.5748885811945,2.57161075120846e-06,49.574888581228,2.57161071567784e-06,49.7320181236042,5.14322142189988e-06,49.7320181236214,5.14322140985822e-06,49.5731364557693,2.57161066752858e-06,49.5731364556064,2.57161075421291e-06,49.5731364557321,2.57161072261048e-06,49.573136455799,2.57161068708901e-06,0.450000000298226,0.449999999862063,49.8138273340488,1.02864428316107e-05,0.450042042837418,0.45004203593911,49.615218146356,5.14322142203764e-06,0.450042041717554,0.450042038889763,49.6152181463471,5.14322140999411e-06
3,49.9069129024975,1.02865273238716e-05,49.7343431143589,5.14326387878004e-06,49.7343431143658,5.14326386916264e-06,49.5748882720228,2.5716319285457e-06,49.5748882719474,2.57163199337851e-06,49.5748882720751,2.57163196933919e-06,49.574888272106,2.57163194277545e-06,49.7320159370259,5.14326366642136e-06,49.7320159370399,5.14326365663001e-06,49.5731362509915,2.57163180047639e-06,49.5731362508406,2.57163186533194e-06,49.5731362509895,2.57163184129709e-06,49.5731362510514,2.57163181472309e-06,0.450000009891191,0.450000009542663,49.8138258049962,1.02865273237503e-05,0.450033306450321,0.450033301290518,49.6152180498031,5.1432636670952e-06,0.450033305554397,0.450033303440288,49.6152180498361,5.1432636573054e-06
4,49.9069122031647,1.02866045894203e-05,49.7343411187966,5.14330237271442e-06,49.7343411188018,5.14330236621927e-06,49.5748875602373,2.57165119300723e-06,49.5748875601793,2.57165124059368e-06,49.5748875604541,2.5716512196958e-06,49.5748875604889,2.57165119025802e-06,49.732013924004,5.14330229816528e-06,49.7320139240149,5.14330229039685e-06,49.5731355795621,2.57165112493942e-06,49.5731355794461,2.57165117258022e-06,49.5731355797303,2.57165115899963e-06,49.5731355797925,2.57165114022592e-06,0.450000003948311,0.450000003712933,49.8138244063303,1.02866045895562e-05,0.450026248530476,0.450026244743294,49.6152175873064,5.14330229217012e-06,0.450026249638984,0.450026247296169,49.6152175873609,5.14330226455968e-06
5,49.9069115864895,1.02866727382867e-05,49.7343393587262,5.14333639779208e-06,49.7343393587406,5.14333638948477e-06,49.574886694572,2.57166821290696e-06,49.5748866945283,2.57166824732192e-06,49.5748866947282,2.57166823711624e-06,49.5748866947636,2.57166822482024e-06,49.7320121483598,5.14333637312452e-06,49.7320121483878,5.14333636604192e-06,49.5731347392758,2.57166817035149e-06,49.5731347391882,2.57166820484237e-06,49.5731347393985,2.57166818957148e-06,49.5731347394672,2.571668181105e-06,0.450000001373414,0.450000001072367,49.8138231729796,1.02866727401424e-05,0.450020684435838,0.450020681696942,49.6152169519552,5.14333638482822e-06,0.450020680428691,0.450020679450121,49.6152169520144,5.14333636608353e-06
6,49.9069110478578,1.02867323373411e-05,49.7343378207994,5.14336623336372e-06,49.7343378208132,5.14336621471291e-06,49.5748857686255,2.57168302967364e-06,49.5748857685971,2.57168305079164e-06,49.5748857680252,2.57168296437254e-06,49.5748857680244,2.57168296923389e-06,49.7320105968938,5.14336618251522e-06,49.7320105969222,5.14336615783963e-06,49.5731338314233,2.57168307807796e-06,49.573133831364,2.57168310309384e-06,49.5731338309029,2.57168307764711e-06,49.5731338309058,2.57168307441856e-06,0.450000018509974,0.450000017834095,49.8138220957191,1.02867323466398e-05,0.450016324281815,0.450016322601166,49.6152162315517,5.14336621293842e-06,0.450016278421711,0.450016278034826,49.6152162302886,5.14336614649073e-06
7,49.9069105794956,1.02867841523322e-05,49.7343364838463,5.14339207150215e-06,49.7343364839315,5.14339198525502e-06,49.5748848373697,2.57169579748e-06,49.5748848373515,2.57169581103341e-06,49.5748848347204,2.57169576655806e-06,49.5748848347808,2.57169578192517e-06,49.7320092481809,5.14339212058329e-06,49.732009248349,5.14339203179265e-06,49.5731329135565,2.57169604726014e-06,49.5731329135167,2.57169606555858e-06,49.5731329111564,2.57169601780382e-06,49.5731329112778,2.57169602898161e-06,0.449999990039147,0.449999986913687,49.8138211589903,1.02867841522429e-05,0.450012846034962,0.450012844956339,49.6152154809791,5.14339212348659e-06,0.450012808168943,0.45001280694598,49.6152154776631,5.14339206743807e-06
8,49.9069101735441,1.02868290447056e-05,49.7343353250344,5.14341461076099e-06,49.7343353251381,5.14341452762847e-06,49.5748839345629,2.57170709302868e-06,49.5748839345474,2.57170710288793e-06,49.5748839311054,2.57170707696879e-06,49.5748839311638,2.57170710396377e-06,49.732008079288,5.143414561838e-06,49.7320080794937,5.14341448275079e-06,49.5731320209816,2.57170727028706e-06,49.5731320209484,2.57170728337341e-06,49.5731320175834,2.57170722987785e-06,49.5731320177006,2.57170725697028e-06,0.450000008542039,0.450000005529461,49.8138203470907,1.02868290457418e-05,0.450010109447415,0.450010108662789,49.6152147361455,5.14341453485395e-06,0.450010128276895,0.450010126128563,49.6152147322653,5.14341448394134e-06
9,49.9069098224288,1.02868677892539e-05,49.7343343235324,5.14343395486219e-06,49.7343343235539,5.1434338986092e-06,49.5748830825969,2.57171686900279e-06,49.5748830825838,2.57171687779019e-06,49.5748830796532,2.57171679310849e-06,49.5748830796116,2.57171682164573e-06,49.7320070690811,5.14343392488108e-06,49.7320070691267,5.14343386385685e-06,49.5731311764081,2.57171695813769e-06,49.5731311763817,2.57171696723047e-06,49.5731311734061,2.57171692019389e-06,49.573131173326,2.57171694430635e-06,0.449999992971943,0.44999999093344,49.8138196448572,1.02868677886108e-05,0.450007975967357,0.450007975268036,49.6152140223585,5.1434339303114e-06,0.450007986280972,0.450007984009916,49.6152140189188,5.14343386333985e-06
