Per-variable RMSE vs OpenCor (ground truth)
================================================================================
variable                  |      generated RMSE  generated NRMSE%  |      iterative RMSE  iterative NRMSE%
----------------------------------------------------------------------------------------------------------
VV_junc2__H_VV_out_alpha  |         1.96808e-08         0.0416%  |          3.8713e-06         8.1880%
VV_junc2__H_VV_out_beta   |         1.98854e-08         0.0421%  |         3.87067e-06         8.1870%
VV_junc3__H_VV_out_beta   |         2.54901e-08         0.0539%  |         3.86973e-06         8.1780%
VV_junc3__H_VV_out_alpha  |         2.54508e-08         0.0538%  |         3.86855e-06         8.1750%
VV_junc1__u_d_mmHg        |         7.82742e-09         0.0427%  |         1.44277e-06         7.8630%
V3__u_mmHg                |         3.06249e-09         0.0260%  |         1.38435e-06        11.7379%
V4__u_mmHg                |         3.06489e-09         0.0260%  |         1.38434e-06        11.7381%
V5__u_mmHg                |         3.50964e-09         0.0298%  |         1.37687e-06        11.6721%
V6__u_mmHg                |         3.51113e-09         0.0298%  |         1.37687e-06        11.6720%
V1__u_mmHg                |         7.61009e-09         0.0417%  |         1.32605e-06         7.2721%
V2__u_mmHg                |         7.61083e-09         0.0417%  |         1.32601e-06         7.2718%
VV_junc1__u_mmHg          |         9.39127e-09         0.0723%  |         1.02017e-06         7.8560%
inlet__u_mmHg             |         4.68963e-09         0.0722%  |         5.10086e-07         7.8561%
VV_junc1__H_VV_out_beta   |         5.90677e-08         9.8221%  |         5.95868e-08         9.9084%
VV_junc1__H_VV_out_alpha  |         5.90219e-08         9.8312%  |         5.92963e-08         9.8769%
PV1__v_mm3_s              |         9.01535e-13         0.2473%  |         2.82903e-11         7.7599%
V1__v_mm3_s               |          1.2676e-13         0.0354%  |         2.82753e-11         7.8876%
PV2__v_mm3_s              |         8.94522e-13         0.2453%  |         2.80858e-11         7.7026%
V2__v_mm3_s               |         1.28643e-13         0.0359%  |         2.80711e-11         7.8326%
PV3__v_mm3_s              |         2.69954e-13         0.1488%  |         1.41427e-11         7.7938%
V3__v_mm3_s               |          6.3251e-14         0.0353%  |         1.41396e-11         7.8841%
PV4__v_mm3_s              |         2.64634e-13         0.1460%  |         1.41387e-11         7.7985%
V4__v_mm3_s               |         6.69041e-14         0.0373%  |         1.41355e-11         7.8845%
PV5__v_mm3_s              |         4.14752e-13         0.2276%  |          1.4055e-11         7.7143%
V5__v_mm3_s               |          7.0601e-14         0.0394%  |         1.40423e-11         7.8318%
PV6__v_mm3_s              |          4.1729e-13         0.2289%  |         1.40423e-11         7.7035%
V6__v_mm3_s               |         7.23154e-14         0.0403%  |         1.40295e-11         7.8212%

Aggregate NRMSE% (mean across variables)
--------------------------------------------------
  generated   mean NRMSE =   0.8035%   median =   0.0421%   max =   9.8312%
  iterative   mean NRMSE =   8.5580%   median =   7.8630%   max =  11.7381%
