time,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta,VV_junc2__H_VV_out_alpha,VV_junc2__H_VV_out_beta,VV_junc3__H_VV_out_alpha,VV_junc3__H_VV_out_beta,inlet__u_mmHg,VV_junc1__u_mmHg,VV_junc1__u_d_mmHg,PV1__u_mmHg,PV2__u_mmHg,PV3__u_mmHg,PV4__u_mmHg,PV5__u_mmHg,PV6__u_mmHg,V1__u_mmHg,V2__u_mmHg,V3__u_mmHg,V4__u_mmHg,V5__u_mmHg,V6__u_mmHg,PV1__v_mm3_s,PV2__v_mm3_s,PV3__v_mm3_s,PV4__v_mm3_s,PV5__v_mm3_s,PV6__v_mm3_s,V1__v_mm3_s,V2__v_mm3_s,V3__v_mm3_s,V4__v_mm3_s,V5__v_mm3_s,V6__v_mm3_s,PV1__R_constriction,PV2__R_constriction,inlet__H_link_R,inlet__H_link_L,inlet__H_down,inlet__q_C
0.0,0.4698083506999124,0.4697307414068656,0.4744782805734328,0.47447828054944763,0.47450432633619416,0.47446000028861884,49.90690730491809,49.81381420309694,49.736653006604115,49.73422197556719,49.734220976105,49.57468410479164,49.574684104791864,49.57466126387813,49.574661684401505,49.73199813493897,49.73199814692719,49.57312897512089,49.57312897512089,49.573129390105585,49.57312939008737,5.372382800209952e-06,5.374591787792679e-06,2.86067735167109e-06,2.8606773513409745e-06,2.894821836028859e-06,2.8942045442011124e-06,5.14328340609754e-06,5.143269798904013e-06,2.571924606747706e-06,2.571924606747706e-06,2.5719392029843433e-06,2.5719392023576296e-06,0.0,0.0,0.16554533503524738,0.45,0.449999999005151,3.3304324226885967e-18
1.0,0.45000000024961406,0.44999999705227767,0.44999739641280495,0.44999739641203323,0.44999739824869367,0.44999739790005655,49.90690758102929,49.81381516205863,49.73665523890311,49.73432775245721,49.73432775252843,49.5748752797515,49.57487527975151,49.57487527757116,49.57487527758415,49.732000266011326,49.732000266153754,49.57312335779721,49.573123357797215,49.57312335595642,49.57312335598238,5.14355759334652e-06,5.143557681579933e-06,2.571778796633279e-06,2.571778796623583e-06,2.571778838576099e-06,2.5717788429570805e-06,5.143557593333199e-06,5.1435576815611325e-06,2.5717787966255934e-06,2.571778796622625e-06,2.5717788385398494e-06,2.571778842937217e-06,0.0,0.0,1.783922663033312e-14,0.45,0.44999999864992707,3.3304324414901184e-18
2.0,0.4500000011629428,0.44999999613878744,0.44999739642658954,0.4499973964265641,0.44999739842280106,0.44999739779125525,49.90690766327307,49.813815326546184,49.73665547155865,49.7343279871804,49.73432798722881,49.57487565612669,49.57487565612669,49.57487565236136,49.57487565237192,49.732000502802165,49.73200050289896,49.57312373572876,49.573123735728764,49.57312373228698,49.57312373230811,5.143553024005496e-06,5.143553162651522e-06,2.571776511978684e-06,2.571776511979002e-06,2.57177657733428e-06,2.5717765852702905e-06,5.143553023975163e-06,5.143553162634649e-06,2.5717765119536885e-06,2.5717765119514273e-06,2.571776577314009e-06,2.5717765852508706e-06,0.0,0.0,-3.124381104180688e-14,0.45,0.4499999986499168,3.330432447090428e-18
3.0,0.4500000019214671,0.4499999953742318,0.4499973964197496,0.4499973964189779,0.4499973985491793,0.44999739768014935,49.90690773196108,49.81381546392219,49.736655665866884,49.734328183215474,49.73432818324486,49.574875970466785,49.574875970466785,49.5748759653776,49.574875965386134,49.73200070056408,49.73200070062284,49.57312405136866,49.57312405136868,49.573124046589726,49.57312404660679,5.143549207826709e-06,5.143549388503346e-06,2.571774603868846e-06,2.5717746038591497e-06,2.571774688791835e-06,2.5717746997120666e-06,5.143549207733688e-06,5.143549388519009e-06,2.5717746038416517e-06,2.5717746038401783e-06,2.5717746887665887e-06,2.5717746996936127e-06,0.0,0.0,2.8402096729427025e-16,0.45,0.4499999986498392,3.3304324517676702e-18
4.0,0.4500000025146436,0.4499999947169294,0.4499973964317226,0.44999739642616926,0.44999739867124183,0.44999739760138585,49.90690778933385,49.81381557866772,49.73665582816601,49.73432834695684,49.734328346970614,49.57487623302566,49.574876233025705,49.57487622683046,49.574876226837276,49.732000865747665,49.73200086577521,49.57312431501325,49.573124315013295,49.57312430911717,49.57312430913079,5.143546020587158e-06,5.14354623577171e-06,2.5717730101154474e-06,2.571773010045666e-06,2.5717731113212297e-06,2.5717731247650317e-06,5.14354602008913e-06,5.143546236106597e-06,2.571773010058876e-06,2.5717730100570466e-06,2.5717731113020774e-06,2.571773124755113e-06,0.0,0.0,-1.127669427674706e-16,0.45,0.4499999986488682,3.3304324556744133e-18
5.0,0.45000000290165676,0.44999999403100976,0.4499973964836114,0.4499973964819924,0.44999739883988077,0.4499973976002787,49.9069078372637,49.81381567452744,49.736655963752554,49.73432848374842,49.7343284837488,49.57487645231972,49.57487645231971,49.5748764452016,49.57487644520696,49.73200100374429,49.73200100374505,49.573124535213786,49.573124535213786,49.573124528385485,49.5731245283962,5.143543357556606e-06,5.143543602349523e-06,2.5717716795157714e-06,2.571771679536118e-06,2.571771794270519e-06,2.571771809847339e-06,5.143543358672325e-06,5.143543604157267e-06,2.571771679373377e-06,2.57177167936991e-06,2.571771794264122e-06,2.57177180985088e-06,0.0,0.0,6.645019541601654e-17,0.45,0.44999999864432777,3.3304324589381497e-18
6.0,0.4500000035401612,0.44999999376101685,0.4499973964009492,0.4499973964009238,0.4499973988209945,0.449997397437148,49.90690787726208,49.813815754524185,49.736656076902,49.73432859790358,49.734328597892606,49.57487663541254,49.57487663541254,49.574876627522876,49.574876627527004,49.73200111890516,49.73200111888321,49.573124719064026,49.573124719064026,49.57312471145646,49.5731247114647,5.143541135035282e-06,5.143541404898829e-06,2.5717705674965165e-06,2.571770567496835e-06,2.5717706937473596e-06,2.571770711136744e-06,5.143541135017456e-06,5.14354140490701e-06,2.5717705674930674e-06,2.5717705674904377e-06,2.571770693741756e-06,2.5717707111301418e-06,0.0,0.0,-5.186895042118817e-27,0.45,0.4499999986499278,3.3304324616618e-18
7.0,0.45000000391130535,0.4499999933897381,0.4499973963988448,0.44999739639881936,0.4499973988851069,0.4499973973793303,49.90690791060671,49.813815821213424,49.73665617122904,49.734328693068925,49.73432869304869,49.574876788008815,49.574876788008815,49.57487677947646,49.574876779479546,49.73200121490881,49.73200121486833,49.573124872291295,49.573124872291295,49.57312486403458,49.57312486404077,5.1435392824391975e-06,5.143539572790405e-06,2.571769641201021e-06,2.571769641201339e-06,2.571769776925125e-06,2.571769795846677e-06,5.1435392824324425e-06,5.143539572770834e-06,2.5717696412025404e-06,2.57176964120057e-06,2.5717697769170416e-06,2.5717697958251692e-06,0.0,0.0,1.2366337816794215e-29,0.45,0.4499999986499303,3.33043246393237e-18
8.0,0.45000000422090425,0.4499999930781927,0.44999739639606257,0.44999739639603714,0.4499973989386059,0.4499973973308221,49.90690793857966,49.81381587715933,49.73665625036037,49.73432877290351,49.734328772875514,49.57487691602242,49.57487691602242,49.574876906950905,49.574876906953115,49.732001295446665,49.73200129539065,49.57312500083426,49.57312500083426,49.57312499203297,49.57312499203741,5.143537728294898e-06,5.143538035786998e-06,2.5717688641474737e-06,2.571768864147792e-06,2.5717690077926657e-06,2.5717690279960316e-06,5.143537728291392e-06,5.143538035785295e-06,2.5717688641335833e-06,2.571768864132075e-06,2.5717690077822777e-06,2.571769027978755e-06,0.0,0.0,-3.878418448420825e-29,0.45,0.44999999864990425,3.3304324658371605e-18
9.0,0.4500000044753444,0.4499999928125541,0.4499973963952669,0.4499973963952415,0.44999739898702223,0.4499973972923728,49.90690796196744,49.8138159239349,49.736656316520985,49.7343288396521,49.73432883961761,49.57487702305285,49.57487702305285,49.57487701353053,49.574877013531996,49.73200136278323,49.73200136271424,49.573125108307266,49.573125108307266,49.573125099050664,49.57312509905361,5.143536428913278e-06,5.143536750757294e-06,2.5717682144648146e-06,2.5717682144651327e-06,2.571768364719258e-06,2.5717683860141687e-06,5.14353642889391e-06,5.143536750733093e-06,2.5717682144367422e-06,2.5717682144356534e-06,2.5717683647135652e-06,2.571768385999241e-06,0.0,0.0,-2.1498221187476775e-29,0.45,0.4499999986497334,3.330432467429729e-18
