time,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta,VV_junc2__H_VV_out_alpha,VV_junc2__H_VV_out_beta,VV_junc3__H_VV_out_alpha,VV_junc3__H_VV_out_beta,inlet__u_mmHg,V1__u_mmHg,V2__u_mmHg,V3__u_mmHg,V4__u_mmHg,V5__u_mmHg,V6__u_mmHg,VV_junc1__u_mmHg,VV_junc1__u_d_mmHg,PV1__v_mm3_s,PV2__v_mm3_s,PV3__v_mm3_s,PV4__v_mm3_s,PV5__v_mm3_s,PV6__v_mm3_s,V1__v_mm3_s,V2__v_mm3_s,V3__v_mm3_s,V4__v_mm3_s,V5__v_mm3_s,V6__v_mm3_s
0.0,0.4698083506999124,0.4697307414068656,0.4744782805734328,0.47447828054944763,0.47450432633619416,0.47446000028861884,49.90690730491809,49.73199813493897,49.73199814692719,49.57312897512089,49.57312897512089,49.573129390105585,49.57312939008737,49.81381420309694,49.736653006604115,5.372382800209952e-06,5.374591787792679e-06,2.86067735167109e-06,2.8606773513409745e-06,2.894821836028859e-06,2.8942045442011124e-06,5.14328340609754e-06,5.143269798904013e-06,2.571924606747706e-06,2.571924606747706e-06,2.5719392029843433e-06,2.5719392023576296e-06
1.0,0.45000000024967113,0.44999999705233473,0.4499973964362392,0.4499973964362138,0.44999739827305335,0.4499973979236191,49.90690758102931,49.73200026601137,49.732000266153825,49.57312335779708,49.57312335779708,49.57312335595675,49.57312335598271,49.81381516205867,49.736655238903175,5.14355759334652e-06,5.143557681579933e-06,2.571778796633279e-06,2.571778796633597e-06,2.571778838566085e-06,2.5717788429570805e-06,5.143557593338907e-06,5.14355768155212e-06,2.5717787966269944e-06,2.5717787966270524e-06,2.571778838536415e-06,2.5717788429315344e-06
2.0,0.45000000116290273,0.44999999613874736,0.44999739642642084,0.4499973964263954,0.44999739842264347,0.44999739779109765,49.906907663273934,49.73200050280466,49.73200050290148,49.57312373573255,49.57312373573255,49.57312373229115,49.57312373231228,49.813815326547925,49.73665547156111,5.143553023945194e-06,5.14355316259122e-06,2.571776511938627e-06,2.5717765119389455e-06,2.5717765773042374e-06,2.5717765852402475e-06,5.143553023933103e-06,5.1435531625811725e-06,2.5717765119310973e-06,2.5717765119312027e-06,2.571776577287974e-06,2.5717765852229024e-06
3.0,0.4500000019259332,0.44999999537541996,0.44999739641822023,0.4499973964181948,0.44999739854931065,0.4499973976786865,49.90690773196356,49.73200070057128,49.73200070062997,49.57312405137926,49.57312405137926,49.573124046600626,49.573124046617686,49.81381546392716,49.736655665873926,5.1435492076608766e-06,5.143549388427968e-06,2.5717746037987465e-06,2.5717746037990646e-06,2.571774688711721e-06,2.5717746996519815e-06,5.143549207625533e-06,5.143549388396733e-06,2.5717746037831137e-06,2.571774603783259e-06,2.5717746887059454e-06,2.571774699631531e-06
4.0,0.4500000025638865,0.44999999473721847,0.44999739641137104,0.4499973964113456,0.4499973986552785,0.4499973975846255,49.90690778933219,49.73200086574324,49.7320008657701,49.57312431500309,49.57312431500308,49.5731243091076,49.57312430912122,49.81381557866442,49.73665582816132,5.143546020300722e-06,5.14354623628428e-06,2.571773010135476e-06,2.571773010135794e-06,2.571773111391329e-06,2.5717731248451453e-06,5.143546020296728e-06,5.143546236251103e-06,2.5717730101239305e-06,2.5717730101236327e-06,2.5717731113746957e-06,2.571773124826433e-06
5.0,0.4500000030956057,0.4499999942052919,0.4499973964056504,0.44999739640562497,0.44999739874512384,0.44999739750472495,49.90690783724566,49.73200100369254,49.732001003692794,49.573124535177996,49.573124535177996,49.57312452834972,49.573124528360445,49.81381567449135,49.73665596370146,5.143543358280235e-06,5.143543603615874e-06,2.571771679125217e-06,2.571771679125535e-06,2.5717717940001347e-06,2.571771809586969e-06,5.1435433582841685e-06,5.1435436036228e-06,2.5717716791213226e-06,2.5717716791215335e-06,2.571771793998224e-06,2.5717718095838067e-06
6.0,0.4500000035399344,0.4499999937607901,0.44999739640087244,0.449997396400847,0.4499973988210006,0.44999739743715433,49.906907877262306,49.7320011189058,49.73200111888385,49.573124719064936,49.573124719064936,49.573124711457595,49.573124711465844,49.813815754524626,49.73665607690265,5.143541135020207e-06,5.1435414048837525e-06,2.5717705674965165e-06,2.571770567496835e-06,2.5717706937373455e-06,2.5717707111267295e-06,5.143541135008743e-06,5.143541404890786e-06,2.571770567487288e-06,2.571770567487525e-06,2.5717706937343703e-06,2.571770711121957e-06
7.0,0.4500000039118928,0.44999999338868696,0.44999739639688185,0.44999739639685643,0.4499973988846376,0.4499973973804547,49.90690791068362,49.73200121513023,49.73200121508973,49.57312487264462,49.57312487264462,49.5731248643866,49.57312486439278,49.81381582136726,49.73665617144661,5.143539278157725e-06,5.14353956855416e-06,2.5717696390780056e-06,2.571769639078324e-06,2.5717697748121237e-06,2.5717697937136474e-06,5.1435392781621165e-06,5.143539568541966e-06,2.571769639066456e-06,2.571769639066715e-06,2.5717697748013736e-06,2.571769793712074e-06
8.0,0.45000000422158537,0.44999999307887384,0.44999739639354885,0.44999739639352343,0.44999739893933527,0.4499973973315515,49.9069079385966,49.73200129549546,49.73200129543946,49.57312500091211,49.573125000912114,49.57312499211063,49.57312499211506,49.81381587719321,49.73665625040832,5.14353772736021e-06,5.1435380348523105e-06,2.5717688636567765e-06,2.571768863657095e-06,2.5717690073219975e-06,2.571769027525363e-06,5.143537727350442e-06,5.143538034851555e-06,2.571768863663303e-06,2.5717688636638196e-06,2.5717690073150946e-06,2.571769027511959e-06
9.0,0.4500000044807549,0.4499999928196035,0.4499973963907651,0.44999739639073966,0.44999739898399227,0.4499973972917337,49.906907961909106,49.73200136261528,49.732001362546335,49.57312510803918,49.573125108039186,49.57312509878383,49.573125098786775,49.813815923818225,49.73665631635596,5.143536432139457e-06,5.143536753938247e-06,2.571768216047062e-06,2.5717682160473796e-06,2.571768366321534e-06,2.5717683875864016e-06,5.143536432136161e-06,5.143536753936289e-06,2.571768216057775e-06,2.571768216058305e-06,2.5717683663165073e-06,2.5717683875998567e-06
10.0,0.45000000469732127,0.4499999926029528,0.4499973963884401,0.4499973963884147,0.4499973990230706,0.44999739725669735,49.906907981379355,49.73200141867274,49.732001418592986,49.5731251975101,49.5731251975101,49.573125187875654,49.57312518787735,49.81381596275872,49.73665637143443,5.143535350389296e-06,5.14353568414299e-06,2.571767675198966e-06,2.5717676751992842e-06,2.5717678309611195e-06,2.5717678531573053e-06,5.143535350393137e-06,5.143535684135097e-06,2.5717676751877426e-06,2.5717676751880454e-06,2.5717678309588808e-06,2.5717678531598498e-06
11.0,0.450000004877566,0.4499999924226379,0.4499973963864982,0.4499973963864728,0.4499973990562375,0.44999739722690657,49.90690799764061,49.73200146549105,49.73200146540228,49.57312527223483,49.57312527223484,49.57312526228379,49.57312526228443,49.813815995281225,49.73665641743513,5.143534446968486e-06,5.143534790672039e-06,2.571767223467431e-06,2.5717672234677493e-06,2.5717673838260185e-06,2.571767406813324e-06,5.1435344469360915e-06,5.143534790654464e-06,2.5717672234608675e-06,2.5717672234614228e-06,2.571767383832369e-06,2.5717674068085825e-06
12.0,0.45000000502858895,0.44999999227155596,0.4499973963848762,0.44999739638485076,0.4499973990831491,0.4499973972028148,49.90690801122176,49.73200150459301,49.73200150449669,49.573125334643805,49.5731253346438,49.573125324428304,49.57312532442806,49.81381602244352,49.73665645585419,5.143533692389143e-06,5.14353404442947e-06,2.5717668461816215e-06,2.57176684618194e-06,2.571767010395606e-06,2.5717670340238183e-06,5.1435336923840725e-06,5.143534044433397e-06,2.571766846186077e-06,2.571766846186161e-06,2.571767010395119e-06,2.5717670340264293e-06
