variable,dataset,rmse,range_truth,nrmse_pct,n_samples
PV1__v_mm3_s,generated,9.015354468005694e-13,3.64569962820381e-10,0.24728736284967737,1000
PV2__v_mm3_s,generated,8.945215132608262e-13,3.6462970132924587e-10,0.24532327180146782,1000
PV3__v_mm3_s,generated,2.6995412308777273e-13,1.8146047472013922e-10,0.14876745115106443,1000
PV4__v_mm3_s,generated,2.646343855666981e-13,1.8129944608020657e-10,0.14596535802410796,1000
PV5__v_mm3_s,generated,4.1475206078425964e-13,1.8219243123993468e-10,0.22764505526470538,1000
PV6__v_mm3_s,generated,4.172904428288811e-13,1.8228500230988145e-10,0.2289219834550592,1000
V1__u_mmHg,generated,7.610090292992783e-09,1.82347618959966e-05,0.041733971281871035,1000
V1__v_mm3_s,generated,1.2676030311843055e-13,3.584775608798783e-10,0.0353607357758458,1000
V2__u_mmHg,generated,7.610834182046458e-09,1.8234991003396317e-05,0.04173752638884724,1000
V2__v_mm3_s,generated,1.286427161357949e-13,3.583893882101987e-10,0.03589467779116963,1000
V3__u_mmHg,generated,3.0624880173798836e-09,1.1793788601721644e-05,0.025966957021196946,1000
V3__v_mm3_s,generated,6.325097559733928e-14,1.793441061201472e-10,0.03526794215080914,1000
V4__u_mmHg,generated,3.0648911585205026e-09,1.1793615705357752e-05,0.02598771432859344,1000
V4__v_mm3_s,generated,6.690410553908992e-14,1.7928160732996e-10,0.03731788583084032,1000
V5__u_mmHg,generated,3.509638626402796e-09,1.1796284795195788e-05,0.029752067598708267,1000
V5__v_mm3_s,generated,7.060096396200917e-14,1.7929963089003496e-10,0.039375967263038575,1000
V6__u_mmHg,generated,3.5111300570400085e-09,1.1796372099581731e-05,0.029764490534886605,1000
V6__v_mm3_s,generated,7.231541935736948e-14,1.793773638701693e-10,0.04031468508462991,1000
VV_junc1__H_VV_out_alpha,generated,5.902189296285424e-08,6.003518799868601e-07,9.831216479932744,1000
VV_junc1__H_VV_out_beta,generated,5.906770268707862e-08,6.01377892039956e-07,9.822060882004308,1000
VV_junc1__u_d_mmHg,generated,7.827421899625645e-09,1.8348790604250098e-05,0.04265906167032389,1000
VV_junc1__u_mmHg,generated,9.391274126992221e-09,1.2985922694497276e-05,0.07231888213050683,1000
VV_junc2__H_VV_out_alpha,generated,1.9680763641426046e-08,4.7279995279037035e-05,0.041625984785476675,1000
VV_junc2__H_VV_out_beta,generated,1.9885380926393586e-08,4.72783191829973e-05,0.04206025355813615,1000
VV_junc3__H_VV_out_alpha,generated,2.5450756876767988e-08,4.732185319999971e-05,0.05378224890982956,1000
VV_junc3__H_VV_out_beta,generated,2.5490052861610284e-08,4.7318701322018875e-05,0.053868876679734584,1000
inlet__u_mmHg,generated,4.6896303037258446e-09,6.492896794441094e-06,0.0722270883427699,1000
PV1__v_mm3_s,iterative,2.82902734864174e-11,3.64569962820381e-10,7.759902452620776,1000
PV2__v_mm3_s,iterative,2.808579350519577e-11,3.6462970132924587e-10,7.702552316174439,1000
PV3__v_mm3_s,iterative,1.4142735495739774e-11,1.8146047472013922e-10,7.793838034178886,1000
PV4__v_mm3_s,iterative,1.4138706692877318e-11,1.8129944608020657e-10,7.798538273868955,1000
PV5__v_mm3_s,iterative,1.405495500264857e-11,1.8219243123993468e-10,7.714346258511243,1000
PV6__v_mm3_s,iterative,1.4042313566407454e-11,1.8228500230988145e-10,7.70349364372597,1000
V1__u_mmHg,iterative,1.3260537646145087e-06,1.82347618959966e-05,7.2721199880632446,1000
V1__v_mm3_s,iterative,2.8275282279313475e-11,3.584775608798783e-10,7.887601726008227,1000
V2__u_mmHg,iterative,1.326006658183854e-06,1.8234991003396317e-05,7.2717702900806565,1000
V2__v_mm3_s,iterative,2.8071085185184102e-11,3.583893882101987e-10,7.8325659488333255,1000
V3__u_mmHg,iterative,1.3843460547004058e-06,1.1793788601721644e-05,11.737924948886404,1000
V3__v_mm3_s,iterative,1.4139587547525375e-11,1.793441061201472e-10,7.884054766791669,1000
V4__u_mmHg,iterative,1.3843413135606965e-06,1.1793615705357752e-05,11.73805682791411,1000
V4__v_mm3_s,iterative,1.41354897254358e-11,1.7928160732996e-10,7.8845175118382596,1000
V5__u_mmHg,iterative,1.3768745116915663e-06,1.1796284795195788e-05,11.672103001890212,1000
V5__v_mm3_s,iterative,1.404233312014018e-11,1.7929963089003496e-10,7.831769117668953,1000
V6__u_mmHg,iterative,1.3768729210266888e-06,1.1796372099581731e-05,11.67200313285734,1000
V6__v_mm3_s,iterative,1.4029499691563723e-11,1.793773638701693e-10,7.821220798917565,1000
VV_junc1__H_VV_out_alpha,iterative,5.9296268621965014e-08,6.003518799868601e-07,9.87691895347489,1000
VV_junc1__H_VV_out_beta,iterative,5.958683998086682e-08,6.01377892039956e-07,9.908385520914333,1000
VV_junc1__u_d_mmHg,iterative,1.4427715364603277e-06,1.8348790604250098e-05,7.863033414998704,1000
VV_junc1__u_mmHg,iterative,1.020172271867256e-06,1.2985922694497276e-05,7.85598602323075,1000
VV_junc2__H_VV_out_alpha,iterative,3.871298397475256e-06,4.7279995279037035e-05,8.188026192954611,1000
VV_junc2__H_VV_out_beta,iterative,3.8706738584999424e-06,4.72783191829973e-05,8.186995488392814,1000
VV_junc3__H_VV_out_alpha,iterative,3.868552503051909e-06,4.732185319999971e-05,8.174980989653914,1000
VV_junc3__H_VV_out_beta,iterative,3.869726873285031e-06,4.7318701322018875e-05,8.178007352632743,1000
inlet__u_mmHg,iterative,5.100859913391931e-07,6.492896794441094e-06,7.856061900997783,1000
