variable,dataset,rmse,range_truth,nrmse_pct,n_samples
PV1__u_mmHg,generated,7.1911078538355945e-09,0.01893973335879906,3.796836902402712e-05,1000
PV1__v_mm3_s,generated,1.3305364715400462e-12,9.8435391018862e-07,0.000135168505734395,1000
PV2__u_mmHg,generated,7.0739129828771965e-09,0.01805398654769874,3.9181999854646367e-05,1000
PV2__v_mm3_s,generated,1.3446799088348025e-12,2.8027226061523926e-07,0.0004797763096080327,1000
PV3__u_mmHg,generated,5.956924224844956e-06,0.013479336131105413,0.04419300896502268,1000
PV3__v_mm3_s,generated,7.127418933329615e-13,2.5717593341742247e-06,2.7714175423098766e-05,1000
PV4__u_mmHg,generated,1.2941115545501136e-08,0.05207289455899655,2.485192278074605e-05,1000
PV4__v_mm3_s,generated,6.615950951837606e-13,1.8099225395932101e-06,3.655377955193915e-05,1000
PV5__u_mmHg,generated,5.656330045960868e-09,0.005803888722702766,9.745758949228815e-05,1000
PV5__v_mm3_s,generated,8.361311215490774e-13,1.401359374794401e-07,0.0005966571720203817,1000
PV6__u_mmHg,generated,5.6622844573957435e-09,0.005803888726603645,9.756018290704263e-05,1000
PV6__v_mm3_s,generated,8.388960401533015e-13,1.4013598081651966e-07,0.000598630012981227,1000
V1__u_mmHg,generated,7.308143001576092e-09,0.019537172213894394,3.740634991372347e-05,1000
V1__v_mm3_s,generated,2.7394513761807426e-13,9.843482547643701e-07,2.7830103450902168e-05,1000
V2__u_mmHg,generated,7.069322006780672e-09,0.017765678537401186,3.97920180301472e-05,1000
V2__v_mm3_s,generated,1.9304170878010243e-13,2.8027181221307994e-07,6.887660491285517e-05,1000
V3__u_mmHg,generated,2.7035489420291692e-09,0.07312852363690325,3.696982801748868e-06,1000
V3__v_mm3_s,generated,3.490893464561363e-13,2.5717572829025377e-06,1.3573961616710072e-05,1000
V4__u_mmHg,generated,1.3144464287603785e-08,0.05105101608610596,2.5747703562713578e-05,1000
V4__v_mm3_s,generated,4.3964025689394156e-13,1.8099233762319298e-06,2.4290545261050022e-05,1000
V5__u_mmHg,generated,5.754202537734982e-09,0.005667177166401416,0.00010153560350732473,1000
V5__v_mm3_s,generated,9.878333365953434e-14,1.401358352323401e-07,7.049112990674739e-05,1000
V6__u_mmHg,generated,5.765363975461002e-09,0.005667177122198552,0.0001017325531061637,1000
V6__v_mm3_s,generated,1.0089599655762479e-13,1.4013587854266993e-07,7.19986898479414e-05,1000
VV_junc1__H_VV_out_alpha,generated,4.8661621220345865e-08,0.02134991670876496,0.00022792417358878222,1000
VV_junc1__H_VV_out_beta,generated,4.968806431562353e-08,0.027835851836958025,0.0001785038396046211,1000
VV_junc1__u_mmHg,generated,7.859314974972491e-09,0.012968022743997665,6.060534539554403e-05,1000
VV_junc2__H_VV_out_alpha,generated,6.121970157192892e-08,0.068134655447325,8.985104741486212e-05,1000
VV_junc2__H_VV_out_beta,generated,5.575512526551019e-07,0.45004718893824,0.0001238872870132769,1000
VV_junc3__H_VV_out_alpha,generated,4.1866595722072956e-08,0.016847669912922025,0.0002485008071648034,1000
VV_junc3__H_VV_out_beta,generated,4.1868619232243024e-08,0.016847670810409998,0.0002485128045496523,1000
inlet__u_mmHg,generated,3.923498074300947e-09,0.006484011311698623,6.051035209056575e-05,1000
PV1__u_mmHg,iterative,0.00020278817786255004,0.01893973335879906,1.070702390687767,1000
PV1__v_mm3_s,iterative,1.609025813544491e-07,9.8435391018862e-07,16.34600926445421,1000
PV2__u_mmHg,iterative,0.00017539931472913326,0.01805398654769874,0.9715267831053668,1000
PV2__v_mm3_s,iterative,1.6279141441428454e-07,2.8027226061523926e-07,58.083313010332596,1000
PV3__u_mmHg,iterative,0.00041398315231395337,0.013479336131105413,3.071242888280162,1000
PV3__v_mm3_s,iterative,2.6438146596703858e-09,2.5717593341742247e-06,0.10280179115279842,1000
PV4__u_mmHg,iterative,0.0008141369142842173,0.05207289455899655,1.5634562303077506,1000
PV4__v_mm3_s,iterative,1.609565312521798e-07,1.8099225395932101e-06,8.893006619407902,1000
PV5__u_mmHg,iterative,0.0004603515316158068,0.005803888722702766,7.931777358429942,1000
PV5__v_mm3_s,iterative,8.139570752968945e-08,1.401359374794401e-07,58.083393163606836,1000
PV6__u_mmHg,iterative,0.0004603515350994533,0.005803888726603645,7.931777413121506,1000
PV6__v_mm3_s,iterative,8.139572726708119e-08,1.4013598081651966e-07,58.08338928576294,1000
V1__u_mmHg,iterative,0.00021729349958948536,0.019537172213894394,1.1122054778989519,1000
V1__v_mm3_s,iterative,1.6090255301040653e-07,9.843482547643701e-07,16.34610029850897,1000
V2__u_mmHg,iterative,0.0001631633070814534,0.017765678537401186,0.9184186617919147,1000
V2__v_mm3_s,iterative,1.6279144010175444e-07,2.8027181221307994e-07,58.08341510204755,1000
V3__u_mmHg,iterative,9.899309194903469e-06,0.07312852363690325,0.013536864553775738,1000
