category,variable,value
state,inlet/H_link_R,0.45
state,inlet/H_link_L,0.45
state,inlet/H_down,0.44999999999978424
state,inlet/RBC_volume,1.5269638980947235e-14
state,inlet/q_C,3.3304100022007534e-18
state,VV_junc1/H_from1,0.45
state,VV_junc1/H_from2,0.0030304372081619902
state,VV_junc1/H_from3,0.46960467660585914
state,VV_junc1/H_from4,0.46357568603273064
state,VV_junc1/H_VV_out_alpha,0.46446029804327094
state,VV_junc1/RBC_volume,5.325507956209272e-17
state,VV_junc1/q_C,2.7692346734392117e-18
state,VV_junc1/q_C_d,2.7648420113638745e-18
state,PV1/H_link_R,0.4499741438430332
state,PV1/H_link_L,0.46166248034022545
state,PV1/H_down,0.4495619834497541
state,PV1/RBC_volume,7.635130096201316e-16
state,PV1/q_C,1.6593089687582992e-19
state,PV2/H_link_R,0.4499928609103
state,PV2/H_link_L,0.45540098039695914
state,PV2/H_down,0.4498426337988574
state,PV2/RBC_volume,7.634925604467997e-16
state,PV2/q_C,1.6593077855686796e-19
state,V1/H_link_R,0.4521538227287373
state,V1/H_link_L,0.4498793661556424
state,V1/H_down,0.45000257920109266
state,V1/RBC_volume,1.0692476761639023e-14
state,V1/q_C,2.7653833978996735e-18
state,V2/H_link_R,0.4522089471092198
state,V2/H_link_L,0.449963176418735
state,V2/H_down,0.45000070802444786
state,V2/RBC_volume,1.069247687755114e-14
state,V2/q_C,2.765379453934032e-18
state,VV_junc2/H_from1,0.45342769074746897
state,VV_junc2/H_from2,0.0030304372081619902
state,VV_junc2/H_from3,0.46497009562281033
state,VV_junc2/H_from4,0.4753901318677901
state,VV_junc2/H_VV_out_alpha,0.4660119563450339
state,VV_junc2/RBC_volume,4.516794760226283e-17
state,VV_junc2/q_C,2.7579796284145686e-18
state,VV_junc2/q_C_d,2.7557996792297734e-18
state,PV3/H_link_R,0.4499928672200254
state,PV3/H_link_L,0.45580122364794357
state,PV3/H_down,0.4498345538668819
state,PV3/RBC_volume,6.415539443210172e-16
state,PV3/q_C,1.6539015085502025e-19
state,PV4/H_link_R,0.4499680110389531
state,PV4/H_link_L,0.4648469359738592
state,PV4/H_down,0.4494463986983048
state,PV4/RBC_volume,6.415680102854312e-16
state,PV4/q_C,1.6539015067283592e-19
state,V3/H_link_R,0.45
state,V3/H_link_L,0.44996227683071843
state,V3/H_down,0.45000071303472855
state,V3/RBC_volume,7.069575753798429e-15
state,V3/q_C,2.2051227949778856e-18
state,V4/H_link_R,0.45
state,V4/H_link_L,0.44984926600388503
state,V4/H_down,0.4500031977154906
state,V4/RBC_volume,7.069575675609164e-15
state,V4/q_C,2.2051227901197373e-18
state,VV_junc3/H_from1,0.4535159107894262
state,VV_junc3/H_from2,0.0030304372081619902
state,VV_junc3/H_from3,0.4755048411310569
