time,inlet__H_link_R,inlet__H_link_L,inlet__H_down,inlet__RBC_volume,inlet__q_C,VV_junc1__RBC_volume,VV_junc1__q_C,VV_junc1__q_C_d,PV1__H_link_R,PV1__H_link_L,PV1__H_down,PV1__RBC_volume,PV1__q_C,PV2__H_link_R,PV2__H_link_L,PV2__H_down,PV2__RBC_volume,PV2__q_C,V1__H_link_R,V1__H_link_L,V1__H_down,V1__RBC_volume,V1__q_C,V2__H_link_R,V2__H_link_L,V2__H_down,V2__RBC_volume,V2__q_C,VV_junc2__RBC_volume,VV_junc2__q_C,VV_junc2__q_C_d,PV3__H_link_R,PV3__H_link_L,PV3__H_down,PV3__RBC_volume,PV3__q_C,PV4__H_link_R,PV4__H_link_L,PV4__H_down,PV4__RBC_volume,PV4__q_C,V3__H_link_R,V3__H_link_L,V3__H_down,V3__RBC_volume,V3__q_C,V4__H_link_R,V4__H_link_L,V4__H_down,V4__RBC_volume,V4__q_C,VV_junc3__RBC_volume,VV_junc3__q_C,VV_junc3__q_C_d,PV5__H_link_R,PV5__H_link_L,PV5__H_down,PV5__RBC_volume,PV5__q_C,PV6__H_link_R,PV6__H_link_L,PV6__H_down,PV6__RBC_volume,PV6__q_C,V5__H_link_R,V5__H_link_L,V5__H_down,V5__RBC_volume,V5__q_C,V6__H_link_R,V6__H_link_L,V6__H_down,V6__RBC_volume,V6__q_C,inlet__u_mmHg,VV_junc1__u_mmHg,VV_junc1__u_d_mmHg,PV1__u_mmHg,PV2__u_mmHg,V1__u_mmHg,V2__u_mmHg,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta
0.0,0.16554533503524738,0.45,0.449999999005151,1.5269638949389773e-14,3.3304324226885967e-18,5.3129684920468425e-17,2.769272006972341e-18,2.764894767188325e-18,0.4499606157540015,0.4629569747141832,0.4494584270115804,7.635217082420872e-16,1.6593367921428482e-19,0.44996062342925724,0.4629455867731889,0.44945881826960615,7.635216829641695e-16,1.659336758114149e-19,0.16877102489882437,0.4498340144397035,0.4500038278206632,1.0692476758257886e-14,2.7654351283631478e-18,0.16877102492005452,0.4498340821456568,0.45000382704704384,1.0692476758081617e-14,2.7654351290434194e-18,4.5091178832564876e-17,2.7580055576032245e-18,2.7558170606915004e-18,0.45001259668412064,0.4616498943276744,0.4497385713914187,6.415547157656964e-16,1.653905004600027e-19,0.4500125966841176,0.46164989432758646,0.449738571391391,6.415547157656421e-16,1.6539050046000347e-19,0.45,0.44998862167485104,0.44999874157007946,7.069575833985925e-15,2.2051360761119726e-18,0.45,0.4499886216748402,0.44999874157007974,7.069575833985925e-15,2.2051360761119726e-18,4.509154804731749e-17,2.758005575811102e-18,2.7558170844178176e-18,0.4500126003633829,0.46165405002189513,0.44973848705000746,6.415546237201658e-16,1.6539042269352074e-19,0.45001259208841843,0.4616484826165441,0.4497385592079264,6.415546197280901e-16,1.6539042412527714e-19,0.45,0.4499886239845553,0.4499987412086233,7.069575834279371e-15,2.205136094950624e-18,0.45,0.4499886068011827,0.4499987420357697,7.069575834252539e-15,2.2051360949497965e-18,49.90690730491809,49.81381420309694,49.736653006604115,49.73422197556719,49.734220976105,49.73199813493897,49.73199814692719,0.4698083506999124,0.4697307414068656
1.0,4.001377770435256e-17,0.45,0.4499999990344488,1.526963896144171e-14,3.3304328963474504e-18,5.0893800926529206e-17,2.769272819247847e-18,2.764895965786715e-18,0.4500323710675302,0.44999999905103705,0.4500321548117685,7.635311142557231e-16,1.6593410411723766e-19,0.4500323689598479,0.4499999990608559,0.45003215271820335,7.635311110389966e-16,1.6593410411728653e-19,1.6927111614040302e-17,0.45003226275846153,0.45004746948198077,1.0693572179193224e-14,2.7654363358244357e-18,1.66320491470696e-17,0.45003226065784646,0.45004746622544534,1.0693572104262926e-14,2.7654363358260635e-18,4.276942629638555e-17,2.758005892488919e-18,2.7558174657583287e-18,0.4501688327347324,0.4500473039251356,0.4501683481518959,6.417723826664479e-16,1.6539119228095186e-19,0.45016883274641417,0.4500473038952743,0.4501683481635386,6.417723826776563e-16,1.6539119228095186e-19,0.45,0.45016859019002853,0.45005323015370163,7.070577437279013e-15,2.2051363329729173e-18,0.45,0.45016859020168737,0.4500532301616346,7.070577437408993e-15,2.2051363329729173e-18,4.276942599079903e-17,2.75800589255915e-18,2.7558174658287515e-18,0.45016884462957213,0.4500473003784785,0.45016835998546073,6.41772397504171e-16,1.6539119228498606e-19,0.4501688430028252,0.4500473010002637,0.45016835836765556,6.417723954937743e-16,1.6539119228499504e-19,0.45,0.4501686020542013,0.450053234780302,7.070577520362884e-15,2.2051363330241416e-18,0.45,0.45016860043192786,0.45005323391678537,7.070577505704886e-15,2.2051363330243812e-18,49.906914260871766,49.81382852174362,49.73667413528119,49.734346774469664,49.73434677448402,49.73201941365815,49.73201941368684,0.4499999990655982,0.4499999990488498
2.0,-6.386912407500773e-23,0.45,0.4499999992678559,1.5269638968664302e-14,3.33043285591557e-18,5.0893800954224054e-17,2.769272751880947e-18,2.7648958705041366e-18,0.4500011430911907,0.44999999937543844,0.4500011354526212,7.634834305169936e-16,1.6593409906189078e-19,0.45000114291004073,0.44999999923934947,0.4500011352703417,7.634834302139555e-16,1.6593409906189713e-19,-2.7019898169926174e-23,0.4500011392654931,0.4500419011283968,1.0693384309811305e-14,2.7654362626231742e-18,-2.654738654118063e-23,0.45000113908378525,0.4500418983003292,1.069338424836852e-14,2.7654362626233864e-18,4.276892842619457e-17,2.758005947605466e-18,2.7558175069167266e-18,0.45006222360212145,0.45004208280297336,0.450062145555332,6.416343239063473e-16,1.6539119659421567e-19,0.4500622238327897,0.4500420829826149,0.45006214578926657,6.416343242350314e-16,1.6539119659421204e-19,0.45,0.4500621845491502,0.45007016492815005,7.070666722606515e-15,2.2051364150569864e-18,0.45,0.45006218478142807,0.4500701649439485,7.070666723162136e-15,2.20513641505689e-18,4.2768928139178066e-17,2.7580059476629936e-18,2.7558175069747656e-18,0.4500622223170788,0.45004207963632653,0.45006214426321683,6.416343218166773e-16,1.653911965977369e-19,0.4500622225401712,0.4500420800909042,0.45006214448659193,6.416343221652567e-16,1.65391196597717e-19,0.45,0.4500621832605754,0.45007017046675163,7.070666799855837e-15,2.2051364151044416e-18,0.45,0.4500621834838161,0.4500701695219768,7.070666786684208e-15,2.2051364151039105e-18,49.90691366710626,49.81382733421201,49.73667245565702,49.73434528965592,49.73434528965778,49.73201812365482,49.732018123658555,0.44999999932332607,0.44999999928087436
3.0,-1.0019611693350256e-26,0.45,0.4499999994756274,1.5269638975034855e-14,3.3304328038462944e-18,5.089380097282369e-17,2.769272665124068e-18,2.764895747795558e-18,0.450000038323261,0.4499999994288952,0.45000003806339944,7.634817435845836e-16,1.6593409165740437e-19,0.450000038321036,0.44999999949879227,0.4500000380616312,7.634817435929888e-16,1.6593409165740404e-19,-4.2388069653297715e-27,0.4500000381931122,0.4500331801252296,1.0693193580462526e-14,2.765436138551243e-18,-4.164680670509287e-27,0.4500000381911157,0.45003317786454344,1.0693193531639812e-14,2.7654361385512327e-18,4.276809715038237e-17,2.7580059422960262e-18,2.7558174836317085e-18,0.45004016887606973,0.450033334272825,0.450040143390857,6.416047079446283e-16,1.653911955511468e-19,0.45004016888539233,0.4500333342491861,0.45004014340005616,6.416047079533985e-16,1.6539119555114752e-19,0.45,0.4500401561287558,0.45006863304509065,7.070613293002453e-15,2.205136405875252e-18,0.45,0.45004015613801646,0.45006863309313166,7.070613293701791e-15,2.20513640587527e-18,4.276809693419515e-17,2.758005942340191e-18,2.7558174836758243e-18,0.4500401663505487,0.4500333317876829,0.4500401408653829,6.416047043494134e-16,1.6539119555384945e-19,0.45004016675609054,0.4500333321843825,0.4500401412708812,6.416047049263502e-16,1.6539119555383022e-19,0.45,0.4500401536032578,0.4500686374142608,7.070613351778219e-15,2.2051364059120196e-18,0.45,0.4500401540087778,0.45006863666934993,7.070613341721515e-15,2.205136405911506e-18,49.90691290243889,49.81382580487733,49.73667029257224,49.73434311487278,49.734343114872686,49.73201593717331,49.732015937173124,0.44999999946890185,0.4499999994642124
4.0,-2.301419451145267e-28,0.45,0.44999999962463993,1.5269638979304972e-14,3.3304327562454035e-18,5.089380101623446e-17,2.7692725858123308e-18,2.764895635616718e-18,0.45000000064436013,0.4499999989356037,0.45000000063356643,7.634816859652445e-16,1.6593408486608062e-19,0.4500000010891248,0.45000000062541934,0.45000000108497,7.634816869272661e-16,1.6593408486606497e-19,-9.736178490235838e-29,0.45000000063895573,0.4500261537227105,1.0693041757724956e-14,2.765436024385266e-18,-9.565916711165362e-29,0.45000000108703503,0.4500261518952872,1.0693041719326874e-14,2.765436024384744e-18,4.276742651527313e-17,2.7580059162366325e-18,2.7558174411389486e-18,0.45003047510657584,0.4500262755035544,0.45003045973989564,6.415912490638435e-16,1.6539119313937854e-19,0.45003047505780513,0.45002627547249313,0.4500304596911462,6.415912489966572e-16,1.6539119313938e-19,0.45,0.4500304674218908,0.45006393389217514,7.070532322356641e-15,2.2051363755655313e-18,0.45,0.45003046737313057,0.45006393393317473,7.070532322875485e-15,2.2051363755655702e-18,4.2767426331415774e-17,2.7580059162697323e-18,2.755817441171639e-18,0.45003047288517656,0.4500262734477137,0.45003045751917065,6.415912459196445e-16,1.6539119314138673e-19,0.45003047322019224,0.45002627371161763,0.4500304578539078,6.415912463875063e-16,1.65391193141372e-19,0.45,0.4500304652008294,0.4500639371178745,7.070532365242603e-15,2.2051363755929226e-18,0.45,0.45003046553570586,0.4500639365654417,7.07053235783353e-15,2.2051363755925294e-18,49.90691220339233,49.81382440678428,49.736668315103806,49.73434112018259,49.734341120178,49.732013925261384,49.73201392525219,0.44999999986486755,0.4499999998359177
5.0,1.8296465702526026e-30,0.45,0.4499999996877207,1.5269638981933113e-14,3.330432714254377e-18,5.08938009629646e-17,2.769272515847645e-18,2.764895536657914e-18,0.4499999991752298,0.4499999996126324,0.4499999991774465,7.634816838310865e-16,1.6593407887436874e-19,0.450000000285792,0.449999999425977,0.4500000002813149,7.634816854996894e-16,1.6593407887434476e-19,7.74033881275696e-31,0.44999999917634004,0.4500206110479365,1.069292205640335e-14,2.765435923649135e-18,7.6049792815086926e-31,0.45000000028356346,0.45002060984515435,1.0692922032822778e-14,2.7654359236483355e-18,4.276689740232209e-17,2.7580058803032914e-18,2.755817390708181e-18,0.4500238567548824,0.45002070705897707,0.4500238452798575,6.415819571603568e-16,1.653911901997052e-19,0.45002385672896106,0.450020707057002,0.45002384525399663,6.415819571266231e-16,1.65391190199706e-19,0.45,0.4500238510166363,0.45005843497590925,7.0704443317902115e-15,2.2051363375305935e-18,0.45,0.4500238509907452,0.450058435001765,7.0704443321187484e-15,2.2051363375306155e-18,4.27668972864475e-17,2.7580058803248746e-18,2.755817390730085e-18,0.45002385498221215,0.45002070574774206,0.45002384350869423,6.415819546958633e-16,1.6539119020105752e-19,0.4500238552087871,0.4500207059355142,0.4500238437351141,6.415819550135525e-16,1.6539119020104693e-19,0.45,0.4500238492447193,0.45005843729436734,7.070444362356508e-15,2.205136337549128e-18,0.45,0.45002384947121665,0.4500584368876949,7.070444356873633e-15,2.2051363375488463e-18,49.90691158672987,49.81382317345937,49.73666657067579,49.73433936034765,49.734339360340606,49.73201215001951,49.73201215000542,0.44999999939124136,0.4499999993675259
6.0,-4.4673375136898445e-31,0.45,0.4499999998154251,1.5269638985661418e-14,3.330432677544576e-18,5.0893800993816656e-17,2.7692724546824408e-18,2.7648954501457812e-18,0.449999998734317,0.44999999879304226,0.4499999987341537,7.634816830167039e-16,1.6593407363625513e-19,0.4500000017141909,0.4500000025477492,0.4500000017197592,7.634816882051736e-16,1.659340736361844e-19,-1.8898944868024529e-31,0.4499999987342694,0.45001624300121323,1.0692827725892452e-14,2.7654358355826543e-18,-1.8568430129112013e-31,0.45000000171701837,0.45001624233557497,1.069282771821422e-14,2.7654358355802973e-18,4.2766480255547696e-17,2.7580058395236285e-18,2.7558173372542797e-18,0.4500187800772463,0.45001631552699833,0.4500187711054499,6.415748131917341e-16,1.6539118705430162e-19,0.450018780096554,0.45001631554685184,0.45001877112478544,6.4157481321938495e-16,1.653911870543016e-19,0.45,0.45001877559079,0.45005275059360966,7.070355898649183e-15,2.2051362964287305e-18,0.45,0.45001877561011167,0.4500527506110616,7.0703558989263295e-15,2.2051362964287298e-18,4.276648016603889e-17,2.7580058395340196e-18,2.7558173372665818e-18,0.4500187790550151,0.4500163150063726,0.45001877008494434,6.41574811802734e-16,1.6539118705506675e-19,0.45001877906534504,0.45001631478319115,0.4500187700944764,6.415748117856446e-16,1.6539118705506208e-19,0.45,0.4500187745694288,0.4500527522282588,7.070355920529008e-15,2.2051362964392893e-18,0.45,0.45001877457935996,0.4500527519317957,7.070355916310466e-15,2.2051362964391633e-18,49.90691104762525,49.81382209525014,49.73666504565546,49.7343378218532,49.73433782183243,49.732010598050984,49.732010598009445,0.449999999733846,0.44999999957050535
7.0,2.7108916267524167e-33,0.45,0.4499999998815902,1.526963898739574e-14,3.3304326456143106e-18,5.089380102644819e-17,2.7692724014808197e-18,2.7648953748967312e-18,0.4499999999035386,0.45000000021934167,0.4499999999057234,7.634816850435244e-16,1.6593406908005673e-19,0.44999999983456207,0.44999999890600556,0.44999999982886085,7.634816847163315e-16,1.6593406908006838e-19,1.1462141938076374e-33,0.44999999990461875,0.4500128033780102,1.069275344369194e-14,2.7654357589803173e-18,1.1261144236960505e-33,0.4499999998316967,0.45001280334748106,1.0692753442811168e-14,2.7654357589807047e-18,4.2766152245735603e-17,2.758005797001972e-18,2.7558172837089313e-18,0.45001480001480776,0.4500128641262712,0.45001479296745645,6.41569211220715e-16,1.6539118388690438e-19,0.45001480001030764,0.45001286410930785,0.45001479296290425,6.415692112125827e-16,1.6539118388690474e-19,0.45,0.4500147964907135,0.45004716059587085,7.070270382270135e-15,2.2051362548135452e-18,0.45,0.4500147964861874,0.4500471606130232,7.070270382508844e-15,2.2051362548135556e-18,4.276615224920158e-17,2.7580057970087885e-18,2.7558172837176053e-18,0.4500147996171204,0.4500128639251079,0.4500147925705944,6.415692106808239e-16,1.6539118388743948e-19,0.45001479971000724,0.45001286416975933,0.4500147926639553,6.415692108338415e-16,1.6539118388743348e-19,0.45,0.4500147960934367,0.4500471617956093,7.0702703988328104e-15,2.205136254820873e-18,0.45,0.4500147961865602,0.4500471615491566,7.070270395446513e-15,2.2051362548207147e-18,49.90691057871088,49.81382115742152,49.736663719178715,49.734336483645144,49.73433648364856,49.73200924811154,49.732009248118366,0.45000000001995727,0.4499999998614463
8.0,1.3103741551671279e-33,0.45,0.449999999911146,1.5269638988314212e-14,3.330432617931971e-18,5.0893801028717144e-17,2.7692723553570085e-18,2.7648953096583804e-18,0.4500000002421817,0.45000000034150056,0.4500000002429348,7.634816855795865e-16,1.6593406513000732e-19,0.4499999994426026,0.44999999919660544,0.4499999994408735,7.634816841640098e-16,1.6593406513003354e-19,5.54063120957859e-34,0.4500000002425526,0.45001008381241114,1.069269471359717e-14,2.7654356925693374e-18,5.4432473690573455e-34,0.44999999944172875,0.45001008384954977,1.0692694712603787e-14,2.7654356925702106e-18,4.276589261604074e-17,2.758005754990978e-18,2.7558172321409152e-18,0.45001165579507363,0.45001013136096835,0.4500116502465119,6.415647848616816e-16,1.653911808261659e-19,0.45001165578304875,0.4500101313420433,0.4500116502344585,6.415647848435885e-16,1.6539118082616634e-19,0.45,0.45001165302046575,0.4500418447242089,7.070189976145388e-15,2.205136214460269e-18,0.45,0.4500116530084266,0.45004184473882874,7.070189976337042e-15,2.2051362144602812e-18,4.2765892626334567e-17,2.75800575499693e-18,2.755817232148246e-18,0.4500116557150467,0.4500101313539827,0.45001165016679723,6.415647847576654e-16,1.6539118082661263e-19,0.4500116557867763,0.4500101314246251,0.45001165023854345,6.415647848598189e-16,1.6539118082660822e-19,0.45,0.4500116529405935,0.4500418456591625,7.070189989381532e-15,2.2051362144663155e-18,0.45,0.4500116530123314,0.450041845469295,7.070189986772949e-15,2.2051362144661992e-18,49.90691017217974,49.813820344359264,49.73666256916879,49.73433532347003,49.73433532347772,49.73200807777125,49.73200807778664,0.45000000001967566,0.4499999999018519
9.0,-1.834340567745207e-33,0.45,0.4499999999261463,1.5269638988863098e-14,3.3304325940300104e-18,5.0893801022380897e-17,2.769272315531996e-18,2.7648952533290626e-18,0.45000000052504413,0.4500000006447498,0.45000000052553774,7.634816860604968e-16,1.6593406171938265e-19,0.44999999932339774,0.4499999995249568,0.44999999932482937,7.634816840365398e-16,1.6593406171941378e-19,-7.756494996064889e-34,0.4500000005252974,0.4500079483879397,1.0692648598859673e-14,2.765435635227557e-18,-7.621379790962925e-34,0.449999999324121,0.4500079482079278,1.0692648592301618e-14,2.7654356352285955e-18,4.276568869417526e-17,2.7580057145467595e-18,2.7558171834451274e-18,0.4500091879233577,0.4500079849208435,0.4500091835449289,6.415613104407866e-16,1.6539117792840305e-19,0.4500091878940206,0.4500079848763877,0.45000918351554664,6.415613103969144e-16,1.6539117792840372e-19,0.45,0.45000918573388315,0.4500368745195451,7.0701154736374035e-15,2.205136176154558e-18,0.45,0.4500091857045235,0.45003687453004704,7.070115473744563e-15,2.2051361761545765e-18,4.276568868452548e-17,2.7580057145544482e-18,2.755817183453044e-18,0.4500091878978519,0.45000798488478283,0.450009183519353,6.415613104029214e-16,1.653911779288806e-19,0.45000918782967153,0.45000798462409086,0.4500091834505272,6.415613102795131e-16,1.6539117792887972e-19,0.45,0.4500091857083412,0.45003687529168435,7.070115484625825e-15,2.205136176160959e-18,0.45,0.45000918563983827,0.45003687514788043,7.070115482474784e-15,2.2051361761609348e-18,49.906909821165655,49.81381964233109,49.7366615762057,49.73433432173019,49.73433432173933,49.732007067254685,49.73200706727298,0.4499999999144493,0.4499999998950288
