time,PV1__u_mmHg,PV1__v_mm3_s,PV2__u_mmHg,PV2__v_mm3_s,PV3__u_mmHg,PV3__v_mm3_s,PV4__u_mmHg,PV4__v_mm3_s,PV5__u_mmHg,PV5__v_mm3_s,PV6__u_mmHg,PV6__v_mm3_s,PV7__R_constriction,V10__u_mmHg,V10__v_mm3_s,V11__u_mmHg,V11__v_mm3_s,V12__u_mmHg,V12__v_mm3_s,V13__u_mmHg,V13__v_mm3_s,V14__u_mmHg,V14__v_mm3_s,V1__u_mmHg,V1__v_mm3_s,V2__u_mmHg,V2__v_mm3_s,V3__u_mmHg,V3__v_mm3_s,V4__u_mmHg,V4__v_mm3_s,V5__u_mmHg,V5__v_mm3_s,V6__u_mmHg,V6__v_mm3_s,V7__u_mmHg,V8__u_mmHg,V8__v_mm3_s,V9__u_mmHg,V9__v_mm3_s,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta,VV_junc1__u_d_mmHg,VV_junc1__u_mmHg,VV_junc2__H_VV_out_alpha,VV_junc2__H_VV_out_beta,VV_junc3__H_VV_out_alpha,VV_junc3__H_VV_out_beta,VV_junc4__H_VV_out_alpha,VV_junc4__H_VV_out_beta,VV_junc5__H_VV_out_alpha,VV_junc5__H_VV_out_beta,VV_junc6__H_VV_out_alpha,VV_junc6__H_VV_out_beta,VV_junc7__H_VV_out_alpha,VV_junc7__H_VV_out_beta,inlet__H_down,inlet__H_link_L,inlet__H_link_R,inlet__RBC_volume,inlet__u_mmHg
0.0,49.64858553841155,6.803572152389106e-06,49.64858553839835,6.803572211407299e-06,49.437671902929495,3.4017858864019273e-06,49.437671902916904,3.4017858819389e-06,49.43767190257008,3.4017861382405634e-06,49.4376719029288,3.4017861502939388e-06,0.0,49.309497287951196,1.7008929318620311e-06,49.30949728792975,1.7008929312350196e-06,49.309497287928394,1.7008929311965785e-06,49.30949728815895,1.7008929377902557e-06,49.309497288145195,1.7008929373991715e-06,49.64550682082161,6.803571718614558e-06,49.64550682083032,6.8035717205813165e-06,49.43535461520632,3.4017858631439696e-06,49.43535461517172,3.401785865345874e-06,49.43535461481837,3.4017858563221962e-06,49.43535461553473,3.401785869080038e-06,49.30949728805246,49.30949728804937,1.700892934657155e-06,49.309497288232734,1.7008929398485493e-06,0.46857314491308705,0.46857314327656013,49.65166425639565,49.75372650825619,0.4742551302603139,0.47425512998765923,0.47425796927229624,0.4742579685359324,0.47905351277198144,0.47905351275270974,0.4790531761067168,0.4790531750914989,0.4790539269988357,0.47905392697229304,0.47905391659506047,0.4790539165368536,0.44999999858297884,0.45,0.1655458718842374,1.5269637997063594e-14,49.8768632540635
1.0,49.64861517063258,6.803002047654627e-06,49.64861517067062,6.803001994961785e-06,49.43769712050019,3.4015010167101103e-06,49.43769712048354,3.4015010303839614e-06,49.43769712230747,3.4015009863202474e-06,49.43769712231259,3.4015010080919927e-06,0.0,49.30950853955843,1.7007504958280723e-06,49.30950853974636,1.7007504925750628e-06,49.30950853974676,1.7007504926766782e-06,49.309508540197825,1.7007505045904827e-06,49.30950854019312,1.7007505024431159e-06,49.64553691575038,6.803002047701251e-06,49.64553691582641,6.803001995040245e-06,49.435379237697944,3.401501016448534e-06,49.435379237664606,3.4015010301379305e-06,49.43537923945008,3.4015009860733072e-06,49.43537923946031,3.4015010078504256e-06,49.309508540113555,49.30950854011315,1.7007505077213977e-06,49.30950853964005,1.7007505334893008e-06,0.4499999991830687,0.4499999977393921,49.6516934255148,49.75374713039966,0.45004601892425966,0.45004601810150313,0.45004601888995494,0.4500460175799477,0.450062058788805,0.4500620587630989,0.45006206150950606,0.45006205648623887,0.45006206873251686,0.450062068718062,0.4500620648531371,0.45006206456504544,0.4499999984686498,0.45,3.405374763043963e-15,1.526963802351407e-14,49.87687356519995
2.0,49.648612423315306,6.803057024413439e-06,49.64861242334867,6.803056978917866e-06,49.437698728473165,3.4015285063630267e-06,49.437698728459125,3.40152851827951e-06,49.43769873026278,3.4015284803628705e-06,49.43769873024345,3.401528498783569e-06,0.0,49.309511435415644,1.700764243336359e-06,49.30951143589853,1.7007642401060923e-06,49.3095114358984,1.700764240197761e-06,49.30951143620061,1.7007642502622558e-06,49.30951143620502,1.7007642484628402e-06,49.64553423643716,6.80305702462341e-06,49.6455342365039,6.803056979124707e-06,49.43538128017461,3.401528506383406e-06,49.43538128014651,3.401528518312727e-06,49.43538128198142,3.401528480388223e-06,49.43538128194275,3.401528498809504e-06,49.309511435956416,49.30951143595667,1.7007642530565347e-06,49.30951143533862,1.7007642748919044e-06,0.44999999962560044,0.4499999983791245,49.65169061019345,49.75374513985188,0.4500350799503532,0.4500350792333492,0.4500350795546991,0.4500350784463425,0.45006889182316545,0.4500688918008454,0.45006889429651337,0.4500688900867733,0.4500689014185415,0.45006890140618305,0.4500688979466776,0.45006889770555025,0.44999999901687765,0.45,4.920548645234875e-21,1.5269638040388697e-14,49.87687256992633
3.0,49.64860891998024,6.8031248633089165e-06,49.6486089200078,6.803124825738182e-06,49.437697539974245,3.40156242722261e-06,49.43769753996345,3.401562436423707e-06,49.43769754158801,3.401562405426438e-06,49.43769754157027,3.4015624206825982e-06,0.0,49.30951149892313,1.7007812066261377e-06,49.30951149962642,1.7007812027525493e-06,49.30951149962668,1.7007812028519797e-06,49.30951149977281,1.7007812110756496e-06,49.309511499777564,1.700781209747203e-06,49.645530703501734,6.80312486350054e-06,49.64553070355686,6.8031248259418895e-06,49.43538017308555,3.401562427307832e-06,49.435380173063955,3.4015624365143657e-06,49.435380174720564,3.401562405532355e-06,49.43538017468512,3.401562420747468e-06,49.30951149939237,49.309511499392855,1.7007812136300886e-06,49.30951149883863,1.7007812299650395e-06,0.44999999986946476,0.4499999988401218,49.65168713645874,49.75374268384658,0.45002561748426717,0.4500256169306547,0.45002561689536025,0.45002561597742596,0.4500632019522356,0.45006320193618743,0.450063203970634,0.4500632008570264,0.45006320950829093,0.45006320949612255,0.45006320695129276,0.4500632067742535,0.4499999993671452,0.45,2.278194589015073e-25,1.5269638051150236e-14,49.87687134192365
4.0,49.648605733618034,6.8031865467218e-06,49.64860573364063,6.803186516026665e-06,49.43769565276742,3.401593270139401e-06,49.437695652759295,3.4015932769720477e-06,49.437695654187216,3.4015932519734936e-06,49.43769565417244,3.4015932644236955e-06,0.0,49.30951095536293,1.700796630260416e-06,49.30951095618971,1.7007966260535578e-06,49.30951095618956,1.7007966261433365e-06,49.30951095622351,1.7007966328192024e-06,49.30951095622703,1.7007966318362522e-06,49.645527489242,6.803186546890634e-06,49.6455274892872,6.803186516199515e-06,49.43537832588835,3.401593270223124e-06,49.43537832587211,3.4015932770732474e-06,49.43537832732809,3.4015932520751105e-06,49.43537832729851,3.401593264533999e-06,49.30951095575603,49.30951095575629,1.7007966351223394e-06,49.30951095529663,1.7007966469335288e-06,0.4500000000001599,0.4499999991591986,49.65168397799407,49.75374045076345,0.4500186945439179,0.4500186941328163,0.4500186938664749,0.4500186931173806,0.4500559244368467,0.4500559244236436,0.45005592603246247,0.4500559238077819,0.45005593022169776,0.4500559302105759,0.4500559284291166,0.4500559282978522,0.44999999959248804,0.45,8.10587214123803e-28,1.5269638058069534e-14,49.87687022538205
5.0,49.64860294186099,6.803240591693468e-06,49.64860294187934,6.803240566851103e-06,49.43769352785509,3.401620293467166e-06,49.437693527849575,3.401620298636218e-06,49.43769352908379,3.4016202785722028e-06,49.437693529071524,3.4016202886912688e-06,0.0,49.30951022349864,1.7008101435480955e-06,49.309510224369006,1.7008101393790296e-06,49.3095102243688,1.700810139449364e-06,49.30951022433108,1.7008101448195857e-06,49.30951022433388,1.7008101441177836e-06,49.64552467303047,6.803240591867533e-06,49.64552467306716,6.803240567036049e-06,49.43537622599158,3.4016202935842956e-06,49.43537622598055,3.4016202987330353e-06,49.435376227238514,3.401620278683043e-06,49.435376227214014,3.401620288792035e-06,49.30951022381872,49.309510223819345,1.7008101468358363e-06,49.30951022345046,1.700810155330833e-06,0.45000000006922425,0.4499999993886181,49.6516812106915,49.75373849424893,0.45001364262923554,0.4500136423182312,0.4500136419219699,0.4500136413131405,0.450048507286093,0.450048507282118,0.4500485085144909,0.4500485069409363,0.45004851159580705,0.4500485115855756,0.45004851034068655,0.450048510247893,0.449999999737977,0.45,3.0965639551946377e-30,1.5269638062521392e-14,49.876869247124745
6.0,49.64860051262427,6.8032876193379355e-06,49.648600512639085,6.803287599370076e-06,49.43769135002883,3.4016438079683695e-06,49.43769135002471,3.40164381172636e-06,49.437691351074626,3.4016437957981993e-06,49.43769135106534,3.401643803927924e-06,0.0,49.309509395488085,1.700821901849262e-06,49.309509396347536,1.7008218980082068e-06,49.30950939634737,1.7008218980611707e-06,49.309509396268496,1.7008219023416837e-06,49.30950939627069,1.7008219018554137e-06,49.64552222251474,6.803287619478228e-06,49.645522222544386,6.803287599507309e-06,49.43537406376223,3.4016438080798954e-06,49.43537406375399,3.4016438118377113e-06,49.43537406482366,3.4016437959093376e-06,49.435374064805096,3.4016438040365286e-06,49.309509395748364,49.309509395748584,1.7008219041206308e-06,49.309509395453865,1.700821910149038e-06,0.4500000000971109,0.44999999955005515,49.65167880273379,49.75373679180224,0.45000995576097863,0.4500099555348755,0.4500099550823464,0.45000995459321347,0.45004146138285417,0.4500414613809126,0.45004146236151543,0.4500414612550513,0.4500414645606377,0.45004146455303257,0.4500414637356909,0.45004146367090353,0.44999999983148614,0.45,-1.0886566445306997e-32,1.526963806537924e-14,49.87686839590137
7.0,49.64859840254463,6.80332846878352e-06,49.64859840255638,6.803328452850588e-06,49.437689221025295,3.4016642332268415e-06,49.43768922102232,3.4016642359205494e-06,49.437689221903895,3.4016642233347795e-06,49.43768922189663,3.401664229860463e-06,0.0,49.309508507508944,1.7008321151733525e-06,49.309508508321166,1.7008321117823262e-06,49.309508508321045,1.700832111822315e-06,49.309508508223274,1.7008321152338853e-06,49.30950850822474,1.7008321148968977e-06,49.64552009395191,6.80332846891941e-06,49.64552009397542,6.803328452985631e-06,49.43537194391199,3.4016642333214902e-06,49.435371943906,3.4016642360102566e-06,49.435371944803954,3.401664223436658e-06,49.43537194478943,3.4016642299607714e-06,49.30950850771838,49.30950850771842,1.7008321167482872e-06,49.3095085074848,1.7008321210131265e-06,0.4500000001053505,0.4499999996688416,49.65167671113734,49.75373531303017,0.45000726511398254,0.4500072649519144,0.4500072644862914,0.4500072640936705,0.4500350344070284,0.4500350344056968,0.45003503517878346,0.45003503439905207,0.45003503669264394,0.45003503668741046,0.45003503615122525,0.4500350361062085,0.4499999998914343,0.45,-3.735936066050014e-33,1.526963806720047e-14,49.876867656515294
8.0,49.64859657188958,6.803363909103001e-06,49.648596571898906,6.803363896469868e-06,49.43768720193398,3.401681953753119e-06,49.43768720193181,3.4016819556443776e-06,49.43768720266397,3.401681945804054e-06,49.43768720265789,3.401681950990481e-06,0.0,49.309507587542086,1.7008409759063305e-06,49.30950758828622,1.700840973019556e-06,49.30950758828614,1.7008409730500757e-06,49.309507588182655,1.7008409757500457e-06,49.309507588183585,1.700840975513053e-06,49.64551824726114,6.803363909197547e-06,49.64551824727979,6.803363896583465e-06,49.43536992958048,3.401681953845286e-06,49.43536992957611,3.4016819557475983e-06,49.43536993032195,3.4016819458956645e-06,49.43536993030977,3.4016819510895164e-06,49.309507587709035,49.309507587709,1.7008409770124268e-06,49.309507587525104,1.700840980013781e-06,0.4500000000949981,0.4499999997488946,49.65167489651802,49.753734030085454,0.4500053017529513,0.45000530163916364,0.45000530119057697,0.4500053008785348,0.4500293311991904,0.4500293311979723,0.4500293318038229,0.45002933125574496,0.45002933283079605,0.450029332825687,0.4500293324689184,0.45002933243735943,0.4499999999298772,0.45,-7.748625785179403e-38,1.526963806837522e-14,49.87686701504291
9.0,49.64859498591222,6.80339461275937e-06,49.64859498591953,6.803394602874388e-06,49.43768532839217,3.401697305898333e-06,49.43768532839061,3.4016973071951315e-06,49.4376853289918,3.4016972995551196e-06,49.43768532898699,3.4016973036203293e-06,0.0,49.30950666104516,1.7008486522771735e-06,49.309506661711374,1.700848649894991e-06,49.309506661711296,1.7008486499181738e-06,49.30950666160946,1.7008486520247136e-06,49.309506661610136,1.7008486518550775e-06,49.64551664739136,6.803394612869778e-06,49.64551664740598,6.803394602986107e-06,49.4353680578636,3.401697305965418e-06,49.43536805786045,3.401697307270684e-06,49.43536805847282,3.4016972996397958e-06,49.4353680584632,3.401697303707371e-06,49.309506661177195,49.30950666117718,1.7008486530709725e-06,49.309506661033204,1.7008486551666597e-06,0.45000000008599433,0.44999999981518174,49.65167332443306,49.75373291861554,0.4500038689641908,0.45000386888616933,0.4500038684696317,0.45000386822504934,0.4500243712572389,0.450024371256499,0.45002437173348325,0.45002437134810086,0.4500243723731448,0.45002437237022347,0.4500243721602458,0.45002437213644075,0.4499999999550515,0.45,1.1136259317522382e-42,1.526963806912903e-14,49.876866459307934
