environment | time (second),inlet | u_mmHg (dimensionless),inlet | v_mm3_s (mm3_per_s),PV1 | u_mmHg (dimensionless),PV1 | v_mm3_s (mm3_per_s),PV10 | u_mmHg (dimensionless),PV10 | v_mm3_s (mm3_per_s),PV11 | u_mmHg (dimensionless),PV11 | v_mm3_s (mm3_per_s),PV12 | u_mmHg (dimensionless),PV12 | v_mm3_s (mm3_per_s),PV13 | u_mmHg (dimensionless),PV13 | v_mm3_s (mm3_per_s),PV14 | u_mmHg (dimensionless),PV14 | v_mm3_s (mm3_per_s),PV2 | u_mmHg (dimensionless),PV2 | v_mm3_s (mm3_per_s),PV3 | u_mmHg (dimensionless),PV3 | v_mm3_s (mm3_per_s),PV4 | u_mmHg (dimensionless),PV4 | v_mm3_s (mm3_per_s),PV5 | u_mmHg (dimensionless),PV5 | v_mm3_s (mm3_per_s),PV6 | u_mmHg (dimensionless),PV6 | v_mm3_s (mm3_per_s),PV7 | u_mmHg (dimensionless),PV7 | v_mm3_s (mm3_per_s),PV8 | u_mmHg (dimensionless),PV8 | v_mm3_s (mm3_per_s),PV9 | u_mmHg (dimensionless),PV9 | v_mm3_s (mm3_per_s),V1 | u_mmHg (dimensionless),V1 | v_mm3_s (mm3_per_s),V10 | u_mmHg (dimensionless),V10 | v_mm3_s (mm3_per_s),V11 | u_mmHg (dimensionless),V11 | v_mm3_s (mm3_per_s),V12 | u_mmHg (dimensionless),V12 | v_mm3_s (mm3_per_s),V13 | u_mmHg (dimensionless),V13 | v_mm3_s (mm3_per_s),V14 | u_mmHg (dimensionless),V14 | v_mm3_s (mm3_per_s),V2 | u_mmHg (dimensionless),V2 | v_mm3_s (mm3_per_s),V3 | u_mmHg (dimensionless),V3 | v_mm3_s (mm3_per_s),V4 | u_mmHg (dimensionless),V4 | v_mm3_s (mm3_per_s),V5 | u_mmHg (dimensionless),V5 | v_mm3_s (mm3_per_s),V6 | u_mmHg (dimensionless),V6 | v_mm3_s (mm3_per_s),V7 | u_mmHg (dimensionless),V7 | v_mm3_s (mm3_per_s),V8 | u_mmHg (dimensionless),V8 | v_mm3_s (mm3_per_s),V9 | u_mmHg (dimensionless),V9 | v_mm3_s (mm3_per_s),VV_junc1 | H_VV_out_alpha (dimensionless),VV_junc1 | H_VV_out_beta (dimensionless),VV_junc1 | u_mmHg (dimensionless),VV_junc1 | v_mm3_s (mm3_per_s),VV_junc2 | H_VV_out_alpha (dimensionless),VV_junc2 | H_VV_out_beta (dimensionless),VV_junc2 | u_mmHg (dimensionless),VV_junc2 | v_mm3_s (mm3_per_s),VV_junc3 | H_VV_out_alpha (dimensionless),VV_junc3 | H_VV_out_beta (dimensionless),VV_junc3 | u_mmHg (dimensionless),VV_junc3 | v_mm3_s (mm3_per_s),VV_junc4 | H_VV_out_alpha (dimensionless),VV_junc4 | H_VV_out_beta (dimensionless),VV_junc4 | u_mmHg (dimensionless),VV_junc4 | v_mm3_s (mm3_per_s),VV_junc5 | H_VV_out_alpha (dimensionless),VV_junc5 | H_VV_out_beta (dimensionless),VV_junc5 | u_mmHg (dimensionless),VV_junc5 | v_mm3_s (mm3_per_s),VV_junc6 | H_VV_out_alpha (dimensionless),VV_junc6 | H_VV_out_beta (dimensionless),VV_junc6 | u_mmHg (dimensionless),VV_junc6 | v_mm3_s (mm3_per_s),VV_junc7 | H_VV_out_alpha (dimensionless),VV_junc7 | H_VV_out_beta (dimensionless),VV_junc7 | u_mmHg (dimensionless),VV_junc7 | v_mm3_s (mm3_per_s)
0,0.99758479470755,0.00541497898065747,0.99758479470755,0,0.99758479470755,0,0.99758479470755,0,0.99758479470755,0,0.99758479470755,0,0.99758479470755,0,0.99758479470755,0,0.99758479470755,0,0.99758479470755,0,0.99758479470755,0,0.99758479470755,0,0.99758479470755,0,0.99758479470755,0,0.99758479470755,0,0.99758479470755,0,0.99758479470755,-0.00137942750370784,0.99758479470755,-0.00137942750370784,0.99758479470755,-0.00137942750370784,0.99758479470755,-0.00137942750370784,0.99758479470755,-0.00137942750370784,0.99758479470755,0,0.99758479470755,0,0.99758479470755,0,0.99758479470755,0,0.99758479470755,0,0.99758479470755,-0.00137942750370784,0.99758479470755,-0.00137942750370784,0.99758479470755,-0.00137942750370784,0.449999999602113,0.449999999602113,0.99758479470755,0,0.449999999526481,0.449999999526481,0.99758479470755,0,0.449999999526481,0.449999999526481,0.99758479470755,0,0.449999999427042,0.449999999427042,0.99758479470755,0,0.449999999427042,0.449999999427042,0.99758479470755,0,0.449999999427042,0.449999999427042,0.99758479470755,0,0.449999999427042,0.449999999427042,0.99758479470755,0
1,49.8768735735017,1.36060023394365e-05,49.6486152008367,6.80299741869685e-06,49.3113232792824,1.70074892206937e-06,49.3113232853328,1.70074334732207e-06,49.3113232854782,1.70074332429578e-06,49.3113232817468,1.70074391299184e-06,49.3113232816644,1.70074384251131e-06,49.6486152007307,6.8029971587049e-06,49.4376971209803,3.4014976163603e-06,49.4376971209254,3.4014975638277e-06,49.4376971235478,3.40149346566003e-06,49.4376971240467,3.4014924872984e-06,49.3113232792281,1.70074930950679e-06,49.3113232793515,1.70074942580351e-06,49.311323279257,1.70074890238471e-06,49.6455369424587,6.80300120607049e-06,49.3095085335377,1.70075028434143e-06,49.30950853311,1.70075025643422e-06,49.3095085333362,1.70075027589959e-06,49.3095085308179,1.70075023944744e-06,49.3095085306288,1.70075017820309e-06,49.645536942063,6.80300114687176e-06,49.4353792333966,3.40150061581232e-06,49.4353792332519,3.40150058757345e-06,49.435379232931,3.40150032803833e-06,49.4353792324344,3.40150048411343e-06,49.3095085338929,1.70075024088191e-06,49.3095085341501,1.70075035258295e-06,49.3095085334895,1.70075026300464e-06,0.450000032110552,0.450000024987297,49.7537471468722,1.36060022253923e-05,0.450046134236527,0.450046131075634,49.4910418503084,6.80300115148566e-06,0.450046210369807,0.450046151501582,49.4910418465884,6.80300059559249e-06,0.45006209586754,0.450062080350976,49.3386514455791,3.40150058415293e-06,0.450062094730652,0.45006209210428,49.3386514447236,3.40150053036086e-06,0.450062349367414,0.450062346295184,49.3386514418055,3.40150012423328e-06,0.450062171325972,0.450062161922274,49.3386514387099,3.40150012521917e-06
2,49.8768725691003,1.36061115473947e-05,49.6486124966171,6.80294206876479e-06,49.3113253457573,1.70074780940051e-06,49.311325300006,1.70078567495518e-06,49.3113252998542,1.70078572842306e-06,49.3113253415566,1.70074769891809e-06,49.3113253415698,1.70074767712922e-06,49.648612500571,6.80293783302169e-06,49.4376987823257,3.40145664920121e-06,49.4376987825101,3.40145643304201e-06,49.4376988844571,3.40130226058584e-06,49.4376988811694,3.40130526730877e-06,49.3113253424443,1.70075106017735e-06,49.3113253423784,1.70075112565402e-06,49.3113253457922,1.70074778344865e-06,49.6455342594968,6.80305590307806e-06,49.3095114366917,1.70076399257754e-06,49.3095114322434,1.70076384215344e-06,49.309511431996,1.70076386391059e-06,49.3095114325663,1.70076389523203e-06,49.3095114326566,1.70076384022539e-06,49.645534264805,6.80305531042735e-06,49.4353812854776,3.4015280204275e-06,49.4353812856806,3.40152794335086e-06,49.4353812868391,3.40152785723355e-06,49.4353812836612,3.40152790941384e-06,49.3095114368333,1.70076394809166e-06,49.3095114366415,1.70076404410144e-06,49.3095114367441,1.7007639751117e-06,0.449999919512041,0.449999803460264,49.753745139273,1.36061112369634e-05,0.45003505364036,0.45003504063398,49.4910434393624,6.80305602255066e-06,0.450034782566558,0.450034601642836,49.491043426729,6.80305523844709e-06,0.45006891382028,0.450068905084205,49.3386528492677,3.40152800759552e-06,0.450068872327636,0.450068868865062,49.3386528488159,3.40152798381223e-06,0.450068694984402,0.450068687850718,49.3386528385036,3.40152742407918e-06,0.450068818393185,0.45006881548605,49.3386528426225,3.40152773918635e-06
3,49.8768713461365,1.36062476976515e-05,49.6486089412461,6.80312817885265e-06,49.3113252447915,1.7007610909639e-06,49.3113249644822,1.70102032697121e-06,49.3113249646238,1.70102069538177e-06,49.3113251651505,1.70083307772983e-06,49.311325165218,1.70083297101907e-06,49.6486089416327,6.80312800873199e-06,49.4376975012154,3.40163932646336e-06,49.4376975012692,3.40163931495034e-06,49.4376974269951,3.40172938558329e-06,49.4376974269396,3.40172922438557e-06,49.3113252426064,1.70076365001383e-06,49.311325242482,1.70076369219789e-06,49.3113252448154,1.70076106723067e-06,49.6455307263851,6.80312407234965e-06,49.3095115041504,1.70078101643167e-06,49.309511499592,1.70078085898113e-06,49.3095115004736,1.70078095106776e-06,49.309511501236,1.70078093267821e-06,49.3095115012443,1.7007808836928e-06,49.6455307274187,6.80312362605441e-06,49.435380186628,3.40156205376929e-06,49.4353801867695,3.40156201896136e-06,49.4353801739354,3.4015618101583e-06,49.4353801735778,3.40156181622272e-06,49.3095115047829,1.70078099228641e-06,49.3095115044744,1.70078106155184e-06,49.3095115041766,1.70078100260986e-06,0.450000039749464,0.450000035088591,49.7537426922726,1.36062476978504e-05,0.450025682728527,0.450025682035826,49.4910426889921,6.80312407248039e-06,0.450025750119673,0.450025740421188,49.4910426729469,6.80312362610221e-06,0.450063271402481,0.450063265774234,49.3386528275272,3.4015620538521e-06,0.450063277497812,0.450063274331291,49.3386528267586,3.40156201903483e-06,0.450063291993261,0.450063242846908,49.3386528223603,3.40156180977465e-06,0.450063267789759,0.450063253552862,49.3386528225844,3.40156181630664e-06
4,49.8768702333921,1.36063712685646e-05,49.6486057630418,6.80318588236553e-06,49.3113246256079,1.70079737595533e-06,49.3113246302494,1.70079170008579e-06,49.3113246302064,1.70079179212232e-06,49.3113246254823,1.70079572994376e-06,49.31132462554,1.7007956910764e-06,49.6486057633143,6.80318551528421e-06,49.4376956700717,3.40159303124931e-06,49.4376956701049,3.40159300496145e-06,49.4376956643145,3.40159188423824e-06,49.4376956642858,3.4015919010557e-06,49.3113246260085,1.7007972954417e-06,49.311324625906,1.70079734358643e-06,49.311324625627,1.70079736511418e-06,49.6455275186709,6.80318581528777e-06,49.3095109617392,1.70079644914999e-06,49.3095109604757,1.70079631034009e-06,49.3095109603849,1.70079640358825e-06,49.3095109599794,1.70079638388253e-06,49.3095109600952,1.70079634511736e-06,49.6455275192124,6.80318545367393e-06,49.4353783429486,3.40159291830377e-06,49.4353783430147,3.40159289226291e-06,49.4353783363601,3.40159271677045e-06,49.4353783363043,3.40159273215705e-06,49.3095109621425,1.70079643360987e-06,49.3095109619376,1.70079648186832e-06,49.3095109617769,1.70079643884933e-06,0.450000030563391,0.450000020506382,49.7537404667878,1.36063712685245e-05,0.450018774516613,0.450018772934945,49.4910412283389,6.80318581547272e-06,0.450018814298175,0.450018813286315,49.4910412194146,6.80318545378941e-06,0.45005600669831,0.450056000274943,49.3386524071633,3.401592921462e-06,0.450056009115851,0.450056007669448,49.3386524067049,3.40159289498206e-06,0.450056012583088,0.450056000303733,49.3386524041246,3.40159271945049e-06,0.450056008774235,0.450056003588631,49.3386524036405,3.4015927349119e-06
5,49.8768692549025,1.36064796906681e-05,49.6486029687263,6.80323952502361e-06,49.3113238618583,1.70081064482998e-06,49.3113238597106,1.70081195396244e-06,49.311323859608,1.7008120225172e-06,49.3113238600592,1.70081099290201e-06,49.3113238601105,1.70081096520403e-06,49.6486029689447,6.80323923343105e-06,49.4376935502141,3.40162246378166e-06,49.4376935502421,3.40162244002863e-06,49.4376935477226,3.40162244460828e-06,49.4376935476992,3.40162246082261e-06,49.3113238619302,1.70081065218217e-06,49.3113238618591,1.70081068608382e-06,49.3113238618743,1.70081063724831e-06,49.645524699785,6.80323999743025e-06,49.3095102319686,1.7008099899071e-06,49.3095102314196,1.70080987790284e-06,49.3095102312094,1.70080995194015e-06,49.3095102306218,1.7008099360935e-06,49.3095102307252,1.70080990756701e-06,49.6455247002222,6.80323970632569e-06,49.4353762495738,3.40161999836352e-06,49.4353762496297,3.4016199750754e-06,49.4353762470734,3.40161983427962e-06,49.4353762470279,3.40161984810592e-06,49.3095102321161,1.70080997976111e-06,49.3095102319741,1.70081001347091e-06,49.3095102320003,1.70080998271944e-06,0.450000013638022,0.450000005649259,49.7537385097959,1.3606479691306e-05,0.450013724217105,0.450013722787968,49.491039491493,6.8032399913609e-06,0.450013750332307,0.450013749356748,49.4910394870291,6.80323970043264e-06,0.450048610884792,0.450048606361766,49.338651811628,3.40162000643068e-06,0.45004861199484,0.450048610983324,49.3386518114682,3.40161998989424e-06,0.450048624624133,0.450048615477832,49.3386518096414,3.40161984301812e-06,0.450048622093949,0.450048618398592,49.3386518090783,3.40161985735813e-06
6,49.8768684031166,1.36065739695998e-05,49.648600536688,6.8032867644134e-06,49.3113230046905,1.70082131709267e-06,49.3113230047155,1.70082104226726e-06,49.3113230046128,1.70082109997141e-06,49.3113230039301,1.70082121268135e-06,49.311323003971,1.70082119169757e-06,49.6486005368576,6.80328652895308e-06,49.4376913752205,3.40164239118217e-06,49.4376913752401,3.40164237486898e-06,49.4376913752208,3.40164231130989e-06,49.4376913752113,3.40164231959442e-06,49.3113230046875,1.70082129435204e-06,49.3113230046383,1.70082131788053e-06,49.3113230047004,1.70082131245292e-06,49.645522246541,6.80328710452572e-06,49.3095094049889,1.70082177660735e-06,49.3095094048672,1.70082168966401e-06,49.3095094046673,1.70082174392276e-06,49.3095094041439,1.70082173237004e-06,49.3095094042248,1.70082171197732e-06,49.6455222468808,6.80328686839048e-06,49.4353740880326,3.40164356272547e-06,49.435374088073,3.40164354578562e-06,49.4353740880096,3.40164343089721e-06,49.4353740879884,3.40164344149835e-06,49.3095094050052,1.70082177109893e-06,49.3095094049067,1.7008217947504e-06,49.3095094050093,1.70082177159987e-06,0.450000008287522,0.45000000183666,49.7537368062232,1.36065739705027e-05,0.450009980930022,0.450009979948523,49.4910376516063,6.80328710366302e-06,0.45000999718622,0.450009996687773,49.4910376499272,6.80328686748726e-06,0.450041539258756,0.450041536119713,49.3386510989701,3.40164356105015e-06,0.450041541872764,0.450041541253754,49.3386510989051,3.40164354447825e-06,0.45004155657109,0.450041548872514,49.3386510978107,3.4016434285968e-06,0.450041554863889,0.450041552064346,49.3386510973141,3.40164343942524e-06
7,49.876867658501,1.36066559676374e-05,49.648598415346,6.80332484095566e-06,49.3113220903585,1.70083255127736e-06,49.3113220883409,1.70083462556623e-06,49.3113220882484,1.70083466847928e-06,49.3113220894342,1.70083312411164e-06,49.3113220894661,1.70083310898469e-06,49.6485984155,6.80332464243015e-06,49.4376892470524,3.4016661239524e-06,49.4376892470653,3.40166611108074e-06,49.4376892484627,3.40166622904034e-06,49.4376892484564,3.4016662365302e-06,49.3113220901926,1.70083258105259e-06,49.3113220901585,1.7008325975265e-06,49.3113220903638,1.70083254834771e-06,49.6455201055591,6.80332809651922e-06,49.309508520798,1.70083201548387e-06,49.309508521087,1.70083194839061e-06,49.3095085209085,1.70083198560501e-06,49.309508520477,1.70083197813233e-06,49.3095085205399,1.70083196400894e-06,49.6455201058622,6.80332790734419e-06,49.4353719713736,3.40166404456047e-06,49.4353719714007,3.40166403029991e-06,49.4353719729032,3.40166393857694e-06,49.4353719728903,3.40166394680665e-06,49.309508520692,1.70083201181204e-06,49.3095085206237,1.70083202835126e-06,49.3095085208093,1.70083201181737e-06,0.449999970410331,0.449999964971394,49.7537353169246,1.36066559743149e-05,0.450007283752764,0.450007282978334,49.4910358236241,6.80332808207549e-06,0.450007294366446,0.450007293915814,49.4910358237809,6.80332789282238e-06,0.450035135678465,0.45003513348063,49.3386503102025,3.40166404944011e-06,0.450035136782646,0.450035136391792,49.3386503102589,3.40166403608964e-06,0.450035153609982,0.450035147884826,49.3386503098038,3.40166394234529e-06,0.450035152283934,0.450035150265802,49.3386503093907,3.40166395051074e-06
8,49.8768670136763,1.36067272564339e-05,49.6485965732293,6.80336385276336e-06,49.3113211495603,1.70084140669769e-06,49.3113211502006,1.70084143236637e-06,49.311321150139,1.7008414578708e-06,49.3113211498197,1.70084140105672e-06,49.3113211498415,1.70084139128325e-06,49.648596573355,6.80336369587969e-06,49.4376872320785,3.40168303417556e-06,49.4376872320901,3.40168302340251e-06,49.4376872345496,3.40168293457283e-06,49.4376872345402,3.40168294166998e-06,49.311321149391,1.70084141341182e-06,49.3113211493669,1.70084142499674e-06,49.3113211495645,1.70084140407157e-06,49.6455182486861,6.80336370261968e-06,49.309507606329,1.70084092426833e-06,49.3095076070393,1.70084087380953e-06,49.3095076069164,1.70084089882957e-06,49.3095076065545,1.70084089407556e-06,49.3095076065979,1.7008408844054e-06,49.6455182489346,6.80336355083706e-06,49.4353699607857,3.40168185613348e-06,49.4353699608089,3.40168184547788e-06,49.4353699632521,3.40168177197816e-06,49.4353699632344,3.40168177777154e-06,49.3095076061845,1.70084092264989e-06,49.3095076061365,1.70084093412668e-06,49.3095076063377,1.70084092157608e-06,0.450000025065544,0.45000002076748,49.7537340273621,1.36067272557848e-05,0.450005254124379,0.450005253476218,49.4910340701712,6.80336370400619e-06,0.450005259909283,0.450005259482282,49.4910340714879,6.80336355227155e-06,0.450029393550129,0.450029392004564,49.338649476306,3.40168185773746e-06,0.45002939397806,0.450029393627705,49.3386494764006,3.40168184672439e-06,0.450029409926583,0.450029406523989,49.3386494765832,3.40168177337546e-06,0.450029409383748,0.450029408079852,49.33864947624,3.40168177928899e-06
9,49.876866446573,1.36067887725873e-05,49.6485949678555,6.80338606085988e-06,49.3113202016187,1.70084991939592e-06,49.3113202030907,1.70084945719024e-06,49.3113202030612,1.70084947163833e-06,49.3113202024402,1.70084975489898e-06,49.3113202024532,1.70084974861422e-06,49.64859496794,6.80338594213437e-06,49.4376853517295,3.40169837898665e-06,49.4376853517411,3.40169836975009e-06,49.4376853545347,3.40169830787034e-06,49.4376853545264,3.40169831289205e-06,49.3113202014438,1.70084989253057e-06,49.3113202014267,1.70084990062066e-06,49.311320201623,1.70084991737768e-06,49.6455166259213,6.80339449691466e-06,49.3095066829771,1.70084860020646e-06,49.3095066839684,1.70084856020315e-06,49.3095066839045,1.70084857796196e-06,49.3095066835935,1.70084857429817e-06,49.3095066836202,1.70084856754895e-06,49.645516626093,6.80339437378438e-06,49.4353680823224,3.40169723087743e-06,49.4353680823451,3.40169722253323e-06,49.4353680851494,3.40169716304274e-06,49.4353680851336,3.40169716687199e-06,49.3095066827865,1.70084859901709e-06,49.3095066827525,1.7008486069015e-06,49.3095066829851,1.70084859833068e-06,0.449999886981009,0.449999883728355,49.7537328929009,1.36067887953432e-05,0.450003824435116,0.450003823879401,49.4910324185464,6.80339445962545e-06,0.450003827177737,0.450003826875607,49.4910324204013,6.80339433627614e-06,0.450024462958359,0.450024461879054,49.33864862095,3.40169723453255e-06,0.450024463588444,0.450024463319189,49.3386486211034,3.40169722633254e-06,0.450024476560496,0.450024474632966,49.3386486217045,3.40169716644141e-06,0.450024476756426,0.450024475917973,49.3386486214125,3.40169717012941e-06
