variable_name,units,value,data_reference
l_inlet,metre,0.0003,EMPTY_MUST_BE_FILLED
r_inlet,metre,0.000006,EMPTY_MUST_BE_FILLED
H_R_out_LHS_inlet,dimensionless,0.45,EMPTY_MUST_BE_FILLED
u_in_inlet,J_per_m3,6666.1,EMPTY_MUST_BE_FILLED
H_global_L,dimensionless,0.45,EMPTY_MUST_BE_FILLED
H_global_R,dimensionless,0.45,EMPTY_MUST_BE_FILLED
gamma_mirror,dimensionless,0.1,EMPTY_MUST_BE_FILLED
tau_H_down,second,0.001,EMPTY_MUST_BE_FILLED
tau_H_mean,second,0.001,EMPTY_MUST_BE_FILLED
v_eps,m3_per_s,1E-30,EMPTY_MUST_BE_FILLED
q_C_init,m3,0,EMPTY_MUST_BE_FILLED
mu_plasma,Js_per_m3,0.001,EMPTY_MUST_BE_FILLED
u_ext,J_per_m3,133,EMPTY_MUST_BE_FILLED
tau_link,second,0.001,EMPTY_MUST_BE_FILLED
v_scale,m3_per_s,1E-50,EMPTY_MUST_BE_FILLED
one_mm3,m3,0.000000001,EMPTY_MUST_BE_FILLED
l_VV_junc1,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc1,metre,0.000006,EMPTY_MUST_BE_FILLED
vbc2_VV_junc1,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to2_VV_junc1,dimensionless,0,EMPTY_MUST_BE_FILLED
r_bc2_VV_junc1,metre,0,EMPTY_MUST_BE_FILLED
C_conn2_VV_junc1,m6_per_J,8.51E-22,EMPTY_MUST_BE_FILLED
div_0,dimensionless,1E-25,EMPTY_MUST_BE_FILLED
div_0y,dimensionless,0.00000001,EMPTY_MUST_BE_FILLED
v_threshold,m3_per_s,1E-18,EMPTY_MUST_BE_FILLED
k,dimensionless,1000,EMPTY_MUST_BE_FILLED
R_VV_junc,Js_per_m6,1000000000000000,EMPTY_MUST_BE_FILLED
R_constriction_final_PV1,Js_per_m6,0,EMPTY_MUST_BE_FILLED
l_PV1,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV1,metre,0.000006,EMPTY_MUST_BE_FILLED
R_constriction_base,Js_per_m6,0,EMPTY_MUST_BE_FILLED
tau_sig,second,1,EMPTY_MUST_BE_FILLED
t0,second,500,EMPTY_MUST_BE_FILLED
R_constriction_final_PV2,Js_per_m6,0,EMPTY_MUST_BE_FILLED
l_PV2,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV2,metre,0.000006,EMPTY_MUST_BE_FILLED
l_V1,metre,0.00025,EMPTY_MUST_BE_FILLED
r_V1,metre,0.0000055,EMPTY_MUST_BE_FILLED
l_V2,metre,0.00025,EMPTY_MUST_BE_FILLED
r_V2,metre,0.0000055,EMPTY_MUST_BE_FILLED
l_VV_junc2,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc2,metre,0.0000055,EMPTY_MUST_BE_FILLED
vbc2_VV_junc2,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to2_VV_junc2,dimensionless,0,EMPTY_MUST_BE_FILLED
r_bc2_VV_junc2,metre,0,EMPTY_MUST_BE_FILLED
C_conn2_VV_junc2,m6_per_J,8.51E-22,EMPTY_MUST_BE_FILLED
R_constriction_final_PV3,Js_per_m6,0,EMPTY_MUST_BE_FILLED
l_PV3,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV3,metre,0.0000055,EMPTY_MUST_BE_FILLED
R_constriction_final_PV4,Js_per_m6,0,EMPTY_MUST_BE_FILLED
l_PV4,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV4,metre,0.0000055,EMPTY_MUST_BE_FILLED
l_V3,metre,0.0002,EMPTY_MUST_BE_FILLED
r_V3,metre,0.000005,EMPTY_MUST_BE_FILLED
l_V4,metre,0.0002,EMPTY_MUST_BE_FILLED
r_V4,metre,0.000005,EMPTY_MUST_BE_FILLED
l_VV_junc3,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc3,metre,0.0000055,EMPTY_MUST_BE_FILLED
vbc2_VV_junc3,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to2_VV_junc3,dimensionless,0,EMPTY_MUST_BE_FILLED
r_bc2_VV_junc3,metre,0,EMPTY_MUST_BE_FILLED
C_conn2_VV_junc3,m6_per_J,8.51E-22,EMPTY_MUST_BE_FILLED
R_constriction_final_PV5,Js_per_m6,0,EMPTY_MUST_BE_FILLED
l_PV5,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV5,metre,0.0000055,EMPTY_MUST_BE_FILLED
R_constriction_final_PV6,Js_per_m6,0,EMPTY_MUST_BE_FILLED
l_PV6,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV6,metre,0.0000055,EMPTY_MUST_BE_FILLED
l_V5,metre,0.0002,EMPTY_MUST_BE_FILLED
r_V5,metre,0.000005,EMPTY_MUST_BE_FILLED
l_V6,metre,0.0002,EMPTY_MUST_BE_FILLED
r_V6,metre,0.000005,EMPTY_MUST_BE_FILLED
l_VV_junc4,metre,0.000001,EMPTY_MUST_BE_FILLED
r_VV_junc4,metre,0.000005,EMPTY_MUST_BE_FILLED
vbc2_VV_junc4,m3_per_s,0,EMPTY_MUST_BE_FILLED
H_to2_VV_junc4,dimensionless,0,EMPTY_MUST_BE_FILLED
r_bc2_VV_junc4,metre,0,EMPTY_MUST_BE_FILLED
C_conn2_VV_junc4,m6_per_J,8.51E-22,EMPTY_MUST_BE_FILLED
R_constriction_final_PV7,Js_per_m6,0,EMPTY_MUST_BE_FILLED
l_PV7,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV7,metre,0.000005,EMPTY_MUST_BE_FILLED
R_constriction_final_PV8,Js_per_m6,0,EMPTY_MUST_BE_FILLED
l_PV8,metre,0.000015,EMPTY_MUST_BE_FILLED
r_PV8,metre,0.000005,EMPTY_MUST_BE_FILLED
l_V7,metre,0.00015,EMPTY_MUST_BE_FILLED
r_V7,metre,0.0000045,EMPTY_MUST_BE_FILLED
H_L_out_RHS_V7,dimensionless,0.45,EMPTY_MUST_BE_FILLED
