Per-variable RMSE vs OpenCor (ground truth)
================================================================================
variable                  |      generated RMSE  generated NRMSE%  |      iterative RMSE  iterative NRMSE%
----------------------------------------------------------------------------------------------------------
VV_junc4__H_VV_out_beta   |         2.93707e-07         0.0001%  |           0.0194248         4.3160%
VV_junc4__H_VV_out_alpha  |         2.49115e-07         0.0003%  |           0.0173165        22.6761%
VV_junc5__H_VV_out_beta   |         7.70436e-08         0.0005%  |          0.00896021        59.2774%
VV_junc5__H_VV_out_alpha  |         7.03338e-08         0.0005%  |           0.0089602        59.2773%
VV_junc2__H_VV_out_alpha  |         4.21554e-08         0.0002%  |          0.00865887        41.5528%
VV_junc2__H_VV_out_beta   |         5.91925e-08         0.0002%  |          0.00620607        18.3278%
VV_junc6__H_VV_out_alpha  |         3.11575e-08         0.0007%  |          0.00286697        68.4116%
VV_junc6__H_VV_out_beta   |         3.09212e-08         0.0007%  |          0.00286697        68.4116%
VV_junc7__H_VV_out_alpha  |         3.42047e-08         0.0008%  |          0.00286696        68.4086%
VV_junc7__H_VV_out_beta   |         3.59064e-08         0.0009%  |          0.00286696        68.4087%
VV_junc3__H_VV_out_beta   |         2.71796e-08         0.0006%  |          0.00284687        60.8300%
VV_junc3__H_VV_out_alpha  |         2.50938e-08         0.0005%  |          0.00284687        60.8300%
VV_junc1__H_VV_out_beta   |         4.44846e-08         0.0007%  |          0.00146111        24.1165%
VV_junc1__H_VV_out_alpha  |          4.3283e-08         0.0008%  |          0.00130945        23.0199%
V8__u_mmHg                |         4.42712e-08         0.0001%  |         0.000623796         1.4306%
V3__u_mmHg                |         2.20192e-08         0.0001%  |         0.000287054         1.3924%
V4__u_mmHg                |         1.99849e-08         0.0001%  |         0.000235797         1.2589%
V9__u_mmHg                |         9.05713e-09         0.0002%  |         0.000151554         2.8263%
V10__u_mmHg               |         9.21727e-09         0.0002%  |         0.000151554         2.8263%
V1__u_mmHg                |         1.07997e-08         0.0001%  |         9.83343e-05         1.3523%
V5__u_mmHg                |         9.42886e-09         0.0003%  |         8.37519e-05         2.9170%
V6__u_mmHg                |         9.42426e-09         0.0003%  |         8.37514e-05         2.9170%
V11__u_mmHg               |         6.54899e-09         0.0007%  |         7.66243e-05         7.7527%
V12__u_mmHg               |         6.54651e-09         0.0007%  |         7.66243e-05         7.7527%
V14__u_mmHg               |         6.48971e-09         0.0007%  |          7.6624e-05         7.7527%
V13__u_mmHg               |         6.46746e-09         0.0007%  |          7.6624e-05         7.7527%
V2__u_mmHg                |          1.0433e-08         0.0002%  |         7.32636e-05         1.0983%
VV_junc1__u_mmHg          |         1.08304e-08         0.0002%  |         5.94346e-05         1.2270%
inlet__u_mmHg             |         5.40085e-09         0.0002%  |         2.97173e-05         1.2270%
V7__u_mmHg                |         2.36224e-08         0.0000%  |            1.31e-05         0.0220%
V8__v_mm3_s               |         9.44136e-13         0.0001%  |         1.39094e-07        10.9468%
V3__v_mm3_s               |         8.13898e-13         0.0001%  |         1.39069e-07        23.0987%
PV3__v_mm3_s              |         3.74907e-12         0.0006%  |         1.39069e-07        23.0984%
PV4__v_mm3_s              |         3.69258e-12         0.0014%  |         9.01094e-08        34.4207%
V4__v_mm3_s               |          4.5222e-13         0.0002%  |         9.01093e-08        34.4265%
PV2__v_mm3_s              |         4.39243e-12         0.0055%  |         5.04643e-08        62.6467%
V2__v_mm3_s               |         2.44468e-13         0.0003%  |         5.04643e-08        62.6959%
V1__v_mm3_s               |          3.9029e-13         0.0001%  |         4.90013e-08        14.3562%
PV1__v_mm3_s              |         4.29877e-12         0.0013%  |         4.90013e-08        14.3551%
V9__v_mm3_s               |         2.29775e-13         0.0002%  |         4.50547e-08        34.4265%
V10__v_mm3_s              |          2.1617e-13         0.0002%  |         4.50546e-08        34.4264%
V6__v_mm3_s               |         1.27373e-13         0.0003%  |         2.52321e-08        62.6958%
V5__v_mm3_s               |         1.20488e-13         0.0003%  |         2.52321e-08        62.6955%
PV6__v_mm3_s              |         8.85474e-12         0.0219%  |         2.52321e-08        62.3931%
PV5__v_mm3_s              |         8.93314e-12         0.0221%  |         2.52321e-08        62.3885%
V13__v_mm3_s              |         5.32925e-14         0.0003%  |         1.26161e-08        62.6958%
V12__v_mm3_s              |         6.00484e-14         0.0003%  |         1.26161e-08        62.6959%
V11__v_mm3_s              |         6.19969e-14         0.0003%  |         1.26161e-08        62.6958%
V14__v_mm3_s              |         5.95337e-14         0.0003%  |         1.26161e-08        62.6955%

Aggregate NRMSE% (mean across variables)
--------------------------------------------------
  generated   mean NRMSE =   0.0014%   median =   0.0003%   max =   0.0221%
  iterative   mean NRMSE =  31.6168%   median =  23.0987%   max =  68.4116%
