time,PV1__u_mmHg,PV1__v_mm3_s,PV2__u_mmHg,PV2__v_mm3_s,PV3__u_mmHg,PV3__v_mm3_s,PV4__u_mmHg,PV4__v_mm3_s,PV5__u_mmHg,PV5__v_mm3_s,PV6__u_mmHg,PV6__v_mm3_s,PV7__R_constriction,V10__u_mmHg,V10__v_mm3_s,V11__u_mmHg,V11__v_mm3_s,V12__u_mmHg,V12__v_mm3_s,V13__u_mmHg,V13__v_mm3_s,V14__u_mmHg,V14__v_mm3_s,V1__u_mmHg,V1__v_mm3_s,V2__u_mmHg,V2__v_mm3_s,V3__u_mmHg,V3__v_mm3_s,V4__u_mmHg,V4__v_mm3_s,V5__u_mmHg,V5__v_mm3_s,V6__u_mmHg,V6__v_mm3_s,V7__u_mmHg,V8__u_mmHg,V8__v_mm3_s,V9__u_mmHg,V9__v_mm3_s,VV_junc10__H_VV_out_alpha,VV_junc11__H_VV_out_alpha,VV_junc11__H_VV_out_beta,VV_junc12__H_VV_out_alpha,VV_junc12__H_VV_out_beta,VV_junc13__H_VV_out_alpha,VV_junc13__H_VV_out_beta,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta,VV_junc1__u_d_mmHg,VV_junc1__u_mmHg,VV_junc2__H_VV_out_alpha,VV_junc2__H_VV_out_beta,VV_junc3__H_VV_out_alpha,VV_junc3__H_VV_out_beta,VV_junc4__H_VV_out_alpha,VV_junc4__H_VV_out_beta,VV_junc5__H_VV_out_alpha,VV_junc5__H_VV_out_beta,VV_junc6__H_VV_out_alpha,VV_junc6__H_VV_out_beta,VV_junc7__H_VV_out_alpha,VV_junc7__H_VV_out_beta,VV_junc8__H_VV_out_alpha,VV_junc8__H_VV_out_beta,VV_junc9__H_VV_out_alpha,VV_junc9__H_VV_out_beta,inlet__H_down,inlet__H_link_L,inlet__H_link_R,inlet__RBC_volume,inlet__u_mmHg
0.0,49.5431321288609,8.845201755476242e-06,49.54313212879966,8.845201784625371e-06,49.26892693169867,4.422584793859205e-06,49.26892693169807,4.422584798321991e-06,49.26892692936095,4.422588550955026e-06,49.268926929433356,4.422588393340945e-06,0.0,49.102289395697795,2.2113010548066817e-06,49.10228939961168,2.211301024582142e-06,49.10228939952493,2.211300979956951e-06,49.10228939463389,2.2113010690762765e-06,49.102289394672816,2.2113010589821467e-06,49.539129439867466,8.845204165064249e-06,49.5391294397803,8.845204154416699e-06,49.26591426029857,4.422602056175394e-06,49.265914260249104,4.422602096850699e-06,49.26591426061795,4.422602015059584e-06,49.26591426039268,4.422602129568789e-06,49.10228939710987,49.10228939714522,2.2113010328418498e-06,49.10228939578556,2.211301045741778e-06,0.48413981756724056,0.48413978668567637,0.48413978561246795,0.4841379971710259,0.48413797264264286,0.48414021981396027,0.4841402170904311,0.4677475450335132,0.4677475444120996,49.54713481569076,49.679824156967115,0.4736791152897157,0.4736791150800715,0.473678799773806,0.47367879236972366,0.47877842807683413,0.47877842771508416,0.47877887088918847,0.4787788685780681,0.47877886562177147,0.47877886140659565,0.4787787591750749,0.4787787565522486,0.4841398506388694,0.48413985043995084,0.4841399117028965,0.4841399104409573,0.44999999796711987,0.45,0.1655457647776386,1.5269636830903878e-14,49.83991207833591
1.0,49.54317352461803,8.844411569634637e-06,49.543173524602295,8.84441159014903e-06,49.26896712865512,4.422205785069935e-06,49.26896712865556,4.422205785104178e-06,49.26896712765603,4.422205813128037e-06,49.2689671276955,4.422205777594824e-06,0.0,49.102313631873656,2.2111028910510667e-06,49.1023136303225,2.211102933426752e-06,49.102313630445934,2.2111028802746345e-06,49.102313631614564,2.211102888591953e-06,49.10231363161677,2.2111028895823475e-06,49.539171653395336,8.844411570082565e-06,49.53917165336386,8.844411590604346e-06,49.26595403116037,4.4222057851739305e-06,49.26595403116126,4.42220578520521e-06,49.26595403013525,4.422205813207851e-06,49.265954030214154,4.422205777680173e-06,49.10231363186878,49.10231363186951,2.2111028945938595e-06,49.102313631873955,2.2111028946358532e-06,0.4500876305149649,0.4500876317521498,0.450087630206819,0.4500876394119028,0.45008760813157483,0.45008762861079277,0.4500876253398975,0.4499999981612253,0.44999999772890215,49.54717539584073,49.67985284711906,0.45004278914505835,0.4500427891434733,0.45004279044666917,0.4500427888021248,0.45006665932462653,0.45006665896201725,0.45006665929230305,0.45006665892492614,0.45006666055962535,0.45006665510450106,0.4500666581702861,0.45006665806899115,0.45008763091093895,0.45008763068559077,0.45008763110354627,0.45008762941621655,0.44999999796710666,0.45,6.777621674781273e-17,1.5269636875771478e-14,49.83992642356038
2.0,49.54316552800704,8.844566989806106e-06,49.543165527997566,8.844567003359236e-06,49.26896318638544,4.422283495603859e-06,49.26896318638589,4.4222834951230815e-06,49.26896318564471,4.422283513399784e-06,49.26896318567163,4.422283490857525e-06,0.0,49.10231090625923,2.211141746703009e-06,49.10231090501211,2.211141767790917e-06,49.102310905100694,2.2111417463767487e-06,49.10231090605331,2.2111417453585897e-06,49.10231090604988,2.211141746270627e-06,49.5391636181751,8.844566990259565e-06,49.53916361815619,8.844567003785464e-06,49.2659503982444,4.42228349580432e-06,49.26595039824528,4.422283495328331e-06,49.265950397481326,4.422283513612159e-06,49.26595039753519,4.422283491055385e-06,49.10231090623048,49.10231090622227,2.2111417494108623e-06,49.1023109062518,2.2111417491713133e-06,0.450105183726905,0.45010518428778085,0.45010518413774697,0.45010517840232145,0.4501051753894387,0.4501051792364986,0.4501051789230407,0.4499999989707858,0.44999999868517027,49.54716743783895,49.679847220566224,0.4500287673959664,0.45002876737371555,0.4500287683694131,0.4500287673261435,0.4500648548623674,0.45006485460934015,0.4500648548328099,0.4500648545841761,0.4500648550605467,0.4500648528626669,0.45006485380899014,0.4500648537162483,0.4501051838702409,0.45010518385004616,0.4501051834285172,0.4501051832669523,0.449999998850779,0.45,3.0241381799354376e-23,1.5269636903073487e-14,49.83992361028389
3.0,49.54315928127322,8.844687924666088e-06,49.543159281267215,8.844687934124598e-06,49.26895902437221,4.422343962888729e-06,49.26895902437257,4.422343962477234e-06,49.26895902381726,4.422343974652267e-06,49.26895902383428,4.42234396021429e-06,0.0,49.10230864002603,2.2111719806672685e-06,49.10230863904329,2.2111719916410212e-06,49.10230863909206,2.2111719836810634e-06,49.10230863983665,2.2111719799960114e-06,49.102308639836124,2.2111719807130545e-06,49.53915731681039,8.844687925000842e-06,49.539157316798395,8.84468793444296e-06,49.265946309074884,4.4223439631021356e-06,49.2659463090756,4.4223439626914635e-06,49.26594630850517,4.422343974925504e-06,49.26594630853919,4.422343960380687e-06,49.10230863999652,49.10230863998889,2.211171982560641e-06,49.1023086400183,2.211171982354266e-06,0.45009932153361365,0.4500993220388095,0.4500993220310538,0.45009932029161864,0.4500993201644727,0.45009932181681256,0.4500993216852661,0.44999999947251274,0.44999999927318896,49.54716124573604,49.679842842610384,0.4500190994320634,0.45001909941301943,0.4500191001630174,0.4500190994948329,0.45005586485538734,0.45005586468999786,0.4500558648294882,0.45005586462259667,0.4500558660935917,0.4500558651570805,0.4500558651850188,0.45005586510493284,0.4500993225132136,0.4500993225108706,0.45009932203791725,0.4500993220228703,0.4499999993540525,0.45,-1.2731508317343233e-27,1.526963691840402e-14,49.839921421305775
4.0,49.543154441752414,8.844781616069606e-06,49.54315444174882,8.844781623877679e-06,49.26895514956606,4.422390808537171e-06,49.26895514956665,4.4223908081636645e-06,49.268955149141156,4.422390817700783e-06,49.268955149147345,4.42239080681318e-06,0.0,49.10230699429812,2.211195403999689e-06,49.10230699350967,2.2111954098217243e-06,49.102306993543834,2.211195408361989e-06,49.102306994118074,2.211195403311636e-06,49.102306994116674,2.21119540396867e-06,49.53915243489228,8.844781616313089e-06,49.53915243488507,8.844781624139224e-06,49.26594247411337,4.422390808730547e-06,49.265942474114574,4.422390808348222e-06,49.26594247368005,4.422390817897357e-06,49.26594247369243,4.422390807008262e-06,49.102306994271366,49.102306994263586,2.2111954048693637e-06,49.102306994289364,2.2111954046349693e-06,0.45009073970704466,0.45009073989987475,0.45009073989596887,0.4500907354455503,0.45009073541602834,0.45009073584017495,0.4500907357100758,0.44999999970098786,0.44999999953644626,49.54715644861257,49.679839450965396,0.450012679770591,0.4500126797533055,0.4500126803053529,0.4500126798014862,0.4500464128322179,0.4500464127577585,0.45004641280182506,0.45004641273727847,0.4500464127205706,0.4500464125713742,0.4500464122225833,0.4500464121359575,0.45009073974025315,0.4500907397374785,0.4500907395446546,0.45009073953022205,0.44999999963115983,0.45,7.904701616067063e-32,1.5269636927009758e-14,49.83991972548317
5.0,49.54315051623594,8.844857613529377e-06,49.5431505162313,8.844857620478247e-06,49.268951436656565,4.422428806544984e-06,49.2689514366559,4.422428807588465e-06,49.26895143629583,4.422428814343855e-06,49.26895143630444,4.422428806733521e-06,0.0,49.10230544556994,2.2112144035370286e-06,49.10230544494318,2.2112144072490924e-06,49.10230544494682,2.2112144075072228e-06,49.10230544540104,2.2112144033151737e-06,49.10230544540036,2.2112144038700358e-06,49.539148474987385,8.844857613777156e-06,49.53914847497811,8.84485762069917e-06,49.2659387828275,4.422428806739771e-06,49.265938782826176,4.422428807765957e-06,49.26593878245804,4.422428814515862e-06,49.26593878247526,4.422428806917934e-06,49.10230544560019,49.10230544560162,2.2112144051985667e-06,49.10230544557052,2.2112144040508616e-06,0.4500817167445209,0.4500817168615704,0.45008171683629805,0.4500817123252541,0.4500817123236793,0.4500817122061395,0.45008171219334786,0.4499999999050824,0.4499999997586483,49.54715255748447,49.67983669989037,0.4500084180119374,0.4500084179636467,0.45000841837451855,0.4500084180223245,0.4500376520049517,0.45003765167670395,0.4500376518520194,0.4500376518007263,0.45003765145325386,0.4500376514275251,0.4500376510930688,0.45003765104125093,0.4500817162359568,0.4500817162312864,0.4500817164270999,0.45008171640950195,0.44999999980319955,0.45,4.80122113820776e-36,1.5269636932147142e-14,49.83991834994558
6.0,49.54314726887394,8.844920483690596e-06,49.543147268870406,8.844920488456916e-06,49.26894794558042,4.42246024218259e-06,49.26894794558073,4.422460242043286e-06,49.2689479453158,4.422460247057022e-06,49.268947945321855,4.4224602419714296e-06,0.0,49.10230385685796,2.2112301210302353e-06,49.10230385635542,2.211230123487377e-06,49.10230385635407,2.211230124023663e-06,49.10230385670589,2.2112301209992516e-06,49.10230385670475,2.2112301214374777e-06,49.5391451991772,8.844920483877251e-06,49.539145199170115,8.844920488659037e-06,49.265935301873974,4.422460242358388e-06,49.2659353018746,4.42246024220251e-06,49.265935301603065,4.422460247210434e-06,49.26593530161518,4.422460242131089e-06,49.10230385683981,49.10230385683856,2.211230121047128e-06,49.10230385685736,2.2112301214731886e-06,0.45007264898047705,0.45007264906899824,0.4500726490632011,0.4500726464211224,0.45007264642085126,0.4500726462656292,0.4500726462651781,0.4499999999311418,0.4499999998307016,49.54714933857068,49.67983442409303,0.45000558841599014,0.4500055884095434,0.4500055886982519,0.45000558846290084,0.45003001319667174,0.45003001313872565,0.4500300131575706,0.4500300131129467,0.4500300132329335,0.4500300131781682,0.45003001286204736,0.45003001281695465,0.45007264885486936,0.4500726488539893,0.45007264897551075,0.45007264897421134,0.4499999998870303,0.45,1.2951186483495958e-38,1.526963693481955e-14,49.839917212046835
7.0,49.5431445676442,8.844972780753864e-06,49.54314456764167,8.844972784167665e-06,49.268944754431914,4.422486390699878e-06,49.268944754431985,4.422486390551507e-06,49.268944754227995,4.422486393953595e-06,49.268944754231896,4.42248639067779e-06,0.0,49.10230224386199,2.211243195303428e-06,49.10230224346295,2.211243196969309e-06,49.102302243461594,2.2112431974384365e-06,49.10230224372811,2.211243195406806e-06,49.10230224372683,2.2112431956851245e-06,49.53914247428362,8.844972780898283e-06,49.53914247427858,8.844972784297006e-06,49.26593211383464,4.422486390826726e-06,49.26593211383477,4.422486390687979e-06,49.26593211362615,4.422486394102951e-06,49.26593211363398,4.422486390810555e-06,49.10230224384727,49.10230224384911,2.2112431953562627e-06,49.10230224386122,2.211243195690279e-06,0.45006379010777536,0.45006379019448867,0.4500637901935311,0.45006378819055526,0.4500637881903028,0.4500637880863359,0.45006378808612507,0.4499999999654561,0.44999999989351763,49.54714666100476,49.679832531039395,0.4500037112868772,0.45000371128001104,0.45000371150605156,0.45000371135445494,0.4500236053822025,0.45002360533865876,0.45002360536144326,0.4500236053177529,0.4500236055205803,0.4500236054699459,0.4500236051736621,0.450023605141381,0.4500637900182292,0.450063790017413,0.4500637901229518,0.4500637901227103,0.44999999993614676,0.45,3.083345739323375e-41,1.526963693630917e-14,49.83991626551995
8.0,49.54314232020564,8.845016292352495e-06,49.543142320203984,8.845016294744417e-06,49.268941911097194,4.422508146431909e-06,49.268941911097265,4.422508146340913e-06,49.26894191094368,4.422508148617701e-06,49.26894191094635,4.422508146551122e-06,0.0,49.10230065957535,2.2112540732445025e-06,49.10230065926276,2.211254074292242e-06,49.10230065926253,2.2112540747284093e-06,49.10230065946008,2.2112540733482386e-06,49.102300659459424,2.2112540735646026e-06,49.53914020715668,8.845016292466822e-06,49.53914020715336,8.845016294873163e-06,49.26592926960484,4.4225081465552726e-06,49.26592926960499,4.422508146459455e-06,49.265929269447966,4.4225081487356506e-06,49.2659292694533,4.422508146684369e-06,49.10230065956434,49.10230065956558,2.2112540732757076e-06,49.10230065957398,2.2112540735039487e-06,0.4500553669066087,0.4500553669701167,0.45005536696990933,0.45005536545724784,0.45005536545646113,0.45005536538130686,0.4500553653801208,0.44999999998304846,0.4499999999326442,49.5471444332546,49.67983095601137,0.45000246190476073,0.45000246190054954,0.450002462071558,0.45000246197592214,0.45001837198479977,0.45001837195611294,0.45001837196705263,0.4500183719413302,0.4500183721447244,0.45001837210354545,0.45001837184288607,0.4500183718340962,0.45005536684748937,0.45005536684620173,0.4500553669259853,0.4500553669246003,0.44999999996450313,0.45,-1.3518209727316675e-41,1.526963693716249e-14,49.839915478005906
9.0,49.54314045587381,8.8450523868119e-06,49.54314045587256,8.84505238863372e-06,49.26893942604094,4.422526193610577e-06,49.26893942604098,4.4225261935650845e-06,49.26893942592576,4.422526195123208e-06,49.2689394259272,4.422526193885874e-06,0.0,49.10229915160287,2.2112630969144486e-06,49.10229915135878,2.211263097439745e-06,49.10229915135848,2.2112630978883806e-06,49.10229915150652,2.211263097001289e-06,49.10229915150493,2.211263097168457e-06,49.53913832649288,8.845052386937855e-06,49.539138326490395,8.845052388742068e-06,49.26592678146833,4.422526193737185e-06,49.265926781468444,4.422526193673936e-06,49.26592678135097,4.422526195230875e-06,49.26592678135386,4.42252619398394e-06,49.10229915159519,49.102299151596036,2.2112630969227067e-06,49.10229915160187,2.211263097034584e-06,0.45004754566241034,0.4500475456930906,0.45004754569286476,0.4500475445520987,0.45004754454931495,0.45004754447586337,0.45004754447067974,0.44999999999704965,0.4499999999586589,49.54714258525472,49.679829649470506,0.4500016352512778,0.45000163524917247,0.4500016353702289,0.4500016353129687,0.4500141772962397,0.4500141772785513,0.4500141772828692,0.4500141772694628,0.45001417748701456,0.4500141774238988,0.4500141772144502,0.4500141771926068,0.4500475456244172,0.4500475456232732,0.4500475456617144,0.450047545660819,0.449999999980307,0.45,-4.766072218894619e-46,1.5269636937617034e-14,49.83991482473544
