time_s,H_VV_out_alpha,H_VV_out_beta
0.000000000000000000e+00,4.499999996021126214e-01,4.499999996021126214e-01
1.000000000000000056e-01,4.500584658700114149e-01,4.500584658696290541e-01
2.000000000000000111e-01,4.500001410874587826e-01,4.500001410868620377e-01
3.000000000000000444e-01,4.500000026331096303e-01,4.500000026155165922e-01
4.000000000000000222e-01,4.499999998564441772e-01,4.499999998138305979e-01
5.000000000000000000e-01,4.499999997795749995e-01,4.499999997486979209e-01
6.000000000000000888e-01,4.499999997706989330e-01,4.499999997536573426e-01
7.000000000000000666e-01,4.499999997718697742e-01,4.499999997536231477e-01
8.000000000000000444e-01,4.499999997738868274e-01,4.499999997544247288e-01
9.000000000000000222e-01,4.499999997764383419e-01,4.499999997560361065e-01
1.000000000000000000e+00,4.499999997795028905e-01,4.499999997581874966e-01
1.100000000000000089e+00,4.499999997827087705e-01,4.499999997609989144e-01
1.200000000000000178e+00,4.499999997863555756e-01,4.499999997639820282e-01
1.300000000000000044e+00,4.499999997895516857e-01,4.499999997678644781e-01
1.400000000000000133e+00,4.499999997931883877e-01,4.499999997716396249e-01
1.500000000000000000e+00,4.499999997980765887e-01,4.499999997743909796e-01
1.600000000000000089e+00,4.499999998015120628e-01,4.499999997787372807e-01
1.700000000000000178e+00,4.499999998045790539e-01,4.499999997835391063e-01
1.800000000000000044e+00,4.499999998087467201e-01,4.499999997872744517e-01
1.900000000000000133e+00,4.499999998125396861e-01,4.499999997913786132e-01
2.000000000000000000e+00,4.499999998163846104e-01,4.499999997953891828e-01
2.100000000000000089e+00,4.499999998201417717e-01,4.499999997994290069e-01
2.200000000000000178e+00,4.499999998241391297e-01,4.499999998031411486e-01
2.300000000000000266e+00,4.499999998274713531e-01,4.499999998074271645e-01
2.400000000000000355e+00,4.499999998309775484e-01,4.499999998114337374e-01
2.500000000000000000e+00,4.499999998345486918e-01,4.499999998152569014e-01
2.600000000000000089e+00,4.499999998377868793e-01,4.499999998192898976e-01
2.700000000000000178e+00,4.499999998410608160e-01,4.499999998231649090e-01
2.800000000000000266e+00,4.499999998447652971e-01,4.499999998264778145e-01
2.900000000000000355e+00,4.499999998480955221e-01,4.499999998300351911e-01
3.000000000000000000e+00,4.499999998513722899e-01,4.499999998335123541e-01
