time,H_VV_out_alpha,H_VV_out_beta
0.0,0.45000001369663184,0.45000001369663184
1.0,-8.841941275065077e+16,-8.841941275065077e+16
2.0,-1.7683882550130157e+17,-1.7683882550130157e+17
3.0,-2.652582382519524e+17,-2.652582382519524e+17
4.0,-3.536776510026032e+17,-3.536776510026032e+17
5.0,-4.42097063753254e+17,-4.42097063753254e+17
6.0,-5.3051647650390483e+17,-5.3051647650390483e+17
7.0,-6.189358892545556e+17,-6.189358892545556e+17
8.0,-7.073553020052064e+17,-7.073553020052064e+17
9.0,-7.957747147558573e+17,-7.957747147558573e+17
10.0,-8.84194127506508e+17,-8.84194127506508e+17
11.0,-9.726135402571588e+17,-9.726135402571588e+17
12.0,-1.0610329530078098e+18,-1.0610329530078098e+18
13.0,-1.1494523657584604e+18,-1.1494523657584604e+18
14.0,-1.2378717785091113e+18,-1.2378717785091113e+18
15.0,-1.326291191259762e+18,-1.326291191259762e+18
16.0,-1.4147106040104128e+18,-1.4147106040104128e+18
17.0,-1.5031300167610637e+18,-1.5031300167610637e+18
18.0,-1.5915494295117146e+18,-1.5915494295117146e+18
19.0,-1.6799688422623652e+18,-1.6799688422623652e+18
20.0,-1.768388255013016e+18,-1.768388255013016e+18
21.0,-1.856807667763667e+18,-1.856807667763667e+18
22.0,-1.9452270805143176e+18,-1.9452270805143176e+18
23.0,-2.0336464932649684e+18,-2.0336464932649684e+18
24.0,-2.1220659060156193e+18,-2.1220659060156193e+18
25.0,-2.21048531876627e+18,-2.21048531876627e+18
26.0,-2.2989047315169208e+18,-2.2989047315169208e+18
27.0,-2.3873241442675717e+18,-2.3873241442675717e+18
28.0,-2.4757435570182226e+18,-2.4757435570182226e+18
29.0,-2.5641629697688735e+18,-2.5641629697688735e+18
30.0,-2.652582382519524e+18,-2.652582382519524e+18
31.0,-2.7410017952701747e+18,-2.7410017952701747e+18
32.0,-2.8294212080208256e+18,-2.8294212080208256e+18
33.0,-2.9178406207714765e+18,-2.9178406207714765e+18
34.0,-3.0062600335221274e+18,-3.0062600335221274e+18
35.0,-3.094679446272778e+18,-3.094679446272778e+18
36.0,-3.183098859023429e+18,-3.183098859023429e+18
37.0,-3.2715182717740795e+18,-3.2715182717740795e+18
38.0,-3.3599376845247304e+18,-3.3599376845247304e+18
39.0,-3.448357097275381e+18,-3.448357097275381e+18
40.0,-3.536776510026032e+18,-3.536776510026032e+18
41.0,-3.625195922776683e+18,-3.625195922776683e+18
42.0,-3.713615335527334e+18,-3.713615335527334e+18
43.0,-3.802034748277985e+18,-3.802034748277985e+18
