time_s,H_VV_out_alpha,H_VV_out_beta
0.000000000000000000e+00,-0.000000000000000000e+00,2.147051858687890578e-12
1.000000000000000056e-01,3.341445509259671309e-15,-0.000000000000000000e+00
2.000000000000000111e-01,3.341391394626133764e-15,-0.000000000000000000e+00
3.000000000000000444e-01,3.341350163004884510e-15,-0.000000000000000000e+00
4.000000000000000222e-01,3.341318710107466387e-15,-0.000000000000000000e+00
5.000000000000000000e-01,3.341295116812548123e-15,-0.000000000000000000e+00
6.000000000000000888e-01,3.341277833540226431e-15,-0.000000000000000000e+00
7.000000000000000666e-01,3.341265609685681094e-15,-0.000000000000000000e+00
8.000000000000000444e-01,3.341257436508180421e-15,-0.000000000000000000e+00
9.000000000000000222e-01,3.341252500858115353e-15,-0.000000000000000000e+00
1.000000000000000000e+00,3.341250147589499408e-15,-0.000000000000000000e+00
1.100000000000000089e+00,3.341249849099011231e-15,-0.000000000000000000e+00
1.200000000000000178e+00,3.341251180680233372e-15,-0.000000000000000000e+00
1.300000000000000044e+00,3.341253800592193657e-15,-0.000000000000000000e+00
1.400000000000000133e+00,3.341257433968912503e-15,-0.000000000000000000e+00
1.500000000000000000e+00,3.341261859828803619e-15,-0.000000000000000000e+00
1.600000000000000089e+00,3.341266900596441287e-15,-0.000000000000000000e+00
1.700000000000000178e+00,3.341272413654676925e-15,-0.000000000000000000e+00
1.800000000000000044e+00,3.341278284534193457e-15,-0.000000000000000000e+00
1.900000000000000133e+00,3.341284421427028596e-15,-0.000000000000000000e+00
2.000000000000000000e+00,3.341290750765522228e-15,-0.000000000000000000e+00
2.100000000000000089e+00,3.341297213665342593e-15,-0.000000000000000000e+00
2.200000000000000178e+00,3.341303763052677324e-15,-0.000000000000000000e+00
2.300000000000000266e+00,3.341310361363373106e-15,-0.000000000000000000e+00
2.400000000000000355e+00,3.341316978675558727e-15,-0.000000000000000000e+00
2.500000000000000000e+00,3.341323591221218383e-15,-0.000000000000000000e+00
2.600000000000000089e+00,3.341330180176620603e-15,-0.000000000000000000e+00
2.700000000000000178e+00,3.341336730695364099e-15,-0.000000000000000000e+00
2.800000000000000266e+00,3.341343231124480385e-15,-0.000000000000000000e+00
2.900000000000000355e+00,3.341349672381996872e-15,-0.000000000000000000e+00
3.000000000000000000e+00,3.341356047445174016e-15,-0.000000000000000000e+00
3.100000000000000089e+00,3.341362350948095532e-15,-0.000000000000000000e+00
3.200000000000000178e+00,3.341368578853056551e-15,-0.000000000000000000e+00
3.300000000000000266e+00,3.341374728185974941e-15,-0.000000000000000000e+00
3.400000000000000355e+00,3.341380796825914933e-15,-0.000000000000000000e+00
3.500000000000000000e+00,3.341386783332956096e-15,-0.000000000000000000e+00
3.600000000000000089e+00,3.341392686812967585e-15,-0.000000000000000000e+00
3.700000000000000178e+00,3.341398506806915580e-15,-0.000000000000000000e+00
3.800000000000000266e+00,3.341404243199019753e-15,-0.000000000000000000e+00
3.900000000000000355e+00,3.341409896149526549e-15,-0.000000000000000000e+00
4.000000000000000000e+00,3.341415466035397489e-15,-0.000000000000000000e+00
4.100000000000000533e+00,3.341420953403655546e-15,-0.000000000000000000e+00
4.200000000000000178e+00,3.341426358935455292e-15,-0.000000000000000000e+00
4.299999999999999822e+00,3.341431683416767638e-15,-0.000000000000000000e+00
4.400000000000000355e+00,3.341436927710755511e-15,-0.000000000000000000e+00
4.500000000000000000e+00,3.341442092744417248e-15,-0.000000000000000000e+00
4.600000000000000533e+00,3.341447179488533757e-15,-0.000000000000000000e+00
4.700000000000000178e+00,3.341452188947322998e-15,-0.000000000000000000e+00
4.800000000000000711e+00,3.341457122148449850e-15,-0.000000000000000000e+00
4.900000000000000355e+00,3.341461980133776714e-15,-0.000000000000000000e+00
5.000000000000000000e+00,3.341466763955971811e-15,-0.000000000000000000e+00
5.100000000000000533e+00,3.341471474670430058e-15,-0.000000000000000000e+00
5.200000000000000178e+00,3.341476113332184284e-15,-0.000000000000000000e+00
5.300000000000000711e+00,3.341480680994772033e-15,-0.000000000000000000e+00
5.400000000000000355e+00,3.341485178704021706e-15,-0.000000000000000000e+00
5.500000000000000000e+00,3.341489607500352879e-15,-0.000000000000000000e+00
5.600000000000000533e+00,3.341493968412790032e-15,-0.000000000000000000e+00
5.700000000000000178e+00,3.341498262461549619e-15,-0.000000000000000000e+00
5.800000000000000711e+00,3.341502490654808104e-15,-0.000000000000000000e+00
5.900000000000000355e+00,3.341506653997480407e-15,-0.000000000000000000e+00
6.000000000000000000e+00,3.341510753449583821e-15,-0.000000000000000000e+00
6.100000000000000533e+00,3.341514789997335290e-15,-0.000000000000000000e+00
6.200000000000000178e+00,3.341518764614215599e-15,-0.000000000000000000e+00
